#List of 475 drivers. driver type and its role in cancer
#
##geneHGNCsymbol
##Driver_type = whether it is a mutational driver (MUTATION). a CNA driver (CNA) or a fusion driver (FUSION) 
##Role = Between Activating. Loss of function or No class. Retrieved from OncodriveROLE for mutational drivers. Remaining driver role was established through coherent manual annotation.
##OncodriveROLE_prob = OncodriveROLE results for 459 mutational drivers
###
geneHGNCsymbol	Driver_type	Role	OncodriveROLE_prob
INPPL1	MUTATION	Loss of function	0.093
IREB2	MUTATION	Activating	0.848
IRF2	MUTATION	Loss of function	0.0555
IRF6	MUTATION	No class	N/A
IRF7	MUTATION	Activating	0.807
IRS2	MUTATION	Loss of function	0.02
ITGA9	MUTATION	Activating	0.9665
ITSN1	MUTATION	Loss of function	0.2875
JMY	MUTATION	No class	N/A
KALRN	MUTATION	Activating	0.884
KAT6B	MUTATION	Activating	0.8325
KDM5C	MUTATION	Loss of function	0.137
KDM6A	MUTATION	Loss of function	0.0095
KDR	MUTATION	Activating	0.8465
KEAP1	MUTATION	Loss of function	Manually curated
KIT	MUTATION	Activating	0.979
KLF4	MUTATION	No class	0.686
KLF6	MUTATION	Loss of function	0.15
KRAS	MUTATION	Activating	0.9995
LAMA2	MUTATION	Loss of function	0.09
LCP1	MUTATION	Loss of function	0.014
LDHA	MUTATION	Loss of function	0.229
LIMA1	MUTATION	Loss of function	0.178
LNPEP	MUTATION	No class	N/A
LPHN2	MUTATION	Activating	0.7335
LRP6	MUTATION	Activating	0.927
LRPPRC	MUTATION	Loss of function	0.101
MACF1	MUTATION	Activating	0.976
MAGI2	MUTATION	No class	N/A
MAP2K1	MUTATION	Activating	0.972
MAP2K4	MUTATION	Loss of function	0.0225
MAP3K1	MUTATION	Loss of function	0.01
MAP3K11	MUTATION	No class	N/A
MAP3K4	MUTATION	Activating	0.7045
MAP4K1	MUTATION	No class	N/A
MAP4K3	MUTATION	Loss of function	0.055
MAT2A	MUTATION	No class	N/A
MAX	MUTATION	Activating	0.724
MCM3	MUTATION	Activating	0.832
MCM8	MUTATION	Activating	0.932
MDM2	CNA	A	N/A
MDM4	CNA	A	N/A
MECOM	MUTATION	Activating	0.968
MED12	MUTATION	Activating	0.9265
MED17	MUTATION	Activating	0.8765
MED23	MUTATION	Loss of function	0.0195
MED24	MUTATION	No class	0.4115
MEF2C	MUTATION	Activating	0.8515
MEN1	MUTATION	Loss of function	0.0285
MET	MUTATION	Activating	0.9655
MET	CNA	A	0.9655
MFNG	MUTATION	Activating	0.927
MGA	MUTATION	Loss of function	0.032
MGMT	MUTATION	Activating	0.708
MKL1	MUTATION	Activating	0.706
MLH1	MUTATION	Loss of function	0.0335
MLH3	MUTATION	Loss of function	0.2095
MLL	MUTATION	Loss of function	5.00E-004
MLL	FUSION	Activating	5.00E-004
MLL2	MUTATION	Loss of function	0.0115
MLL3	MUTATION	Loss of function	0.018
MLLT4	MUTATION	Loss of function	0.05
MMP2	MUTATION	Activating	0.7735
MNDA	MUTATION	No class	N/A
MSR1	MUTATION	Loss of function	0.1325
MTOR	MUTATION	Activating	0.9545
MUC20	MUTATION	Loss of function	0.2965
MYB	MUTATION	Loss of function	0.2695
MYC	MUTATION	No class	N/A
MYCN	MUTATION	No class	N/A
MYD88	MUTATION	No class	N/A
MYH10	MUTATION	Activating	0.7425
MYH11	MUTATION	Activating	0.856
MYH14	MUTATION	Activating	0.89
MYH9	MUTATION	No class	0.693
NAP1L1	MUTATION	Loss of function	0.227
NCF2	MUTATION	No class	0.57
NCK1	MUTATION	Activating	0.862
NCKAP1	MUTATION	Loss of function	0.2985
NCOR1	MUTATION	Loss of function	0.008
NCOR2	MUTATION	Activating	0.9035
NDRG1	MUTATION	Activating	0.877
NEDD4L	MUTATION	Activating	0.8445
NF1	MUTATION	Loss of function	0
NF1	CNA	Loss of function	0
NF2	MUTATION	Loss of function	0.0415
NF2	CNA	Loss of function	0.0415
NFATC4	MUTATION	Loss of function	0.1735
NFE2L2	MUTATION	Activating	0.985
NKX3-1	MUTATION	Activating	0.8265
NOTCH1	MUTATION	Loss of function	0.0575
NOTCH2	MUTATION	Loss of function	0.672
NPM1	MUTATION	Loss of function	0.041
NR2F2	MUTATION	Activating	0.8885
NR4A2	MUTATION	Loss of function	0.191
NRAS	MUTATION	Activating	0.9965
NSD1	MUTATION	Loss of function	0.0015
NTN4	MUTATION	Activating	0.783
NTRK1	FUSION	Activating	N/A
NTRK2	MUTATION	Activating	0.708
NTRK3	FUSION	Activating	N/A
NUP107	MUTATION	Activating	0.877
NUP93	MUTATION	Loss of function	0.057
NUP98	MUTATION	Activating	0.7165
PABPC1	MUTATION	No class	0.359
PABPC3	MUTATION	No class	0.338
PAX5	MUTATION	Activating	0.966
PBRM1	MUTATION	Loss of function	0.0025
PCBP1	MUTATION	Activating	0.9665
PCDH18	MUTATION	Activating	0.8215
PCSK5	MUTATION	No class	N/A
PCSK6	MUTATION	Activating	0.888
PER1	MUTATION	No class	N/A
PGR	MUTATION	Activating	0.918
PHF6	MUTATION	Loss of function	0.0205
PIK3C2B	MUTATION	No class	N/A
PIK3CA	MUTATION	Activating	0.999
PIK3CB	MUTATION	No class	0.5845
PIK3R1	MUTATION	Loss of function	0.0215
PIK3R3	MUTATION	Activating	0.919
PIP5K1A	MUTATION	No class	0.547
PLCB1	MUTATION	Activating	0.983
PLCG1	MUTATION	Activating	0.9805
PLXNA1	MUTATION	Activating	0.835
PLXNB2	MUTATION	Activating	0.7205
POLR2B	MUTATION	Activating	0.865
POM121	MUTATION	Activating	0.913
PPM1D	MUTATION	Loss of function	0.091
PPP2R1A	MUTATION	Activating	0.895
PPP2R5A	MUTATION	Loss of function	0.048
PPP2R5C	MUTATION	Activating	0.966
PPP6C	MUTATION	Loss of function	0.147
PRKAR1A	MUTATION	Loss of function	0.0595
PRKCZ	MUTATION	No class	N/A
PRPF8	MUTATION	Activating	0.713
PRRX1	MUTATION	Activating	0.9445
PSIP1	MUTATION	Loss of function	0.02
PSMA6	MUTATION	No class	0.4425
PSMD11	MUTATION	Loss of function	0.221
PSME3	MUTATION	Loss of function	0.0235
PTCH1	MUTATION	No class	N/A
PTEN	MUTATION	Loss of function	0.01
PTEN	CNA	Loss of function	0.01
PTGS1	MUTATION	Loss of function	0.0635
PTPN11	MUTATION	Activating	0.958
PTPRF	MUTATION	Activating	0.945
PTPRU	MUTATION	Activating	0.735
RAC1	MUTATION	Activating	0.8875
RAD21	MUTATION	Loss of function	0.286
RAD23B	MUTATION	Loss of function	0.1235
RAF1	FUSION	Activating	N/A
RASA1	MUTATION	Loss of function	0.0085
RASA2	MUTATION	Loss of function	0.1265
RASGRP1	MUTATION	No class	0.6715
RB1	MUTATION	Loss of function	5.00E-004
RBBP7	MUTATION	Activating	0.886
RBM10	MUTATION	Loss of function	0.087
RBM5	MUTATION	Loss of function	0.0315
RET	FUSION	Activating	N/A
RFC4	MUTATION	Activating	0.8465
RGS3	MUTATION	No class	0.6595
RHEB	MUTATION	Activating	0.886
RHOA	MUTATION	Activating	0.7335
RHOT1	MUTATION	No class	N/A
ROBO2	MUTATION	Activating	0.769
ROS1	FUSION	Activating	N/A
RPGR	MUTATION	Loss of function	0.221
RPL22	MUTATION	Loss of function	0.089
RPL5	MUTATION	Loss of function	0.059
RPSAP58	MUTATION	Activating	0.995
RTN4	MUTATION	Loss of function	0.1965
RUNX1	MUTATION	Loss of function	0.0015
SCAI	MUTATION	Activating	0.8805
SEC24D	MUTATION	Loss of function	0.0175
SEC31A	MUTATION	Loss of function	0.05
SETD2	MUTATION	Loss of function	0
SETDB1	MUTATION	Activating	0.967
SF3A3	MUTATION	Loss of function	0.09
SF3B1	MUTATION	Activating	0.9435
SFPQ	MUTATION	Loss of function	0.0455
SH2B3	MUTATION	No class	N/A
SHMT1	MUTATION	No class	0.658
SIN3A	MUTATION	Activating	0.752
SMAD2	MUTATION	Loss of function	5.00E-004
SMAD4	MUTATION	Loss of function	0.016
SMARCA1	MUTATION	Loss of function	0.014
SMARCA4	MUTATION	Loss of function	0.2845
SMARCA4	CNA	Loss of function	0.2845
SMARCB1	MUTATION	Loss of function	0.0155
SMARCB1	CNA	Loss of function	0.0155
SMC1A	MUTATION	Activating	0.8855
SMO	MUTATION	No class	N/A
SMURF2	MUTATION	No class	N/A
SOS1	MUTATION	Activating	0.7365
SOS2	MUTATION	Activating	0.8565
SOX17	MUTATION	Activating	0.881
SOX9	MUTATION	Loss of function	0.0655
SPOP	MUTATION	No class	0.6705
SPRR3	MUTATION	Activating	0.8715
SPTAN1	MUTATION	Loss of function	0.053
SRGAP1	MUTATION	Activating	0.9505
SRGAP3	MUTATION	Activating	0.8975
STAG1	MUTATION	Activating	0.751
STAG2	MUTATION	Loss of function	0.069
STARD13	MUTATION	Activating	0.8725
STIP1	MUTATION	Loss of function	0.032
STK11	MUTATION	Loss of function	0.0025
STK11	CNA	Loss of function	0.0025
STK4	MUTATION	No class	0.401
SUZ12	MUTATION	Loss of function	0.003
SVEP1	MUTATION	No class	0.7
SYK	MUTATION	No class	N/A
SYNCRIP	MUTATION	No class	0.396
TAF1	MUTATION	Activating	0.9135
TAOK1	MUTATION	No class	0.577
TAOK2	MUTATION	Activating	0.8385
TBL1XR1	MUTATION	Loss of function	0.127
TBX3	MUTATION	Loss of function	0.058
TCF12	MUTATION	Loss of function	0
TCF4	MUTATION	Activating	0.7465
TCF7L2	MUTATION	Loss of function	0.013
TET2	MUTATION	Loss of function	0.0075
TFDP1	MUTATION	Activating	0.922
TFDP2	MUTATION	Loss of function	0.123
TGFBR2	MUTATION	Loss of function	0.0345
THRAP3	MUTATION	Loss of function	0.2725
TJP1	MUTATION	Loss of function	0.009
TJP2	MUTATION	Activating	0.7255
TNPO1	MUTATION	No class	0.694
TNPO2	MUTATION	No class	0.3715
TOM1	MUTATION	Loss of function	0.2215
TP53	MUTATION	Loss of function	0.007
TP53	CNA	Loss of function	0.007
TP53BP1	MUTATION	Loss of function	0.119
TRERF1	MUTATION	Activating	0.9335
TRIO	MUTATION	Activating	0.963
TRIP10	MUTATION	Activating	0.7605
TSC1	MUTATION	Loss of function	0
TXNIP	MUTATION	Activating	0.881
U2AF1	MUTATION	Activating	0.933
UPF3B	MUTATION	Loss of function	0.1295
USP6	MUTATION	No class	N/A
VHL	MUTATION	Loss of function	0.0105
VIM	MUTATION	No class	N/A
WASF3	MUTATION	No class	N/A
WHSC1	MUTATION	No class	0.6785
WHSC1L1	MUTATION	Loss of function	0.218
WIPF1	MUTATION	Activating	0.836
WNK1	MUTATION	No class	N/A
WNT5A	MUTATION	Activating	0.7185
WT1	MUTATION	Loss of function	0.062
XPO1	MUTATION	No class	N/A
XRN1	MUTATION	No class	0.388
YBX1	MUTATION	Activating	0.8715
ZC3H11A	MUTATION	No class	0.3245
ZFHX3	MUTATION	Loss of function	0.01
ZFP36L1	MUTATION	Loss of function	0.0455
ZFP36L2	MUTATION	Loss of function	0.0055
ZMYM2	MUTATION	Loss of function	0.201
ZNF292	MUTATION	Loss of function	0.205
ZNF638	MUTATION	No class	N/A
ZNF750	MUTATION	Loss of function	0.0945
ZNF814	MUTATION	Activating	0.904
