#List of 666 genes for which we were able to compute clonal frequency
#
#All driver genes stated as major or those with an FDR < 0.1 
#
##geneHGNCsymbol
##Mean VAF = average variant allele frequency of somatic mutations detected in the driver gene across samples of each tumor type.
##Zvalue = Zscore of the gene's average variant allele frequency in the context of all somatic mutations detected in the tumor type.
##Nmutations = Number of mutations observed in the driver across the cohort
##Pvalue = P-value resulting from the statistical test of major drivers
##FDR = Corrected P-value
##MeanCCF = Mean CCF of all mutations detected in drivers of the tumor type
###
geneHGNCsymbol	MeanVAF	Nmutations	Zvalue	Pvalue	FDR	MeanCCF
GPS2	0.35411473353210471	24	1.6751499999999999	0.046952402430869643	0.15259530790032633	0.70822946706420942
DDX3X	0.41095464116128699	4	1.62029	0.052584998008369195	0.16084822920207048	0.82190928232257399
RHOA	0.38334245016705115	7	1.5357700000000001	0.06229739997239641	0.17997026658692297	0.7666849003341023
NFE2L2	0.37939273420174058	8	1.4885699999999999	0.068300318185237352	0.18692718661222854	0.75878546840348116
SETD2	0.3909028821270471	4	1.25145	0.10538517245309187	0.25453424005361358	0.7818057642540942
CDKN1A	0.37216271767448239	6	1.24057	0.10738232007476367	0.25453424005361358	0.74432543534896478
HRAS	0.3644227816416804	9	1.23892	0.10768756309960575	0.25453424005361358	0.72884556328336081
ZMYM2	0.38282540525924769	4	1.1728799999999999	0.1204219654544989	0.27225835667973664	0.76565081051849537
ERBB3	0.37134282176892935	6	1.1388100000000001	0.1273912049917057	0.276014277482029	0.74268564353785871
NOTCH1	0.38146385889751844	4	1.0849500000000001	0.13897190051636299	0.28906155307403503	0.76292771779503687
ANK3	0.33703264761866103	5	0.43584000000000001	0.3314764099934886	0.65867435900220839	0.67406529523732206
SF3B1	0.3323732595157074	5	0.40699999999999997	0.34200399409730053	0.65867435900220839	0.6647465190314148
HNRPDL	0.31206666666666666	6	0.11042	0.45603814620397298	0.79717605960799742	0.62413333333333332
MYH10	0.31429859873732374	5	0.094769999999999993	0.46224875806303922	0.79717605960799742	0.62859719747464748
ARID1B	0.31551545153272575	4	0.075660000000000005	0.46984480005561802	0.79717605960799742	0.63103090306545151
KEAP1	0.31154999999999999	4	0.054379999999999998	0.47831620648074868	0.79717605960799742	0.62309999999999999
CLSPN	0.31038873799798417	4	0.023640000000000001	0.49056988283569075	0.79717605960799742	0.62077747599596833
MAP3K4	0.27121024646817032	5	-0.57025000000000003	0.71574592599072895	0.99999999999999223	0.54242049293634065
FBXW7	0.27708993086382983	7	-0.60675999999999997	0.72799490136196643	0.99999999999999223	0.55417986172765965
CSDE1	0.25710835037397406	4	-0.76829999999999998	0.77884551266676705	0.99999999999999223	0.51421670074794812
NCOR2	0.24791972419753608	4	-0.92357	0.82214488034907052	0.99999999999999223	0.49583944839507216
FN1	0.237935962957363	4	-1.0482499999999999	0.85273828024965925	0.99999999999999223	0.47587192591472599
NUP98	0.23942596439312358	5	-1.1556200000000001	0.87608168815959264	0.99999999999999223	0.47885192878624716
PCDH18	0.24183331958105131	5	-1.1637999999999999	0.87774746391987335	0.99999999999999223	0.48366663916210262
LIMA1	0.24719840259715864	8	-1.38384	0.91679627398090324	0.99999999999999223	0.49439680519431728
MYH11	0.22680384930384928	5	-1.4438299999999999	0.92560659951154112	0.99999999999999223	0.45360769860769856
HSP90AB1	0.23288334648448941	7	-1.53623	0.9377590096620968	0.99999999999999223	0.46576669296897882
ERCC2	0.19834347337275671	4	-1.62435	0.94784943412990597	0.99999999999999223	0.39668694674551341
HLA-A	0.19241312292358806	4	-1.7483599999999999	0.95979914515744347	0.99999999999999223	0.38482624584717612
DDX5	0.23704165571616298	12	-1.9605399999999999	0.97503364626552569	0.99999999999999223	0.47408331143232596
ELF3	0.21165985889342742	12	-2.3757600000000001	0.99124357525181461	0.99999999999999223	0.42331971778685484
ACTB	0.1457108603981673	4	-2.4127200000000002	0.99208301082449113	0.99999999999999223	0.2914217207963346
APC	0.13727109862158343	4	-2.6199599999999998	0.99560299593981172	0.99999999999999223	0.27454219724316686
MLL3	0.21401680451416577	19	-3.1023999999999998	0.99904020805106886	0.99999999999999223	0.42803360902833154
BCLAF1	0.13219843793582439	6	-3.19767	0.99930728638130251	0.99999999999999223	0.26439687587164878
MET	0.10470259543363505	5	-3.43554	0.99970431292253215	0.99999999999999223	0.20940519086727011
AHNAK	0.14829133219914784	35	-7.6828399999999997	0.99999999999999223	0.99999999999999223	0.29658266439829567
TP53	0.46689660246882331	157	14.303610000000001	1.0387362833804215e-46	6.8556594703107825e-45	0.93379320493764661
CDH1	0.47413649621429715	36	7.1878799999999998	3.2902528386678472e-13	1.0857834367603895e-11	0.94827299242859431
ATM	0.46429543909684595	23	5.4573	2.4171459366477565e-08	5.3177210606250645e-07	0.9285908781936919
PIK3CA	0.38499288679067251	182	5.38429	3.6365580692391017e-08	6.000320814244518e-07	0.76998577358134501
CTCF	0.46887918310881282	22	5.3110299999999997	5.4503691246241511e-08	7.1944872445038794e-07	0.93775836621762565
CBFB	0.5	11	4.6064400000000001	2.048105903561841e-06	2.2529164939180251e-05	1.0
NCOR1	0.47712560398501186	13	4.4709000000000003	3.8945557474658796e-06	3.6720097047535434e-05	0.95425120797002372
MAP2K4	0.46802048476198266	15	4.3885699999999996	5.7049205491467011e-06	4.7065594530460281e-05	0.93604096952396532
AKT1	0.5	7	3.8669799999999999	5.5095730492878921e-05	0.00040403535694777881	1.0
ACVR1B	0.48217657900565986	7	3.3422000000000001	0.00041558574264940394	0.0027428659014860661	0.96435315801131971
BRCA2	0.43480200188875084	13	3.0148600000000001	0.0012854894938938682	0.0074025311164727641	0.86960400377750169
MED23	0.45827082178537326	8	3.0009000000000001	0.0013459147484495935	0.0074025311164727641	0.91654164357074652
GPS2	0.5	4	2.83331	0.0023034342795818724	0.011694358650184892	1.0
EIF4A2	0.40872148817862275	23	2.8004500000000001	0.002551570620424019	0.011918510248152553	0.8174429763572455
MED12	0.43679105878351543	10	2.7810999999999999	0.0027087523291255801	0.011918510248152553	0.87358211756703086
EP300	0.4526635466590111	7	2.6815600000000002	0.0036639886063196759	0.015113953001068662	0.90532709331802219
RB1	0.43948557057677573	9	2.6516999999999999	0.0040043832848840645	0.015546429223667545	0.87897114115355146
PTEN	0.4177809331565262	14	2.53213	0.0056685974993897666	0.020784857497762477	0.8355618663130524
SF3B1	0.39990147664618575	20	2.3224399999999998	0.010104627817991865	0.03510028610460332	0.7998029532923715
ARID1A	0.40567207189063015	11	1.86435	0.03113628476728255	0.10214471169457745	0.8113441437812603
MAP3K1	0.38668752808347018	21	1.8452500000000001	0.032500590084638278	0.10214471169457745	0.77337505616694036
PIK3R1	0.4210980443231655	5	1.5929899999999999	0.055581217205814368	0.16674365161744312	0.842196088646331
PTPRU	0.40919720260120912	6	1.4345699999999999	0.075704834262854029	0.21723995918905936	0.81839440520241824
MGA	0.39336475289722717	9	1.38242	0.083421389323937167	0.22494020884863969	0.78672950579445433
GATA3	0.3979185711441196	7	1.3708899999999999	0.085204624563878673	0.22494020884863969	0.79583714228823921
MTOR	0.38398450378656612	11	1.3104499999999999	0.095021824186196757	0.24120924601111485	0.76796900757313225
FBXW7	0.41400319920684814	4	1.2780100000000001	0.10062295016696288	0.24596721151924258	0.82800639841369628
NF1	0.37256285457292498	10	0.95774999999999999	0.16909441869206698	0.39857970120272929	0.74512570914584997
LPHN2	0.38763293668367604	5	0.88761999999999996	0.18737259586704186	0.4264341836974056	0.77526587336735209
NUP98	0.3752722346772826	4	0.65283999999999998	0.25692971662891406	0.56524537658361096	0.7505444693545652
PIK3CB	0.37268575798087028	4	0.58928000000000003	0.27783672950697991	0.59152335959550562	0.74537151596174056
TBX3	0.36893118761896548	5	0.51488999999999996	0.30331494458523373	0.61974625637970737	0.73786237523793097
SRGAP1	0.35718909226170092	10	0.49620999999999998	0.30987312818985369	0.61974625637970737	0.71437818452340185
FOXP1	0.36266035651297363	4	0.44829000000000002	0.32697195835275794	0.63471027209653019	0.72532071302594725
FN1	0.35704203265749329	5	0.26375999999999999	0.39598242935645689	0.7402455759374269	0.71408406531498658
MLLT4	0.35149717654016388	5	0.24360000000000001	0.40377031414768738	0.7402455759374269	0.70299435308032776
CCAR1	0.34882749592120277	7	0.16941999999999999	0.43273314658473344	0.77190236958357861	0.69765499184240554
SETD2	0.34793960848834371	4	0.12426	0.45055470857945312	0.78254238858536584	0.69587921697668742
ARHGAP35	0.34177688752131957	4	0.076380000000000003	0.46955839040319003	0.7946372760669369	0.68355377504263914
HCFC1	0.34173079559193831	8	0.019640000000000001	0.49216527729689602	0.79843689310078081	0.68346159118387662
AHNAK	0.3418829630652539	8	0.010030000000000001	0.49599867601715175	0.79843689310078081	0.6837659261305078
FOXA1	0.33488013499359948	4	-0.11604	0.54618957975338089	0.82475577405689027	0.66976026998719895
STAG2	0.33398684603462442	6	-0.12317	0.54901375940976793	0.82475577405689027	0.66797369206924884
MLL3	0.33687239128744495	22	-0.12525	0.54983718270459347	0.82475577405689027	0.6737447825748899
CAST	0.32981002419270011	4	-0.21542	0.58528006085893036	0.85841075592643123	0.65962004838540023
TAF1	0.32439699026707819	6	-0.35813	0.63987698538580018	0.91808437033614798	0.64879398053415638
MYB	0.32507292457218351	8	-0.40744000000000002	0.65815757325903035	0.92422127308714896	0.65014584914436702
ERBB2	0.32604521439127776	11	-0.45644000000000001	0.67596319630497614	0.92868269931980452	0.65209042878255552
KRAS	0.30956200057185423	4	-0.52061000000000002	0.6986807591609443	0.92868269931980452	0.61912400114370847
CAD	0.31360936142517243	6	-0.61883999999999995	0.73198911587480064	0.92868269931980452	0.62721872285034486
SVEP1	0.3199685846650715	13	-0.65798999999999996	0.74472772154234212	0.92868269931980452	0.639937169330143
MACF1	0.31678186154408566	10	-0.66200000000000003	0.7460143891548866	0.92868269931980452	0.63356372308817133
ANK3	0.31859132144566138	11	-0.66486999999999996	0.74693317731436648	0.92868269931980452	0.63718264289132276
APC	0.31432130820252913	8	-0.70576000000000005	0.75983129944347649	0.92868269931980452	0.62864261640505825
CASP8	0.3133136531823093	9	-0.77954999999999997	0.78217210190987374	0.92946624851917603	0.62662730636461861
PIK3R3	0.29554935111751979	4	-0.82518999999999998	0.7953681350706856	0.92946624851917603	0.59109870223503957
TCF7L2	0.29454970784546841	4	-0.85138000000000003	0.80272085099383383	0.92946624851917603	0.58909941569093682
ATR	0.29453846920580107	5	-0.92942999999999998	0.82366685673290241	0.93038615047101902	0.58907693841160214
AKAP9	0.29184307626291456	4	-0.96094000000000002	0.83170883148166852	0.93038615047101902	0.58368615252582912
MLL2	0.28248728015079777	4	-1.0505899999999999	0.85327653207638066	0.93860418528401879	0.56497456030159554
RUNX1	0.27738107875436518	6	-1.35575	0.91241063758132124	0.97315883417029281	0.55476215750873037
FUBP1	0.26340725806451615	4	-1.3669500000000001	0.91417951088724481	0.97315883417029281	0.5268145161290323
CHD4	0.2869793751097055	9	-1.4837100000000001	0.93105706390097032	0.97539311456292122	0.57395875021941101
DDX3X	0.20590101824097229	4	-2.4134500000000001	0.99209885206184978	0.99971327432082624	0.41180203648194458
EGFR	0.2052173710668404	4	-2.4908999999999999	0.99362900114307695	0.99971327432082624	0.41043474213368081
HSPA8	0.15757180156657966	4	-3.44387	0.99971327432082624	0.99971327432082624	0.31514360313315931
TP53	0.44130395608356432	38	5.5943300000000002	1.1073767696410259e-08	1.2181144466051285e-07	0.88260791216712864
APC	0.36495761653124792	147	2.1996600000000002	0.013915513386907975	0.06240319148704266	0.72991523306249584
FAM123B	0.46228604051874045	4	2.1196199999999998	0.017019052223738906	0.06240319148704266	0.9245720810374809
NRAS	0.37901989782326662	16	1.23813	0.10783393085662463	0.2965433098557177	0.75803979564653323
PIK3CA	0.38671467014990818	7	1.00725	0.15690732541616809	0.34519611591556981	0.77342934029981636
SMAD2	0.38018973426990543	7	0.78237999999999996	0.21699564202700561	0.36003137998067869	0.76037946853981087
ATM	0.37409577956721424	7	0.68598999999999999	0.24635970719466066	0.36003137998067869	0.74819155913442847
FBXW7	0.37033408758345648	8	0.63768000000000002	0.26184100362231177	0.36003137998067869	0.74066817516691297
ARID1A	0.3661403373248085	5	0.43603999999999998	0.33140385411591244	0.4050491550305596	0.73228067464961699
CHD4	0.35767903028348874	5	0.27440999999999999	0.39188477948780837	0.4310732574365892	0.71535806056697748
KRAS	0.33647151776850071	27	-0.36768000000000001	0.64344407240658252	0.64344407240658252	0.67294303553700141
TP53	0.44395555179458174	81	7.5081499999999997	2.9984384806067213e-14	6.5965646573347862e-13	0.88791110358916348
PTEN	0.44160181900824869	71	7.0588300000000004	8.3955168996104807e-13	9.235068589571529e-12	0.88320363801649737
ATRX	0.46265970585984595	11	3.0380099999999999	0.0011907302587174338	0.0087320218972611816	0.9253194117196919
IDH1	0.41860252870743042	13	2.59795	0.0046891074302404358	0.025790090866322397	0.83720505741486084
NF1	0.38389435685369944	31	2.4030999999999998	0.0081283706056995506	0.035764830665078025	0.76778871370739887
RB1	0.40287888405407102	17	2.25285	0.012134304181221613	0.044492448664479246	0.80575776810814204
HSP90AB1	0.44812730285949964	6	2.01233	0.022092581019472642	0.06943382606119973	0.89625460571899929
MAP3K4	0.41558607268230741	5	1.42824	0.076611395513440664	0.19738445198994464	0.83117214536461481
PIK3CA	0.35563733020656313	24	1.3690899999999999	0.08548557189808309	0.19738445198994464	0.71127466041312626
STAG2	0.37580089932128791	11	1.3424799999999999	0.089720205449974832	0.19738445198994464	0.75160179864257581
PIK3R1	0.34100082316229291	16	0.72136999999999996	0.23534094962603647	0.47068189925207293	0.68200164632458582
PIK3CB	0.34920573620051676	4	0.43247000000000002	0.33269992582719443	0.60994986401652318	0.69841147240103352
KDR	0.32426541681830834	12	0.24979000000000001	0.40137487675255334	0.67924979142739794	0.64853083363661668
PTPN11	0.29841100720497227	4	-0.13697000000000001	0.55447274594231766	0.87131431505221346	0.59682201440994453
MEN1	0.21611220567513065	6	-1.5041800000000001	0.93373248701612366	0.99980619571359219	0.43222441135026129
CHD8	0.24897387037311139	18	-1.64317	0.94982611748126544	0.99980619571359219	0.49794774074622278
PBRM1	0.1869130628341098	6	-1.83649	0.966857390137287	0.99980619571359219	0.3738261256682196
LRP6	0.15031262911555127	5	-2.2761800000000001	0.98858238077534555	0.99980619571359219	0.30062525823110253
MAP4K3	0.1432430462400785	5	-2.2960199999999999	0.98916263107130442	0.99980619571359219	0.286486092480157
RPL5	0.23169257051888234	24	-2.3452600000000001	0.99049309232867877	0.99980619571359219	0.46338514103776468
NCF2	0.046847888413644581	4	-3.3494899999999999	0.99959519760957416	0.99980619571359219	0.093695776827289162
MLL	0.029987439656724998	4	-3.5483799999999999	0.99980619571359219	0.99980619571359219	0.059974879313449997
TP53	0.40898851541150033	126	8.7553699999999992	1.0171749604239802e-18	7.5270947071374525e-17	0.81797703082300066
CDKN2A	0.45730685570240109	23	5.1665200000000002	1.1924634674860223e-07	4.4121148296982821e-06	0.91461371140480219
NOTCH1	0.42275844998594891	24	4.2691100000000004	9.8127236054854372e-06	0.00020081475907679174	0.84551689997189783
CASP8	0.43798952651790041	18	4.2465400000000004	1.0854851841988743e-05	0.00020081475907679174	0.87597905303580081
FBXW7	0.43851564494918044	12	3.5548500000000001	0.0001890973909266431	0.0027986413857143178	0.87703128989836088
PBRM1	0.46469592210368094	7	3.1468600000000002	0.00082516980481843222	0.0093434616113072279	0.92939184420736187
HSPA8	0.4506720620947513	8	3.1267200000000002	0.00088384096323176485	0.0093434616113072279	0.9013441241895026
MLL2	0.37200224709970581	27	2.6732200000000002	0.0037563481674702409	0.032402158037206016	0.74400449419941161
NSD1	0.36343408197534049	33	2.6570999999999998	0.0039408030045250562	0.032402158037206016	0.72686816395068099
WHSC1	0.39414158170803609	12	2.2922099999999999	0.010946764094056795	0.081006054296020272	0.78828316341607219
CTCF	0.39762244333648583	10	2.2191200000000002	0.013239280868941208	0.084328271408541711	0.79524488667297166
FAT1	0.35139560995453278	44	2.2064900000000001	0.013674854823006765	0.084328271408541711	0.70279121990906557
ARFGAP1	0.43470018534990384	4	1.94381	0.025959183710661277	0.14776766112222572	0.86940037069980769
ATM	0.40152376284029623	7	1.8976500000000001	0.028871101596414855	0.15260439415247851	0.80304752568059246
EGFR	0.39145516301929395	8	1.8308500000000001	0.033561467505656951	0.16556990636124094	0.7829103260385879
MYH9	0.3700967370158833	13	1.6862600000000001	0.045872865904649875	0.21079937379129671	0.74019347403176661
HLA-A	0.38236033458291213	8	1.6389400000000001	0.050612878054780028	0.21079937379129671	0.76472066916582426
CUL1	0.3933609589100901	7	1.6326099999999999	0.051275523354639745	0.21079937379129671	0.78672191782018019
CYLD	0.37918452676280001	8	1.5703499999999999	0.058166853938437901	0.22654458902338973	0.75836905352560002
ELF4	0.40267329315772271	4	1.41049	0.079197523574384254	0.29303083722522172	0.80534658631544542
TGFBR2	0.36320045790468591	11	1.3751500000000001	0.084542472909285293	0.29791157120414818	0.72640091580937183
ZNF750	0.35487347885201703	14	1.3354299999999999	0.090867825733198015	0.30564632292075694	0.70974695770403406
RHOA	0.38811780146009794	4	1.1555200000000001	0.12393877365897182	0.3956047484593439	0.77623560292019589
FOXP1	0.37963887023419174	4	1.1037999999999999	0.13483995243353675	0.3956047484593439	0.75927774046838348
FN1	0.35060216714441156	11	1.1001700000000001	0.13562902953901007	0.3956047484593439	0.70120433428882312
NOTCH2	0.37558457154513281	4	1.08484	0.13899626297220191	0.3956047484593439	0.75116914309026561
FAT2	0.34606195863725397	12	1.0579700000000001	0.14503455986786956	0.39750212704527216	0.69212391727450795
RAC1	0.35052699909215701	8	1.02258	0.15325323491524351	0.40502640656171496	0.70105399818431402
LAMA2	0.32942968467550693	40	0.99812000000000001	0.15911058650396542	0.40600632418253246	0.65885936935101386
PIK3CA	0.3371766110063158	15	0.85914000000000001	0.19513164059105959	0.47596599762422137	0.67435322201263159
ACTB	0.36088376322751325	4	0.82413000000000003	0.20493284786802657	0.47596599762422137	0.72176752645502651
APC	0.33078820637356671	22	0.82099999999999995	0.20582313410777142	0.47596599762422137	0.66157641274713341
HRAS	0.32921289423390565	15	0.60053999999999996	0.27407320562059534	0.59176646050507442	0.6584257884678113
ATRX	0.32766386571355172	13	0.58687	0.27864550974374841	0.59176646050507442	0.65532773142710343
PIK3R1	0.34523447162289	4	0.56337999999999999	0.28658807653541518	0.59176646050507442	0.69046894324578001
LPHN2	0.33953276492534573	5	0.55957000000000001	0.28788638619165785	0.59176646050507442	0.67906552985069146
NUP107	0.3328884281092484	4	0.40665000000000001	0.34213253424984724	0.68426506849969448	0.6657768562184968
EPHA2	0.32937317561040957	6	0.35698000000000002	0.36055338915345014	0.70213028414092926	0.65874635122081915
TJP2	0.32650903149054611	4	0.30895	0.37867978076007347	0.71852060964731901	0.65301806298109222
ARID2	0.31857794746134671	8	0.17835999999999999	0.42922013046987195	0.7885893083810579	0.63715589492269342
TAOK2	0.31279443065228246	14	0.15878	0.43692110329220774	0.7885893083810579	0.62558886130456492
COL1A1	0.30754380835206463	5	0.01494	0.49404002404630881	0.87045147093873465	0.61508761670412926
DNMT3A	0.30459971594954721	4	-0.052810000000000003	0.5210583531135462	0.89670507280005629	0.60919943189909442
TRIP10	0.30295821898198161	7	-108	0.54300215389471662	0.91323089518656886	0.60591643796396322
SMARCA4	0.29442256629619323	9	-0.26268999999999998	0.60360523748923844	0.97200273260674253	0.58884513259238647
BAP1	0.29123259789569128	4	-0.26428000000000001	0.60421791486365073	0.97200273260674253	0.58246519579138256
MEF2C	0.29114188738630342	6	-0.3221	0.62631153085946034	0.97612336653527043	0.58228377477260684
CUL3	0.29114501444439378	7	-0.35835	0.63995929772801441	0.97612336653527043	0.58229002888878756
KALRN	0.28891925438398991	9	-0.37548999999999999	0.64635195892200337	0.97612336653527043	0.57783850876797982
THRAP3	0.26556173103912029	4	-0.65832999999999997	0.74483694761428576	0.99999999999999967	0.53112346207824057
PIK3R3	0.2655539397144368	4	-0.67118	0.74894706600382022	0.99999999999999967	0.53110787942887361
ARID1B	0.26925818495651133	5	-0.67689999999999995	0.75076529794403402	0.99999999999999967	0.53851636991302265
PRPF8	0.26533838300374529	5	-0.68371000000000004	0.75292084620021871	0.99999999999999967	0.53067676600749059
CSNK2A1	0.26789118536585155	5	-0.70625000000000004	0.75998365931873324	0.99999999999999967	0.53578237073170309
EP300	0.28822383812425395	39	-0.90522999999999998	0.81732822412970374	0.99999999999999967	0.5764476762485079
EIF2C3	0.24352607754295674	4	-0.93296999999999997	0.8245822709723597	0.99999999999999967	0.48705215508591349
MACF1	0.28291503199611961	26	-0.93544000000000005	0.82521920454785946	0.99999999999999967	0.56583006399223923
ATR	0.24578682713760794	5	-0.99441000000000002	0.83998834917549359	0.99999999999999967	0.49157365427521588
APAF1	0.25236750611595088	7	-1.11022	0.86654788176529385	0.99999999999999967	0.50473501223190176
SOX9	0.23272446183813011	4	-1.20977	0.88681641957986967	0.99999999999999967	0.46544892367626023
SPTAN1	0.23350990770125618	4	-1.23624	0.89181531683798232	0.99999999999999967	0.46701981540251236
NCF2	0.22686549446252249	4	-1.2642100000000001	0.89692266874074922	0.99999999999999967	0.45373098892504499
BAZ2B	0.24534286976014272	9	-1.4233800000000001	0.92268698646843872	0.99999999999999967	0.49068573952028544
PCDH18	0.20753086719727332	5	-1.6728400000000001	0.95282060096876431	0.99999999999999967	0.41506173439454663
NCOR1	0.2471515317873664	14	-1.7469699999999999	0.95967872894457451	0.99999999999999967	0.4943030635747328
BRCA1	0.22863176680144004	9	-1.8878999999999999	0.97048031172178217	0.99999999999999967	0.45726353360288008
MLL	0.24499301967514597	17	-2.0182899999999999	0.97821946621221845	0.99999999999999967	0.48998603935029195
NF1	0.19242411169020718	7	-2.3696799999999998	0.99109825666630824	0.99999999999999967	0.38484822338041436
NFE2L2	0.2193389348315235	14	-2.5088499999999998	0.99394375465291918	0.99999999999999967	0.438677869663047
ACTG1	0.14285714285714285	4	-2.5100600000000002	0.99396446752258438	0.99999999999999967	0.2857142857142857
RUNX1	0.099274922149224412	4	-3.24213	0.99940680054657038	0.99999999999999967	0.19854984429844882
CLSPN	0.055270929216044887	5	-4.4072899999999997	0.99999476639986784	0.99999999999999967	0.11054185843208977
DMD	0.12092082602861069	33	-8.07334	0.99999999999999967	0.99999999999999967	0.24184165205722138
PBRM1	0.45315987966025628	29	2.1229100000000001	0.016880697162441317	0.082499666270068675	0.90631975932051256
VHL	0.4620758429892512	18	2.04101	0.020624916567517169	0.082499666270068675	0.92415168597850239
KDM5C	0.5	6	1.7962899999999999	0.036224203715696394	0.096597876575190381	1.0
BAP1	0.39745738835414302	16	-0.02545	0.51015198511336513	0.941738132478668	0.79491477670828603
PTEN	0.38734215943922423	5	-0.22391	0.5885863327991675	0.941738132478668	0.77468431887844846
SETD2	0.3748988601620189	13	-0.55128999999999995	0.70928255375856575	0.94571007167808763	0.7497977203240378
MTOR	0.34892417082003757	15	-1.4853799999999999	0.93127840469840484	0.97979972469948406	0.69784834164007514
PABPC1	0.29488693225562784	7	-2.0496300000000001	0.97979972469948406	0.97979972469948406	0.58977386451125569
DNMT3A	0.45407436409295199	37	2.3355100000000002	0.009758397058669592	0.15613435293871347	0.90814872818590398
IDH1	0.44857657969456155	18	1.3667199999999999	0.085856543257131435	0.68685234605705148	0.8971531593891231
U2AF1	0.44953709842183437	4	0.70418999999999998	0.24065722887406793	0.999999999999999	0.89907419684366874
STAG2	0.44026828061618933	6	0.59421000000000002	0.27618583259334717	0.999999999999999	0.88053656123237867
CEBPA	0.43382961124896624	7	0.45545000000000002	0.32439276550724749	0.999999999999999	0.86765922249793248
RUNX1	0.42379319809209903	11	0.15121000000000001	0.43990503106998569	0.999999999999999	0.84758639618419807
TP53	0.42294356164623154	14	0.12481	0.45033698522306992	0.999999999999999	0.84588712329246307
IDH2	0.41306955139269508	18	-0.23469999999999999	0.59277920613238766	0.999999999999999	0.82613910278539016
KIT	0.39977456391981797	4	-0.44186999999999999	0.67070835965459419	0.999999999999999	0.79954912783963594
ASXL1	0.38333462581344024	4	-0.86402000000000001	0.80621154806699624	0.999999999999999	0.76666925162688049
KRAS	0.37743600871761179	11	-1.4834700000000001	0.93102520933440558	0.999999999999999	0.75487201743522359
WT1	0.35329967286264352	5	-1.6644099999999999	0.95198473848549581	0.999999999999999	0.70659934572528704
PTPN11	0.3628813808618967	8	-1.8762700000000001	0.96969089285280907	0.999999999999999	0.72576276172379339
FLT3	0.37182729245359586	16	-2.24647	0.98766304048501941	0.999999999999999	0.74365458490719172
TET2	0.35341465720605397	22	-3.3886400000000001	0.99964879919065841	0.999999999999999	0.70682931441210795
NRAS	0.29533109068420288	30	-7.94374	0.999999999999999	0.999999999999999	0.59066218136840576
IDH1	0.414947040112365	128	10.45975	6.6102010574871963e-26	1.652550264371799e-24	0.82989408022472999
TP53	0.43437914062244187	74	8.9877500000000001	1.2617162471312795e-19	1.5771453089140995e-18	0.86875828124488375
ATRX	0.42563225337131555	47	6.70031	1.0398892813489014e-11	8.6657440112408452e-11	0.8512645067426311
CIC	0.39100530703633413	37	4.9730600000000003	3.2952126148240588e-07	2.0595078842650368e-06	0.78201061407266825
FUBP1	0.44722507216597568	12	3.91832	4.4584139677331067e-05	0.00022292069838665532	0.89445014433195136
IDH2	0.49795461570333166	6	3.5032899999999998	0.00022977442534481251	0.00095739343893671885	0.99590923140666332
PTEN	0.49492571667712909	6	3.4081299999999999	0.00032704862292242927	0.001168030796151533	0.98985143335425818
TCF12	0.4450740917578721	5	2.47939	0.0065803658592210081	0.02056364331006565	0.89014818351574421
