#List of 459 mutation driver genes in full cohort.
#
##geneHGNCsymbol
##Tumor_type = where gene was detected as mutational driver
###
geneHGNCsymbol	Tumor_type
ASH1L	RCCC
ASH1L	HC
ASH1L	OV
ASH1L	SCLC
ASH1L	STAD
ASPM	BRCA
ASPM	COREAD
ASPM	ESCA
ASPM	OV
ASPM	SCLC
ASPM	CM
ASXL1	AML
ATF1	BRCA
ATF1	RCCC
ATF1	OV
ATF1	CM
ATF1	UCEC
ATIC	BRCA
ATIC	HNSC
ATIC	LUAD
ATIC	OV
ATIC	PRAD
ATIC	CM
ATIC	STAD
ATIC	UCEC
ATM	BRCA
ATM	CLL
ATM	COREAD
ATM	ESCA
ATM	HNSC
ATM	RCCC
ATM	NB
ATM	PAAD
ATM	PRAD
ATM	UCEC
ATP6AP2	HNSC
ATP6AP2	LUAD
ATP6AP2	CM
ATP6AP2	STAD
ATR	BLCA
ATR	BRCA
ATR	ESCA
ATR	HNSC
ATR	OV
ATR	SCLC
ATR	STAD
ATR	UCEC
ATRX	COREAD
ATRX	ESCA
ATRX	GBM
ATRX	HNSC
ATRX	LGG
ATRX	HC
ATRX	NB
ATRX	OV
ATRX	PRAD
ATRX	SCLC
ATRX	CM
ATRX	STAD
AXIN1	UCEC
AXIN2	COREAD
B2M	HNSC
B2M	LUSC
B2M	CM
BAP1	BLCA
BAP1	BRCA
BAP1	ESCA
BAP1	GBM
BAP1	HNSC
BAP1	RCCC
BAP1	LUAD
BAP1	OV
BAP1	CM
BAP1	STAD
BAZ2B	HNSC
BAZ2B	LUAD
BAZ2B	OV
BAZ2B	SCLC
BAZ2B	CM
BAZ2B	UCEC
BCL11A	HNSC
BCLAF1	BLCA
BCLAF1	ESCA
BCLAF1	RCCC
BCLAF1	MB
BCLAF1	PRAD
BCLAF1	SCLC
BCLAF1	CM
BCLAF1	UCEC
BCOR	BLCA
BCOR	BRCA
BCOR	CLL
BCOR	COREAD
BCOR	RCCC
BCOR	AML
BCOR	MB
BCOR	PRAD
BCOR	STAD
BLM	BLCA
BLM	ESCA
BLM	HC
BLM	LUAD
BLM	LUSC
BLM	CM
BMPR2	BLCA
BMPR2	BRCA
BMPR2	COREAD
BMPR2	HNSC
BMPR2	RCCC
BMPR2	LUAD
BMPR2	OV
BMPR2	SCLC
BMPR2	CM
BMPR2	UCEC
BNC2	BRCA
BNC2	HNSC
BNC2	PRAD
BNC2	SCLC
BNC2	CM
BPTF	BRCA
BPTF	COREAD
BPTF	ESCA
BPTF	GBM
BPTF	HNSC
BPTF	HC
BPTF	PRAD
BPTF	CM
BPTF	STAD
BPTF	THCA
BRAF	BLCA
BRAF	BRCA
BRAF	COREAD
BRAF	GBM
BRAF	HNSC
BRAF	LUAD
BRAF	MM
BRAF	OV
BRAF	PRAD
BRAF	CM
BRAF	STAD
BRAF	THCA
BRAF	UCEC
BRCA1	BLCA
BRCA1	BRCA
BRCA1	GBM
BRCA1	HNSC
BRCA1	OV
BRCA1	CM
BRCA1	STAD
BRCA1	UCEC
BRCA2	BRCA
BRCA2	OV
BRWD1	COREAD
BRWD1	HNSC
BRWD1	LUAD
BRWD1	SCLC
BRWD1	CM
C15orf55	CM
CAD	BLCA
CAD	BRCA
CAD	COREAD
CAD	GBM
CAD	HNSC
CAD	RCCC
CAD	LGG
CAD	STAD
CAPN7	ESCA
CAPN7	LUAD
CAPN7	STAD
CAPN7	UCEC
CARM1	BLCA
CARM1	BRCA
CARM1	GBM
CARM1	HNSC
CARM1	LUAD
CARM1	UCEC
CASP1	GBM
CASP1	HNSC
CASP1	OV
CASP1	PRAD
CASP1	CM
CASP8	BLCA
CASP8	BRCA
CASP8	COREAD
CASP8	HNSC
CASP8	LUAD
CASP8	LUSC
CASP8	MM
CASP8	CM
CASP8	STAD
CAST	BLCA
CAST	BRCA
CAST	LUSC
CAST	CM
CAST	UCEC
CAT	BLCA
CAT	HNSC
CAT	RCCC
CAT	LUAD
CAT	PRAD
CAT	CM
CAT	STAD
CAT	UCEC
CBFB	BRCA
CBFB	AML
CBFB	CM
CCAR1	BLCA
CCAR1	BRCA
CCAR1	HNSC
CCAR1	RCCC
CCAR1	LUAD
CCAR1	LUSC
CCAR1	MB
CCAR1	OV
CCAR1	CM
CCAR1	STAD
CCND1	UCEC
CCT5	BLCA
CCT5	BRCA
CCT5	HNSC
CCT5	LUAD
CCT5	OV
CCT5	SCLC
CCT5	CM
CCT5	STAD
CDC27	PRAD
CDC73	COREAD
CDC73	RCCC
CDC73	LUSC
CDC73	CM
CDC73	STAD
CDH1	BLCA
CDH1	BRCA
CDH1	ESCA
CDH1	HNSC
CDH1	RCCC
CDH1	LUAD
CDH1	LUSC
CDH1	PRAD
CDH1	CM
CDH1	STAD
CDK12	BLCA
CDK12	BRCA
CDK12	COREAD
CDK12	HNSC
CDK12	LGG
CDK12	LUAD
CDK12	OV
CDK12	SCLC
CDK12	THCA
CDK4	CM
CDKN1A	BLCA
CDKN1A	LUSC
CDKN1A	CM
CDKN1B	BLCA
CDKN1B	BRCA
CDKN1B	COREAD
CDKN1B	ESCA
CDKN1B	HNSC
CDKN1B	LUAD
CDKN1B	PRAD
CDKN1B	UCEC
CDKN2A	BLCA
CDKN2A	ESCA
CDKN2A	HNSC
CDKN2A	LUAD
CDKN2A	LUSC
CDKN2A	CM
CDKN2A	STAD
CEBPA	AML
CEP290	BLCA
CEP290	BRCA
CEP290	COREAD
CEP290	ESCA
CEP290	HNSC
CEP290	HC
CEP290	MM
CEP290	NB
CEP290	PRAD
CEP290	CM
CEP290	STAD
CHD1L	LUAD
CHD1L	LUSC
CHD1L	OV
CHD1L	PRAD
CHD1L	SCLC
CHD1L	CM
CHD1L	STAD
CHD3	BLCA
CHD3	LUSC
CHD3	PRAD
CHD3	CM
CHD3	STAD
CHD3	THCA
CHD3	UCEC
CHD4	BRCA
CHD4	COREAD
CHD4	DLBC
CHD4	ESCA
CHD4	AML
CHD4	OV
CHD4	PRAD
CHD4	UCEC
CHD6	CM
CHD8	GBM
CHD9	BLCA
CHD9	BRCA
CHD9	COREAD
CHD9	HNSC
CHD9	MM
CHD9	CM
CHD9	UCEC
CHEK2	BLCA
CHEK2	BRCA
CHEK2	RCCC
CHEK2	LGG
CHEK2	LUAD
CHEK2	LUSC
CHEK2	PRAD
CHEK2	SCLC
CHEK2	CM
CHEK2	STAD
CHEK2	UCEC
CIC	BLCA
CIC	BRCA
CIC	ESCA
CIC	LGG
CIC	LUAD
CIC	LUSC
CIC	CM
CIITA	HNSC
CLASP2	BLCA
CLASP2	BRCA
CLASP2	HNSC
CLASP2	LUAD
CLASP2	LUSC
CLASP2	OV
CLASP2	CM
CLASP2	STAD
CLCC1	CM
CLOCK	GBM
CLOCK	LUSC
CLOCK	CM
CLOCK	STAD
CLOCK	UCEC
CLSPN	BLCA
CLSPN	BRCA
CLSPN	CLL
CLSPN	COREAD
CLSPN	HNSC
CLSPN	LUAD
CLSPN	OV
CLSPN	SCLC
CLSPN	CM
CLTC	BLCA
CLTC	BRCA
CLTC	ESCA
CLTC	GBM
CLTC	RCCC
CLTC	CM
CLTC	STAD
CLTC	UCEC
CNOT1	ALL
CNOT1	BLCA
CNOT1	COREAD
CNOT1	ESCA
CNOT1	GBM
CNOT1	HC
CNOT1	PRAD
CNOT1	STAD
CNOT3	ALL
CNOT3	BRCA
CNOT3	CLL
CNOT3	ESCA
CNOT3	RCCC
CNOT3	LUAD
CNOT3	LUSC
CNOT3	PRAD
CNOT3	CM
CNOT4	HNSC
CNOT4	RCCC
CNOT4	LUAD
CNOT4	LUSC
CNOT4	STAD
CNOT4	UCEC
CNTNAP1	PRAD
COL1A1	HNSC
COL1A1	LUAD
COL1A1	NB
COL1A1	CM
COL1A1	STAD
COPS2	BLCA
COPS2	RCCC
COPS2	LUAD
COPS2	LUSC
COPS2	CM
COPS2	STAD
CREBBP	CLL
CREBBP	COREAD
CREBBP	DLBC
CREBBP	ESCA
CREBBP	LUAD
CREBBP	MB
CREBBP	NB
CREBBP	PAAD
CREBBP	SCLC
CRNKL1	LUAD
CRTC3	CM
CSDA	RCCC
CSDA	LUSC
CSDA	CM
CSDA	STAD
CSDE1	BLCA
CSDE1	BRCA
CSDE1	GBM
CSDE1	LUSC
CSDE1	OV
CSDE1	STAD
CSNK1G3	BRCA
CSNK1G3	ESCA
CSNK1G3	LUAD
CSNK1G3	CM
CSNK1G3	STAD
CSNK1G3	UCEC
CSNK2A1	HNSC
CTCF	BLCA
CTCF	BRCA
CTCF	COREAD
CTCF	HNSC
CTCF	RCCC
CTCF	LUAD
CTCF	CM
CTCF	UCEC
CTNNB1	BLCA
CTNNB1	COREAD
CTNNB1	ESCA
CTNNB1	HNSC
CTNNB1	HC
CTNNB1	LUAD
CTNNB1	LUSC
CTNNB1	MB
CTNNB1	OV
CTNNB1	PRAD
CTNNB1	CM
CTNNB1	STAD
CTNNB1	THCA
CTNNB1	UCEC
CTNND1	UCEC
CTTN	LUSC
CUL1	BRCA
CUL1	COREAD
CUL1	GBM
CUL1	HNSC
CUL1	RCCC
CUL1	AML
CUL1	LUSC
CUL1	CM
CUL1	STAD
CUL1	UCEC
CUL2	BLCA
CUL2	LUAD
CUL2	OV
CUL2	PRAD
CUL2	CM
CUL2	STAD
CUL3	ESCA
CUL3	HNSC
CUL3	LUAD
CUL3	PRAD
CUL3	CM
CUL3	STAD
CUX1	UCEC
CYLD	HNSC
CYLD	LUAD
CYLD	CM
CYLD	STAD
CYTH4	CM
DDX3X	BLCA
DDX3X	BRCA
DDX3X	CLL
DDX3X	HNSC
DDX3X	RCCC
DDX3X	LGG
DDX3X	LUAD
DDX3X	LUSC
DDX3X	MB
DDX3X	MM
DDX3X	CM
DDX5	BLCA
DDX5	BRCA
DDX5	ESCA
DDX5	RCCC
DDX5	LUAD
DDX5	OV
DDX5	CM
DDX5	STAD
DEPDC1B	UCEC
DHX15	BRCA
DHX15	RCCC
DHX15	LUAD
DHX15	LUSC
DHX15	CM
DHX15	STAD
DHX15	UCEC
DHX35	UCEC
DHX9	LUSC
DICER1	BLCA
DICER1	HNSC
DICER1	RCCC
DICER1	SCLC
DICER1	CM
DICER1	THCA
DICER1	UCEC
DIS3	BLCA
DIS3	BRCA
DIS3	COREAD
DIS3	GBM
DIS3	RCCC
DIS3	AML
DIS3	CM
DIS3	STAD
DIS3	UCEC
DLG1	BLCA
DLG1	ESCA
DLG1	LUSC
DLG1	OV
DLG1	CM
DLG1	STAD
DNMT3A	COREAD
DNMT3A	HNSC
DNMT3A	AML
DNMT3A	LUAD
DNMT3A	OV
DNMT3A	CM
DNMT3A	STAD
DNMT3A	UCEC
EEF1A1	ESCA
EEF1A1	HNSC
EEF1A1	RCCC
EEF1A1	LUSC
EEF1A1	STAD
EEF1B2	BLCA
EEF1B2	LGG
EEF1B2	LUAD
EEF1B2	PRAD
EFTUD2	LUAD
EGFR	BRCA
EGFR	CLL
EGFR	COREAD
EGFR	ESCA
EGFR	GBM
EGFR	HNSC
EGFR	RCCC
EGFR	AML
EGFR	LGG
EGFR	LUAD
EGFR	LUSC
EGFR	PRAD
EGFR	STAD
EGFR	UCEC
EIF1AX	BRCA
EIF1AX	LGG
EIF1AX	CM
EIF1AX	THCA
EIF1AX	UCEC
EIF2AK3	BLCA
EIF2AK3	ESCA
EIF2AK3	RCCC
EIF2AK3	LUAD
EIF2AK3	OV
EIF2AK3	PRAD
EIF2AK3	SCLC
EIF2AK3	CM
EIF2AK3	STAD
EIF2AK3	UCEC
EIF2C3	BRCA
EIF2C3	HNSC
EIF2C3	RCCC
EIF2C3	LUAD
EIF2C3	LUSC
EIF2C3	NB
EIF2C3	UCEC
EIF4A2	BLCA
EIF4A2	BRCA
EIF4A2	RCCC
EIF4A2	LUAD
EIF4A2	LUSC
EIF4A2	OV
EIF4A2	CM
EIF4A2	STAD
EIF4A2	UCEC
EIF4G1	BLCA
EIF4G1	BRCA
EIF4G1	ESCA
EIF4G1	RCCC
EIF4G1	LUAD
EIF4G1	PRAD
EIF4G1	CM
EIF4G1	STAD
EIF4G1	UCEC
EIF4G3	CM
ELF1	BLCA
ELF1	BRCA
ELF1	HNSC
ELF1	RCCC
ELF1	LUSC
ELF1	CM
ELF3	BLCA
ELF3	COREAD
ELF3	ESCA
ELF3	CM
ELF3	STAD
ELF4	HNSC
EP300	BLCA
EP300	BRCA
EP300	CLL
EP300	ESCA
EP300	HNSC
EP300	LUAD
EP300	PAAD
EP300	PRAD
EP300	SCLC
EP300	CM
EP300	UCEC
EPC1	PAAD
EPHA1	STAD
EPHA2	HNSC
EPHA4	LUAD
EPHB2	LUAD
ERBB2	BRCA
ERBB2IP	BLCA
ERBB2IP	BRCA
ERBB2IP	CLL
ERBB2IP	ESCA
ERBB2IP	RCCC
ERBB2IP	LUAD
ERBB2IP	LUSC
ERBB2IP	OV
ERBB2IP	CM
ERBB2IP	STAD
ERBB3	BLCA
ERBB3	CM
ERBB3	UCEC
ERCC2	BLCA
ERCC2	BRCA
ERCC2	ESCA
ERCC2	LUAD
ERCC2	PRAD
ERCC2	STAD
EZH2	ESCA
EZH2	GBM
EZH2	HNSC
EZH2	RCCC
EZH2	AML
EZH2	LUAD
EZH2	LUSC
EZH2	CM
EZH2	STAD
F8	OV
FAF1	CM
FAM123B	BLCA
FAM123B	COREAD
FAM123B	RCCC
FAM123B	LGG
FAM123B	OV
FAM123B	SCLC
FAM123B	STAD
FAM123B	UCEC
FAM46C	MM
FANCI	CM
FAS	CM
FAS	STAD
FAS	UCEC
FAT1	BLCA
FAT1	GBM
FAT1	HNSC
FAT1	LGG
FAT1	LUAD
FAT1	PRAD
FAT1	SCLC
FAT2	HNSC
FBXO11	DLBC
FBXW7	ALL
FBXW7	BLCA
FBXW7	BRCA
FBXW7	CLL
FBXW7	COREAD
FBXW7	ESCA
FBXW7	HNSC
FBXW7	LUAD
FBXW7	MB
FBXW7	OV
FBXW7	CM
FBXW7	UCEC
FCRL4	CM
FGFR1	AST
FGFR2	BLCA
FGFR2	CLL
FGFR2	ESCA
FGFR2	HNSC
FGFR2	LUAD
FGFR2	LUSC
FGFR2	PRAD
FGFR2	STAD
FGFR2	UCEC
FGFR3	BLCA
FGFR3	CLL
FGFR3	LUSC
FGFR3	CM
FIP1L1	PRAD
FKBP5	BLCA
FLT3	ALL
FLT3	BLCA
FLT3	BRCA
FLT3	ESCA
FLT3	HNSC
FLT3	RCCC
FLT3	AML
FLT3	HC
FLT3	OV
FLT3	STAD
FLT3	UCEC
FMR1	BRCA
FMR1	HNSC
FMR1	RCCC
FMR1	LUAD
FMR1	LUSC
FMR1	MB
FMR1	OV
FMR1	CM
FN1	BLCA
FN1	BRCA
FN1	COREAD
FN1	GBM
FN1	HNSC
FN1	LUAD
FN1	LUSC
FN1	PRAD
FN1	SCLC
FN1	CM
FOXA1	BRCA
FOXA2	UCEC
FOXP1	BRCA
FOXP1	COREAD
FOXP1	HNSC
FOXP1	LUSC
FOXP1	CM
FOXP1	STAD
FRG1	PRAD
FUBP1	BRCA
FUBP1	HNSC
FUBP1	LGG
FUBP1	LUAD
FUBP1	LUSC
FUBP1	CM
FUBP1	STAD
FUBP1	UCEC
FUS	BLCA
FUS	BRCA
FUS	RCCC
FXR1	COREAD
FXR1	LUAD
FXR1	LUSC
FXR1	MM
FXR1	CM
FXR1	UCEC
G3BP1	LUAD
G3BP2	BLCA
G3BP2	BRCA
G3BP2	HNSC
G3BP2	RCCC
G3BP2	LUAD
G3BP2	LUSC
G3BP2	PRAD
G3BP2	CM
G3BP2	STAD
G3BP2	UCEC
GATA3	BRCA
GATA3	COREAD
GATA3	LUSC
GATA3	CM
GATA3	STAD
GNA11	STAD
GNAI1	LUAD
GNAI1	LUSC
GNAI1	STAD
GNAI1	UCEC
GNAS	BLCA
GNAS	COREAD
GNAS	HNSC
GNAS	OV
GNAS	PRAD
GNAS	SCLC
GNAS	THCA
GNG2	LUAD
GNG2	CM
GOLGA5	BLCA
GOLGA5	BRCA
GOLGA5	COREAD
GOLGA5	LUSC
GOLGA5	OV
GOLGA5	CM
GOLGA5	STAD
GPS2	BLCA
GPS2	BRCA
GPS2	OV
GPS2	UCEC
GPSM2	HNSC
GPSM2	LUAD
GPSM2	LUSC
GPSM2	UCEC
HCFC1	BRCA
HDAC3	OV
HDAC3	CM
HDAC3	STAD
HDAC3	UCEC
HDAC9	GBM
HDAC9	RCCC
HDAC9	CM
HGF	ESCA
HGF	LGG
HGF	NSCLC
HGF	OV
HGF	PRAD
HGF	SCLC
HGF	UCEC
HLA-A	BLCA
HLA-A	BRCA
HLA-A	HNSC
HLA-A	LUAD
HLA-A	LUSC
HLA-A	CM
HLA-A	STAD
HLA-B	ESCA
HLA-B	HNSC
HLA-B	CM
HLA-B	STAD
HLF	BRCA
HLF	RCCC
HLF	LUSC
HLF	CM
HNF1A	PRAD
HNRPDL	BLCA
HNRPDL	BRCA
HNRPDL	CLL
HNRPDL	HNSC
HNRPDL	RCCC
HNRPDL	CM
HNRPDL	STAD
HNRPDL	THCA
HRAS	BLCA
HRAS	HNSC
HRAS	LUSC
HRAS	PRAD
HRAS	CM
HRAS	THCA
HSP90AA1	BLCA
HSP90AA1	LUAD
HSP90AA1	LUSC
HSP90AA1	OV
HSP90AB1	BLCA
HSP90AB1	GBM
HSP90AB1	RCCC
HSP90AB1	LUAD
HSP90AB1	LUSC
HSP90AB1	PRAD
HSP90AB1	SCLC
HSP90AB1	STAD
HSPA8	BLCA
HSPA8	BRCA
HSPA8	HNSC
HSPA8	LUAD
HSPA8	LUSC
HSPA8	PRAD
HSPA8	CM
IDH1	BLCA
IDH1	BRCA
IDH1	CLL
IDH1	GBM
IDH1	RCCC
IDH1	AML
IDH1	LGG
IDH1	HC
IDH1	LUAD
IDH1	LUSC
IDH1	PRAD
IDH1	CM
IDH1	UCEC
IDH2	COREAD
IDH2	AML
IDH2	LGG
IDH2	CM
ING1	UCEC
INPP4A	UCEC
INPPL1	UCEC
IREB2	BLCA
IREB2	ESCA
IREB2	HNSC
IREB2	LUAD
IREB2	LUSC
IREB2	CM
IREB2	STAD
IREB2	UCEC
IRF2	CLL
IRF2	STAD
IRF6	HNSC
IRF7	CM
IRS2	BLCA
IRS2	ESCA
IRS2	HNSC
IRS2	LUAD
IRS2	LUSC
IRS2	PRAD
IRS2	STAD
ITGA9	CM
ITSN1	BRCA
ITSN1	COREAD
ITSN1	ESCA
ITSN1	RCCC
ITSN1	HC
ITSN1	LUSC
ITSN1	OV
ITSN1	SCLC
ITSN1	CM
JMY	CM
KALRN	BRCA
KALRN	ESCA
KALRN	GBM
KALRN	HNSC
KALRN	NSCLC
KALRN	SCLC
KAT6B	LGG
KDM5C	BRCA
KDM5C	GBM
KDM5C	HNSC
KDM5C	RCCC
KDM5C	LUSC
KDM5C	CM
KDM6A	BLCA
KDM6A	CLL
KDM6A	ESCA
KDM6A	GBM
KDM6A	HNSC
KDM6A	RCCC
KDM6A	AML
KDM6A	LUAD
KDM6A	MB
KDM6A	PRAD
KDM6A	SCLC
KDM6A	CM
KDM6A	STAD
KDM6A	UCEC
KDR	GBM
KDR	LUAD
KEAP1	BLCA
KEAP1	BRCA
KEAP1	RCCC
KEAP1	LUAD
KEAP1	LUSC
KEAP1	NSCLC
KEAP1	PRAD
KIT	AML
KLF4	BRCA
KLF4	NB
KLF4	CM
KLF4	STAD
KLF4	UCEC
KLF6	BLCA
KLF6	HNSC
KLF6	LUAD
KLF6	CM
KLF6	STAD
KRAS	ALL
KRAS	BRCA
KRAS	CLL
KRAS	COREAD
KRAS	GBM
KRAS	AML
KRAS	LUAD
KRAS	LUSC
KRAS	MM
KRAS	NSCLC
KRAS	OV
KRAS	PAAD
KRAS	CM
KRAS	STAD
KRAS	THCA
KRAS	UCEC
LAMA2	HNSC
LCP1	BRCA
LCP1	RCCC
LCP1	LUAD
LCP1	CM
LCP1	STAD
LDHA	LUAD
LDHA	CM
LDHA	THCA
LIMA1	BLCA
LNPEP	CM
LPHN2	BRCA
LPHN2	COREAD
LPHN2	HNSC
LPHN2	RCCC
LPHN2	LUAD
LPHN2	OV
LPHN2	STAD
LRP6	BRCA
LRP6	ESCA
LRP6	GBM
LRP6	RCCC
LRP6	NB
LRP6	CM
LRPPRC	CM
MACF1	BRCA
MACF1	ESCA
MACF1	HNSC
MACF1	HC
MACF1	NB
MACF1	STAD
MAGI2	CM
MAP2K1	COREAD
MAP2K1	LUAD
MAP2K1	LUSC
MAP2K1	CM
MAP2K1	STAD
MAP2K4	BRCA
MAP2K4	ESCA
MAP2K4	LUAD
MAP2K4	PAAD
MAP2K4	CM
MAP2K4	STAD
MAP2K4	UCEC
MAP3K1	BLCA
MAP3K1	BRCA
MAP3K1	HNSC
MAP3K1	LUAD
MAP3K1	LUSC
MAP3K1	CM
MAP3K1	STAD
MAP3K1	UCEC
MAP3K11	CM
MAP3K4	BLCA
MAP3K4	COREAD
MAP3K4	ESCA
MAP3K4	GBM
MAP3K4	LUAD
MAP3K4	LUSC
MAP3K4	OV
MAP3K4	CM
MAP4K1	LUAD
MAP4K3	BLCA
MAP4K3	GBM
MAP4K3	HNSC
MAP4K3	LUAD
MAP4K3	OV
MAP4K3	CM
MAT2A	CM
MAX	BRCA
MAX	GBM
MAX	RCCC
MAX	LGG
MAX	LUAD
MAX	UCEC
MCM3	CM
MCM8	CM
MECOM	BLCA
MECOM	BRCA
MECOM	COREAD
MECOM	LGG
MECOM	MM
MECOM	NB
MECOM	OV
MECOM	PRAD
MECOM	CM
MECOM	STAD
MB12	BLCA
MB12	BRCA
MB12	CLL
MB12	COREAD
MB12	ESCA
MB12	AML
MB12	OV
MB12	PRAD
MB12	SCLC
MB12	STAD
MB17	HNSC
MB17	RCCC
MB17	LUAD
MB17	LUSC
MB17	CM
MB17	STAD
MB17	UCEC
MB23	BRCA
MB24	BLCA
MB24	BRCA
MB24	COREAD
MB24	RCCC
MB24	LUAD
MB24	LUSC
MB24	CM
MEF2C	HNSC
MEN1	GBM
MEN1	HNSC
MEN1	LUAD
MEN1	LUSC
MEN1	CM
MET	BLCA
MET	ESCA
MET	GBM
MET	RCCC
MET	LGG
MET	LUAD
MET	LUSC
MET	NB
MET	STAD
MET	UCEC
MFNG	CM
MGA	BLCA
MGA	BRCA
MGA	COREAD
MGA	ESCA
MGA	HNSC
MGA	RCCC
MGA	LUAD
MGA	MB
MGA	UCEC
MGMT	HNSC
MKL1	BRCA
MKL1	RCCC
MKL1	LUAD
MKL1	LUSC
MKL1	OV
MKL1	CM
MKL1	STAD
MKL1	UCEC
MLH1	BLCA
MLH1	BRCA
MLH1	LUAD
MLH1	LUSC
MLH1	OV
MLH1	CM
MLH1	STAD
MLH1	UCEC
MLH3	UCEC
MLL	BRCA
MLL	CLL
MLL	GBM
MLL	HNSC
MLL	LGG
MLL	LUAD
MLL	LUSC
MLL	SCLC
MLL	THCA
MLL2	BLCA
MLL2	BRCA
MLL2	CLL
MLL2	COREAD
MLL2	DLBC
MLL2	ESCA
