#Created by dcGO at 26/04/2016 10:42:29 (day/month/year hour:min:sec)
GO_ID	GO_name	GO_subontology	slim_level
GO:0008270	zinc ion binding	molecular_function	Moderately Informative
GO:0015079	potassium ion transmembrane transporter activity	molecular_function	Moderately Informative
GO:0016829	lyase activity	molecular_function	Moderately Informative
GO:0032947	protein complex scaffold	molecular_function	Moderately Informative
GO:0005516	calmodulin binding	molecular_function	Moderately Informative
GO:0005200	structural constituent of cytoskeleton	molecular_function	Moderately Informative
GO:0005509	calcium ion binding	molecular_function	Moderately Informative
GO:0016410	N-acyltransferase activity	molecular_function	Moderately Informative
GO:0008046	axon guidance receptor activity	molecular_function	Moderately Informative
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxyge	molecular_function	Moderately Informative
GO:0004175	endopeptidase activity	molecular_function	Moderately Informative
GO:0005201	extracellular matrix structural constituent	molecular_function	Moderately Informative
GO:0003823	antigen binding	molecular_function	Moderately Informative
GO:0000287	magnesium ion binding	molecular_function	Moderately Informative
GO:0051015	actin filament binding	molecular_function	Moderately Informative
GO:0015291	secondary active transmembrane transporter activity	molecular_function	Moderately Informative
GO:0016651	oxidoreductase activity, acting on NAD(P)H	molecular_function	Moderately Informative
GO:0004527	exonuclease activity	molecular_function	Moderately Informative
GO:0008135	translation factor activity, RNA binding	molecular_function	Moderately Informative
GO:0015081	sodium ion transmembrane transporter activity	molecular_function	Moderately Informative
GO:0003725	double-stranded RNA binding	molecular_function	Moderately Informative
GO:0005524	ATP binding	molecular_function	Moderately Informative
GO:0051427	hormone receptor binding	molecular_function	Moderately Informative
GO:0003727	single-stranded RNA binding	molecular_function	Moderately Informative
GO:0034061	DNA polymerase activity	molecular_function	Moderately Informative
GO:0016247	channel regulator activity	molecular_function	Moderately Informative
GO:0060090	binding, bridging	molecular_function	Moderately Informative
GO:0019207	kinase regulator activity	molecular_function	Moderately Informative
GO:0101005	ubiquitinyl hydrolase activity	molecular_function	Moderately Informative
GO:0019001	guanyl nucleotide binding	molecular_function	Moderately Informative
GO:0071814	protein-lipid complex binding	molecular_function	Moderately Informative
GO:0032182	ubiquitin-like protein binding	molecular_function	Moderately Informative
GO:0045502	dynein binding	molecular_function	Moderately Informative
GO:0019955	cytokine binding	molecular_function	Moderately Informative
GO:0005518	collagen binding	molecular_function	Moderately Informative
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	molecular_function	Moderately Informative
GO:0016876	ligase activity, forming aminoacyl-tRNA and related compounds	molecular_function	Moderately Informative
GO:0001012	RNA polymerase II regulatory region DNA binding	molecular_function	Moderately Informative
GO:0015078	hydrogen ion transmembrane transporter activity	molecular_function	Moderately Informative
GO:0042805	actinin binding	molecular_function	Moderately Informative
GO:0046332	SMAD binding	molecular_function	Moderately Informative
GO:0004842	ubiquitin-protein transferase activity	molecular_function	Moderately Informative
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	Moderately Informative
GO:0003924	GTPase activity	molecular_function	Moderately Informative
GO:0072341	modified amino acid binding	molecular_function	Moderately Informative
GO:0008238	exopeptidase activity	molecular_function	Moderately Informative
GO:0008565	protein transporter activity	molecular_function	Moderately Informative
GO:0005342	organic acid transmembrane transporter activity	molecular_function	Moderately Informative
GO:0003682	chromatin binding	molecular_function	Moderately Informative
GO:0008022	protein C-terminus binding	molecular_function	Moderately Informative
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	molecular_function	Moderately Informative
GO:0030506	ankyrin binding	molecular_function	Moderately Informative
GO:0017166	vinculin binding	molecular_function	Moderately Informative
GO:0001047	core promoter binding	molecular_function	Moderately Informative
GO:0052689	carboxylic ester hydrolase activity	molecular_function	Moderately Informative
GO:0004930	G-protein coupled receptor activity	molecular_function	Moderately Informative
GO:0046906	tetrapyrrole binding	molecular_function	Moderately Informative
GO:0003684	damaged DNA binding	molecular_function	Moderately Informative
GO:0035198	miRNA binding	molecular_function	Moderately Informative
GO:0008013	beta-catenin binding	molecular_function	Moderately Informative
GO:0051540	metal cluster binding	molecular_function	Moderately Informative
GO:0005319	lipid transporter activity	molecular_function	Moderately Informative
GO:0043566	structure-specific DNA binding	molecular_function	Moderately Informative
GO:0017154	semaphorin receptor activity	molecular_function	Moderately Informative
GO:0005507	copper ion binding	molecular_function	Moderately Informative
GO:0035004	phosphatidylinositol 3-kinase activity	molecular_function	Moderately Informative
GO:0003714	transcription corepressor activity	molecular_function	Moderately Informative
GO:0030246	carbohydrate binding	molecular_function	Moderately Informative
GO:0033612	receptor serine/threonine kinase binding	molecular_function	Moderately Informative
GO:0051213	dioxygenase activity	molecular_function	Moderately Informative
GO:0032451	demethylase activity	molecular_function	Moderately Informative
GO:0003697	single-stranded DNA binding	molecular_function	Moderately Informative
GO:0005112	Notch binding	molecular_function	Moderately Informative
GO:0052742	phosphatidylinositol kinase activity	molecular_function	Moderately Informative
GO:0030145	manganese ion binding	molecular_function	Moderately Informative
GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process	molecular_function	Moderately Informative
GO:0001948	glycoprotein binding	molecular_function	Moderately Informative
GO:0046915	transition metal ion transmembrane transporter activity	molecular_function	Moderately Informative
GO:0004536	deoxyribonuclease activity	molecular_function	Moderately Informative
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors	molecular_function	Moderately Informative
GO:0004312	fatty acid synthase activity	molecular_function	Moderately Informative
GO:0031625	ubiquitin protein ligase binding	molecular_function	Moderately Informative
GO:0034185	apolipoprotein binding	molecular_function	Moderately Informative
GO:0097109	neuroligin family protein binding	molecular_function	Moderately Informative
GO:0035254	glutamate receptor binding	molecular_function	Moderately Informative
GO:0035197	siRNA binding	molecular_function	Moderately Informative
GO:0048256	flap endonuclease activity	molecular_function	Informative
GO:0043140	ATP-dependent 3'-5' DNA helicase activity	molecular_function	Informative
GO:0001191	transcriptional repressor activity, RNA polymerase II transcription factor binding	molecular_function	Informative
GO:0009931	calcium-dependent protein serine/threonine kinase activity	molecular_function	Informative
GO:0035375	zymogen binding	molecular_function	Informative
GO:0004407	histone deacetylase activity	molecular_function	Informative
GO:0016262	protein N-acetylglucosaminyltransferase activity	molecular_function	Informative
GO:0004702	receptor signaling protein serine/threonine kinase activity	molecular_function	Informative
GO:0071949	FAD binding	molecular_function	Informative
GO:0015269	calcium-activated potassium channel activity	molecular_function	Informative
GO:0048185	activin binding	molecular_function	Informative
GO:0035727	lysophosphatidic acid binding	molecular_function	Informative
GO:0000156	phosphorelay response regulator activity	molecular_function	Informative
GO:0004364	glutathione transferase activity	molecular_function	Informative
GO:0070063	RNA polymerase binding	molecular_function	Informative
GO:0005125	cytokine activity	molecular_function	Informative
GO:0005006	epidermal growth factor-activated receptor activity	molecular_function	Informative
GO:0001104	RNA polymerase II transcription cofactor activity	molecular_function	Informative
GO:0047485	protein N-terminus binding	molecular_function	Informative
GO:0051371	muscle alpha-actinin binding	molecular_function	Informative
GO:0015930	glutamate synthase activity	molecular_function	Informative
GO:0004970	ionotropic glutamate receptor activity	molecular_function	Informative
GO:0005017	platelet-derived growth factor-activated receptor activity	molecular_function	Informative
GO:0005432	calcium:sodium antiporter activity	molecular_function	Informative
GO:0001078	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specifi	molecular_function	Informative
GO:0004652	polynucleotide adenylyltransferase activity	molecular_function	Informative
GO:0005487	nucleocytoplasmic transporter activity	molecular_function	Informative
GO:0016922	ligand-dependent nuclear receptor binding	molecular_function	Informative
GO:0008171	O-methyltransferase activity	molecular_function	Informative
GO:0016895	exodeoxyribonuclease activity, producing 5'-phosphomonoesters	molecular_function	Informative
GO:0008483	transaminase activity	molecular_function	Informative
GO:0010181	FMN binding	molecular_function	Informative
GO:0000049	tRNA binding	molecular_function	Informative
GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specifi	molecular_function	Informative
GO:0015459	potassium channel regulator activity	molecular_function	Informative
GO:0015179	L-amino acid transmembrane transporter activity	molecular_function	Informative
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity	molecular_function	Informative
GO:0008409	5'-3' exonuclease activity	molecular_function	Informative
GO:0052813	phosphatidylinositol bisphosphate kinase activity	molecular_function	Informative
GO:0019239	deaminase activity	molecular_function	Informative
GO:0004736	pyruvate carboxylase activity	molecular_function	Informative
GO:0002151	G-quadruplex RNA binding	molecular_function	Informative
GO:0034046	poly(G) binding	molecular_function	Informative
GO:0015301	anion:anion antiporter activity	molecular_function	Informative
GO:0035035	histone acetyltransferase binding	molecular_function	Informative
GO:0036442	hydrogen-exporting ATPase activity	molecular_function	Informative
GO:0005231	excitatory extracellular ligand-gated ion channel activity	molecular_function	Informative
GO:0004383	guanylate cyclase activity	molecular_function	Informative
GO:0043139	5'-3' DNA helicase activity	molecular_function	Informative
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	molecular_function	Informative
GO:0004385	guanylate kinase activity	molecular_function	Informative
GO:0004004	ATP-dependent RNA helicase activity	molecular_function	Informative
GO:0015605	organophosphate ester transmembrane transporter activity	molecular_function	Informative
GO:1990825	sequence-specific mRNA binding	molecular_function	Informative
GO:0030971	receptor tyrosine kinase binding	molecular_function	Informative
GO:0003810	protein-glutamine gamma-glutamyltransferase activity	molecular_function	Informative
GO:0015271	outward rectifier potassium channel activity	molecular_function	Informative
GO:0016421	CoA carboxylase activity	molecular_function	Informative
GO:0050681	androgen receptor binding	molecular_function	Informative
GO:0030553	cGMP binding	molecular_function	Informative
GO:0000030	mannosyltransferase activity	molecular_function	Informative
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	molecular_function	Informative
GO:0004896	cytokine receptor activity	molecular_function	Informative
GO:0008705	methionine synthase activity	molecular_function	Informative
GO:0035184	histone threonine kinase activity	molecular_function	Informative
GO:0042605	peptide antigen binding	molecular_function	Informative
GO:0035251	UDP-glucosyltransferase activity	molecular_function	Informative
GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity	molecular_function	Informative
GO:0008083	growth factor activity	molecular_function	Informative
GO:0050431	transforming growth factor beta binding	molecular_function	Informative
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	molecular_function	Informative
GO:0051119	sugar transmembrane transporter activity	molecular_function	Informative
GO:0048306	calcium-dependent protein binding	molecular_function	Informative
GO:0016833	oxo-acid-lyase activity	molecular_function	Informative
GO:0031369	translation initiation factor binding	molecular_function	Informative
GO:0048407	platelet-derived growth factor binding	molecular_function	Informative
GO:0015036	disulfide oxidoreductase activity	molecular_function	Informative
GO:0005220	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	molecular_function	Informative
GO:0005384	manganese ion transmembrane transporter activity	molecular_function	Informative
GO:0015370	solute:sodium symporter activity	molecular_function	Informative
GO:0050700	CARD domain binding	molecular_function	Informative
GO:0016595	glutamate binding	molecular_function	Informative
GO:0035326	enhancer binding	molecular_function	Informative
GO:0008327	methyl-CpG binding	molecular_function	Informative
GO:0019869	chloride channel inhibitor activity	molecular_function	Informative
GO:0031593	polyubiquitin binding	molecular_function	Informative
GO:0016723	oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor	molecular_function	Informative
GO:0004016	adenylate cyclase activity	molecular_function	Informative
GO:0030284	estrogen receptor activity	molecular_function	Informative
GO:0016783	sulfurtransferase activity	molecular_function	Informative
GO:0031543	peptidyl-proline dioxygenase activity	molecular_function	Informative
GO:0016774	phosphotransferase activity, carboxyl group as acceptor	molecular_function	Informative
GO:0090599	alpha-glucosidase activity	molecular_function	Informative
GO:0033613	activating transcription factor binding	molecular_function	Informative
GO:0070006	metalloaminopeptidase activity	molecular_function	Informative
GO:0017034	Rap guanyl-nucleotide exchange factor activity	molecular_function	Informative
GO:0071855	neuropeptide receptor binding	molecular_function	Informative
GO:0008318	protein prenyltransferase activity	molecular_function	Informative
GO:0070628	proteasome binding	molecular_function	Informative
GO:0008266	poly(U) RNA binding	molecular_function	Informative
GO:0003964	RNA-directed DNA polymerase activity	molecular_function	Informative
GO:0043142	single-stranded DNA-dependent ATPase activity	molecular_function	Informative
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	molecular_function	Informative
GO:0030983	mismatched DNA binding	molecular_function	Informative
GO:0019865	immunoglobulin binding	molecular_function	Informative
GO:0042169	SH2 domain binding	molecular_function	Informative
GO:0016840	carbon-nitrogen lyase activity	molecular_function	Informative
GO:0001653	peptide receptor activity	molecular_function	Informative
GO:0003747	translation release factor activity	molecular_function	Informative
GO:0002162	dystroglycan binding	molecular_function	Informative
GO:0050136	NADH dehydrogenase (quinone) activity	molecular_function	Informative
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity	molecular_function	Informative
GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	molecular_function	Informative
GO:0004715	non-membrane spanning protein tyrosine kinase activity	molecular_function	Informative
GO:0008143	poly(A) binding	molecular_function	Informative
GO:0030507	spectrin binding	molecular_function	Informative
GO:0004637	phosphoribosylamine-glycine ligase activity	molecular_function	Informative
GO:0016634	oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor	molecular_function	Informative
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	molecular_function	Informative
GO:0016409	palmitoyltransferase activity	molecular_function	Informative
GO:0016289	CoA hydrolase activity	molecular_function	Informative
GO:0002039	p53 binding	molecular_function	Informative
GO:0003917	DNA topoisomerase type I activity	molecular_function	Informative
GO:0019104	DNA N-glycosylase activity	molecular_function	Informative
GO:0019202	amino acid kinase activity	molecular_function	Informative
GO:0004176	ATP-dependent peptidase activity	molecular_function	Informative
GO:0008378	galactosyltransferase activity	molecular_function	Informative
GO:0016886	ligase activity, forming phosphoric ester bonds	molecular_function	Informative
GO:0005086	ARF guanyl-nucleotide exchange factor activity	molecular_function	Informative
GO:0015198	oligopeptide transporter activity	molecular_function	Informative
GO:0016780	phosphotransferase activity, for other substituted phosphate groups	molecular_function	Informative
GO:0017080	sodium channel regulator activity	molecular_function	Informative
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	molecular_function	Informative
GO:0017046	peptide hormone binding	molecular_function	Informative
GO:0004551	nucleotide diphosphatase activity	molecular_function	Informative
GO:0043022	ribosome binding	molecular_function	Informative
GO:0043295	glutathione binding	molecular_function	Informative
GO:0017091	AU-rich element binding	molecular_function	Informative
GO:0030170	pyridoxal phosphate binding	molecular_function	Informative
GO:0004133	glycogen debranching enzyme activity	molecular_function	Informative
GO:0019825	oxygen binding	molecular_function	Informative
GO:0003878	ATP citrate synthase activity	molecular_function	Informative
GO:0098847	sequence-specific single stranded DNA binding	molecular_function	Informative
GO:0000149	SNARE binding	molecular_function	Informative
GO:0051861	glycolipid binding	molecular_function	Informative
GO:0016859	cis-trans isomerase activity	molecular_function	Informative
GO:0048029	monosaccharide binding	molecular_function	Informative
GO:0015377	cation:chloride symporter activity	molecular_function	Informative
GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds	molecular_function	Informative
GO:0030676	Rac guanyl-nucleotide exchange factor activity	molecular_function	Informative
GO:0052866	phosphatidylinositol phosphate phosphatase activity	molecular_function	Informative
GO:1901618	organic hydroxy compound transmembrane transporter activity	molecular_function	Informative
GO:0019238	cyclohydrolase activity	molecular_function	Informative
GO:0043621	protein self-association	molecular_function	Informative
GO:0017022	myosin binding	molecular_function	Informative
GO:0005337	nucleoside transmembrane transporter activity	molecular_function	Informative
GO:0008028	monocarboxylic acid transmembrane transporter activity	molecular_function	Informative
GO:0016417	S-acyltransferase activity	molecular_function	Informative
GO:0048027	mRNA 5'-UTR binding	molecular_function	Informative
GO:0004180	carboxypeptidase activity	molecular_function	Informative
GO:0030160	GKAP/Homer scaffold activity	molecular_function	Informative
GO:0055103	ligase regulator activity	molecular_function	Informative
GO:1901682	sulfur compound transmembrane transporter activity	molecular_function	Informative
GO:0008381	mechanically-gated ion channel activity	molecular_function	Informative
GO:0016878	acid-thiol ligase activity	molecular_function	Informative
GO:0097001	ceramide binding	molecular_function	Informative
GO:0008519	ammonium transmembrane transporter activity	molecular_function	Informative
GO:0010485	H4 histone acetyltransferase activity	molecular_function	Informative
GO:0070492	oligosaccharide binding	molecular_function	Informative
GO:1990174	phosphodiesterase decapping endonuclease activity	molecular_function	Informative
GO:0015562	efflux transmembrane transporter activity	molecular_function	Informative
GO:0019776	Atg8 ligase activity	molecular_function	Informative
GO:0000104	succinate dehydrogenase activity	molecular_function	Informative
GO:0034237	protein kinase A regulatory subunit binding	molecular_function	Informative
GO:0004738	pyruvate dehydrogenase activity	molecular_function	Informative
GO:0030276	clathrin binding	molecular_function	Informative
GO:0044729	hemi-methylated DNA-binding	molecular_function	Informative
GO:0001875	lipopolysaccharide receptor activity	molecular_function	Informative
GO:0004129	cytochrome-c oxidase activity	molecular_function	Informative
GO:0016778	diphosphotransferase activity	molecular_function	Informative
GO:0004075	biotin carboxylase activity	molecular_function	Informative
GO:0005080	protein kinase C binding	molecular_function	Informative
GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	molecular_function	Informative
GO:0005221	intracellular cyclic nucleotide activated cation channel activity	molecular_function	Informative
GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds	molecular_function	Informative
GO:0004819	glutamine-tRNA ligase activity	molecular_function	Informative
GO:0048038	quinone binding	molecular_function	Informative
GO:0016405	CoA-ligase activity	molecular_function	Informative
GO:0000900	translation repressor activity, nucleic acid binding	molecular_function	Informative
GO:0004614	phosphoglucomutase activity	molecular_function	Informative
GO:0043560	insulin receptor substrate binding	molecular_function	Informative
GO:0008900	hydrogen:potassium-exchanging ATPase activity	molecular_function	Informative
GO:0043531	ADP binding	molecular_function	Informative
GO:0004517	nitric-oxide synthase activity	molecular_function	Informative
GO:0016801	hydrolase activity, acting on ether bonds	molecular_function	Informative
GO:0005310	dicarboxylic acid transmembrane transporter activity	molecular_function	Informative
GO:0004012	phospholipid-translocating ATPase activity	molecular_function	Informative
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters	molecular_function	Informative
GO:0004829	threonine-tRNA ligase activity	molecular_function	Informative
GO:0008353	RNA polymerase II carboxy-terminal domain kinase activity	molecular_function	Informative
GO:0042165	neurotransmitter binding	molecular_function	Informative
GO:0017113	dihydropyrimidine dehydrogenase (NADP+) activity	molecular_function	Informative
GO:0030552	cAMP binding	molecular_function	Informative
GO:1904680	peptide transmembrane transporter activity	molecular_function	Informative
GO:0004198	calcium-dependent cysteine-type endopeptidase activity	molecular_function	Informative
GO:0043274	phospholipase binding	molecular_function	Informative
GO:0004601	peroxidase activity	molecular_function	Informative
GO:0031490	chromatin DNA binding	molecular_function	Informative
GO:0097110	scaffold protein binding	molecular_function	Informative
GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	Informative
GO:0016744	transferase activity, transferring aldehyde or ketonic groups	molecular_function	Informative
GO:0031432	titin binding	molecular_function	Informative
GO:0004622	lysophospholipase activity	molecular_function	Informative
GO:0016504	peptidase activator activity	molecular_function	Informative
GO:0015020	glucuronosyltransferase activity	molecular_function	Informative
GO:0072349	modified amino acid transmembrane transporter activity	molecular_function	Informative
GO:0004683	calmodulin-dependent protein kinase activity	molecular_function	Informative
GO:0008331	high voltage-gated calcium channel activity	molecular_function	Informative
GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors	molecular_function	Informative
GO:0050840	extracellular matrix binding	molecular_function	Informative
GO:0015106	bicarbonate transmembrane transporter activity	molecular_function	Informative
GO:0031072	heat shock protein binding	molecular_function	Informative
GO:0042800	histone methyltransferase activity (H3-K4 specific)	molecular_function	Informative
GO:0019888	protein phosphatase regulator activity	molecular_function	Informative
GO:0008374	O-acyltransferase activity	molecular_function	Informative
GO:0005484	SNAP receptor activity	molecular_function	Informative
GO:0004300	enoyl-CoA hydratase activity	molecular_function	Informative
GO:0008422	beta-glucosidase activity	molecular_function	Informative
GO:0004720	protein-lysine 6-oxidase activity	molecular_function	Informative
GO:0016594	glycine binding	molecular_function	Informative
GO:0019203	carbohydrate phosphatase activity	molecular_function	Informative
GO:0030515	snoRNA binding	molecular_function	Informative
GO:0001159	core promoter proximal region DNA binding	molecular_function	Informative
GO:0045503	dynein light chain binding	molecular_function	Informative
GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives	molecular_function	Informative
GO:0022829	wide pore channel activity	molecular_function	Informative
GO:0004396	hexokinase activity	molecular_function	Informative
GO:0036310	annealing helicase activity	molecular_function	Informative
GO:0051575	5'-deoxyribose-5-phosphate lyase activity	molecular_function	Informative
GO:0033592	RNA strand annealing activity	molecular_function	Informative
GO:0043394	proteoglycan binding	molecular_function	Informative
GO:0030291	protein serine/threonine kinase inhibitor activity	molecular_function	Informative
GO:0016615	malate dehydrogenase activity	molecular_function	Informative
GO:0008265	Mo-molybdopterin cofactor sulfurase activity	molecular_function	Informative
GO:0070568	guanylyltransferase activity	molecular_function	Informative
GO:0015114	phosphate ion transmembrane transporter activity	molecular_function	Informative
GO:0004722	protein serine/threonine phosphatase activity	molecular_function	Informative
GO:0004528	phosphodiesterase I activity	molecular_function	Informative
GO:0005381	iron ion transmembrane transporter activity	molecular_function	Informative
GO:0032448	DNA hairpin binding	molecular_function	Informative
GO:0070001	aspartic-type peptidase activity	molecular_function	Informative
GO:0004087	carbamoyl-phosphate synthase (ammonia) activity	molecular_function	Informative
GO:0051721	protein phosphatase 2A binding	molecular_function	Informative
GO:0019211	phosphatase activator activity	molecular_function	Informative
GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors	molecular_function	Informative
GO:1990239	steroid hormone binding	molecular_function	Informative
GO:0031491	nucleosome binding	molecular_function	Informative
GO:0005007	fibroblast growth factor-activated receptor activity	molecular_function	Informative
GO:0016500	protein-hormone receptor activity	molecular_function	Informative
GO:0008179	adenylate cyclase binding	molecular_function	Informative
GO:0046977	TAP binding	molecular_function	Informative
GO:0070569	uridylyltransferase activity	molecular_function	Informative
GO:0005391	sodium:potassium-exchanging ATPase activity	molecular_function	Informative
GO:0019843	rRNA binding	molecular_function	Informative
GO:0070851	growth factor receptor binding	molecular_function	Informative
GO:0042826	histone deacetylase binding	molecular_function	Informative
GO:0005042	netrin receptor activity	molecular_function	Informative
GO:0050699	WW domain binding	molecular_function	Informative
GO:0009881	photoreceptor activity	molecular_function	Informative
GO:0042162	telomeric DNA binding	molecular_function	Informative
GO:0005544	calcium-dependent phospholipid binding	molecular_function	Informative
GO:0002020	protease binding	molecular_function	Informative
GO:0004839	ubiquitin activating enzyme activity	molecular_function	Informative
GO:0008308	voltage-gated anion channel activity	molecular_function	Informative
GO:0051183	vitamin transporter activity	molecular_function	Informative
GO:0019956	chemokine binding	molecular_function	Informative
GO:0097161	DH domain binding	molecular_function	Informative
GO:0043682	copper-transporting ATPase activity	molecular_function	Informative
