Gene	Switch	Driver	NumInteractions	Lost	Gained	Kept	FracLost	FracGained	FracKept
5362	uc001hgz.2-uc001hgy.2	No driver	1	1	0	0	1	0	0
6854	uc003bwl.1-uc003bwn.2	No driver	2	0	0	2	0	0	1
2309	uc011ean.1-uc003psn.2	Driver	3	0	3	0	0	1	0
7294	uc011bzj.1-uc010igj.2	No driver	2	2	0	0	1	0	0
7294	uc011bzj.1-uc003gxx.3	No driver	2	0	0	2	0	0	1
3090	uc002ftz.3-uc010cjy.2	No driver	3	0	0	3	0	0	1
10401	uc001eoc.1-uc001eod.1	No driver	1	1	0	0	1	0	0
9025	uc003onq.3-uc011dtx.1	No driver	7	3	0	4	0.428571428571429	0	0.571428571428571
7862	uc011ati.1-uc003bse.2	No driver	1	0	0	1	0	0	1
3688	uc001iwt.3-uc001iwr.3	No driver	13	0	0	13	0	0	1
5859	uc003cvx.2-uc011bcc.1	No driver	2	1	0	1	0.5	0	0.5
4292	uc003cgl.2-uc010hgp.2	Driver	7	7	0	0	1	0	0
83892	uc001toi.1-uc001tok.1	No driver	2	2	0	0	1	0	0
83892	uc001toi.1-uc009zvi.1	No driver	2	0	0	2	0	0	1
10055	uc002pgd.2-uc010xyk.1	No driver	5	5	0	0	1	0	0
10484	uc001wup.1-uc010tqa.1	No driver	3	0	0	3	0	0	1
10484	uc001wup.1-uc010tqb.1	No driver	3	0	0	3	0	0	1
4254	uc001tav.2-uc009zsn.2	No driver	1	0	0	1	0	0	1
2965	uc001moh.2-uc001moj.2	Driver	2	2	0	0	1	0	0
54108	uc003yvl.2-uc010mem.1	No driver	1	1	0	0	1	0	0
51147	uc001qpw.3-uc009zev.2	No driver	4	4	0	0	1	0	0
51116	uc004cfv.3-uc010nat.2	No driver	2	0	0	2	0	0	1
4036	uc002ues.2-uc010zdf.1	No driver	12	0	0	12	0	0	1
54472	uc001lte.2-uc001ltf.2	No driver	1	0	0	1	0	0	1
64376	uc001lha.2-uc001lgz.2	No driver	3	3	0	0	1	0	0
3371	uc010mvf.2-uc004bjj.3	Driver	2	0	0	2	0	0	1
10042	uc003anl.2-uc003ank.2	Driver	1	0	0	1	0	0	1
51614	uc002xct.2-uc002xcv.2	No driver	1	0	0	1	0	0	1
4862	uc010yvt.1-uc010fit.1	No driver	8	8	0	0	1	0	0
23020	uc002svu.2-uc002svt.2	No driver	17	1	0	16	0.0588235294117647	0	0.941176470588235
55679	uc002tpa.2-uc002tou.2	No driver	1	0	0	1	0	0	1
55679	uc002tpa.2-uc002tov.2	No driver	1	0	0	1	0	0	1
201176	uc002iix.2-uc010dak.2	No driver	2	0	0	2	0	0	1
9610	uc001ohn.1-uc010roy.1	No driver	5	0	0	5	0	0	1
5921	uc003kiw.2-uc003kix.2	Driver	30	0	0	30	0	0	1
4868	uc002oby.2-uc010eem.1	No driver	3	3	0	0	1	0	0
2833	uc004eaf.2-uc011mpx.1	No driver	5	0	0	5	0	0	1
9734	uc010kud.1-uc011jye.1	Driver	1	0	0	1	0	0	1
9820	uc003otq.2-uc010jyh.2	No driver	3	0	0	3	0	0	1
9839	uc002tvu.2-uc010fnp.2	No driver	5	0	5	0	0	1	0
6432	uc002rqz.2-uc002rra.2	No driver	19	19	0	0	1	0	0
6047	uc003gfb.2-uc010icj.2	No driver	6	6	0	0	1	0	0
5801	uc001swg.1-uc001swh.1	No driver	3	0	3	0	0	1	0
5801	uc001swh.1-uc009zrs.2	No driver	3	0	0	3	0	0	1
115201	uc004enr.2-uc004enu.2	No driver	3	0	0	3	0	0	1
5468	uc003bwx.2-uc003bwv.2	Driver	10	1	0	9	0.1	0	0.9
144717	uc001tsd.3-uc009zvu.2	No driver	1	1	0	0	1	0	0
144717	uc001tsd.3-uc001tsc.2	No driver	1	0	0	1	0	0	1
51122	uc003exk.2-uc003exj.1	No driver	1	1	0	0	1	0	0
51122	uc003exj.1-uc003exk.2	No driver	1	0	1	0	0	1	0
3609	uc002mpn.2-uc010xli.1	No driver	3	1	0	2	0.333333333333333	0	0.666666666666667
3609	uc002mpn.2-uc002mpq.2	No driver	3	3	0	0	1	0	0
84708	uc003hag.3-uc003haf.3	No driver	9	0	0	9	0	0	1
84708	uc003hag.3-uc003hah.3	No driver	9	9	0	0	1	0	0
59349	uc001gyo.1-uc001gym.1	No driver	2	1	0	1	0.5	0	0.5
7203	uc001fol.1-uc001fon.1	No driver	8	0	0	8	0	0	1
5585	uc002myq.2-uc002myr.2	No driver	12	0	0	12	0	0	1
6678	uc003lui.2-uc003lug.2	No driver	4	1	0	3	0.25	0	0.75
2242	uc002bpv.2-uc010bny.2	Driver	4	0	0	4	0	0	1
2242	uc002bpv.2-uc002bpy.2	Driver	4	0	0	4	0	0	1
2242	uc002bpv.2-uc002bpx.2	Driver	4	0	0	4	0	0	1
5127	uc011mli.1-uc011mlj.1	No driver	7	0	0	7	0	0	1
8887	uc003szk.2-uc011jzp.1	No driver	1	0	0	1	0	0	1
84617	uc002kqw.2-uc002kqy.2	No driver	4	0	0	4	0	0	1
84617	uc002kqw.2-uc002kqx.2	No driver	4	0	0	4	0	0	1
2737	uc011kbg.1-uc011kbh.1	Driver	5	0	0	5	0	0	1
10494	uc010zot.1-uc002wbk.2	No driver	2	0	0	2	0	0	1
79982	uc003hvl.2-uc010ili.2	No driver	1	0	0	1	0	0	1
5378	uc002urh.3-uc010zgd.1	Driver	3	0	0	3	0	0	1
5378	uc002urh.3-uc002url.2	Driver	3	0	0	3	0	0	1
5378	uc002urh.3-uc002urm.2	Driver	3	3	0	0	1	0	0
1436	uc003lrl.2-uc011dcd.1	Driver	10	0	0	10	0	0	1
5878	uc002hza.2-uc010cxy.2	No driver	2	0	0	2	0	0	1
23157	uc004erw.2-uc004erv.2	Driver	4	0	0	4	0	0	1
23157	uc004erw.2-uc004ert.2	Driver	4	0	0	4	0	0	1
23157	uc004erw.2-uc004eru.2	Driver	4	0	0	4	0	0	1
9128	uc004bgy.2-uc004bgx.2	No driver	15	0	0	15	0	0	1
2002	uc004dik.3-uc004dil.3	No driver	1	1	0	0	1	0	0
2002	uc010nhv.2-uc004dil.3	No driver	1	1	0	0	1	0	0
7029	uc011bng.1-uc011bnf.1	Driver	6	0	0	6	0	0	1
10278	uc001wjo.2-uc010tnm.1	No driver	5	0	0	5	0	0	1
54431	uc002uow.1-uc002uoz.1	No driver	1	0	0	1	0	0	1
54431	uc002uow.1-uc010fro.1	No driver	1	1	0	0	1	0	0
535	uc002hzq.2-uc002hzu.2	No driver	3	3	0	0	1	0	0
535	uc002hzt.2-uc002hzu.2	No driver	3	3	0	0	1	0	0
54663	uc001nvk.1-uc009yoi.1	No driver	1	0	0	1	0	0	1
4055	uc001qny.1-uc010sfc.1	No driver	6	0	0	6	0	0	1
8301	uc001pbl.2-uc001pbk.2	Driver	2	2	0	0	1	0	0
8301	uc001pbm.2-uc001pbk.2	Driver	2	2	0	0	1	0	0
8826	uc002bpl.1-uc010uqg.1	No driver	9	9	0	0	1	0	0
834	uc010rvj.1-uc010rvf.1	Driver	4	0	0	4	0	0	1
834	uc001pim.3-uc010rvf.1	Driver	4	0	0	4	0	0	1
834	uc001pim.3-uc009yxi.2	Driver	4	0	0	4	0	0	1
56288	uc010qej.1-uc001ixo.1	No driver	8	0	0	8	0	0	1
29109	uc002esl.2-uc002esk.2	No driver	1	1	0	0	1	0	0
3767	uc001mna.2-uc001mnb.3	No driver	1	0	0	1	0	0	1
3055	uc002wxh.2-uc002wxi.2	No driver	23	0	0	23	0	0	1
545	uc003eux.3-uc003euy.1	Driver	4	2	0	2	0.5	0	0.5
487	uc002dro.1-uc002drp.1	No driver	2	0	0	2	0	0	1
54815	uc010xqv.1-uc010xqu.1	No driver	2	0	2	0	0	1	0
10612	uc001mdi.2-uc010raj.1	No driver	1	0	0	1	0	0	1
356	uc001git.2-uc001gis.2	No driver	3	0	3	0	0	1	0
356	uc001gis.2-uc001git.2	No driver	3	3	0	0	1	0	0
3084	uc003xis.2-uc010lvn.2	No driver	1	0	0	1	0	0	1
3084	uc003xis.2-uc003xix.2	No driver	5	0	4	1	0	0.8	0.2
372	uc001ptq.2-uc009zah.2	No driver	5	5	0	0	1	0	0
151888	uc003dzb.3-uc003dza.3	No driver	1	0	0	1	0	0	1
151888	uc003dza.3-uc003dzb.3	No driver	1	0	0	1	0	0	1
6789	uc002xnb.2-uc010ggy.2	Driver	8	0	0	8	0	0	1
7124	uc003nui.2-uc003nuj.2	Driver	2	2	0	0	1	0	0
6196	uc010kkl.1-uc010kkk.1	No driver	3	0	0	3	0	0	1
1780	uc010lfl.2-uc003uob.2	No driver	2	0	0	2	0	0	1
2661	uc011cxj.1-uc003kxz.1	No driver	1	0	0	1	0	0	1
23603	uc001tnj.2-uc010sxf.1	No driver	4	0	0	4	0	0	1
6431	uc010zwg.1-uc002xki.2	No driver	9	0	0	9	0	0	1
57534	uc002ktq.2-uc002ktp.2	No driver	2	0	0	2	0	0	1
55632	uc001wqk.2-uc010tpf.1	No driver	1	0	0	1	0	0	1
7132	uc001qnu.2-uc001qnt.2	No driver	18	0	0	18	0	0	1
6626	uc002opa.2-uc002ooz.2	No driver	16	1	0	15	0.0625	0	0.9375
6626	uc002ooz.2-uc002opa.2	No driver	16	0	1	15	0	0.0625	0.9375
284403	uc002odc.2-uc002odd.2	No driver	2	0	0	2	0	0	1
284403	uc002odd.2-uc002odc.2	No driver	2	0	0	2	0	0	1
5567	uc001djl.2-uc010orv.1	No driver	8	0	0	8	0	0	1
3675	uc010dbl.2-uc010dbm.2	No driver	1	0	0	1	0	0	1
23268	uc001kqh.2-uc010qpl.1	No driver	3	0	0	3	0	0	1
9612	uc010taz.1-uc010tay.1	Driver	11	0	0	11	0	0	1
5700	uc001xyg.2-uc001xyf.2	No driver	33	0	0	33	0	0	1
166	uc002lwy.1-uc002lxa.1	No driver	2	0	0	2	0	0	1
6655	uc001wxs.3-uc010ans.2	Driver	6	6	0	0	1	0	0
55666	uc002kat.3-uc002kar.2	No driver	2	2	0	0	1	0	0
55666	uc002kat.3-uc010dic.2	No driver	2	2	0	0	1	0	0
22929	uc001imk.2-uc010qbs.1	No driver	2	0	0	2	0	0	1
23327	uc002lhg.2-uc010dpm.1	Driver	6	2	0	4	0.333333333333333	0	0.666666666666667
23327	uc002lhg.2-uc002lgy.2	Driver	6	0	0	6	0	0	1
23327	uc002lhf.2-uc010dpn.2	Driver	6	3	0	3	0.5	0	0.5
10018	uc002tgv.1-uc010fke.1	Driver	5	5	0	0	1	0	0
64708	uc002vsg.1-uc002vsi.1	No driver	4	0	0	4	0	0	1
64708	uc002vsg.1-uc010fxy.1	No driver	4	0	0	4	0	0	1
116443	uc004bbo.1-uc004bbp.1	No driver	1	0	1	0	0	1	0
5287	uc001haw.2-uc010pqv.1	Driver	1	0	0	1	0	0	1
6720	uc002grs.1-uc002grp.1	No driver	6	6	0	0	1	0	0
6184	uc003ekr.1-uc011bkq.1	Driver	1	0	0	1	0	0	1
3065	uc001bvb.1-uc010ohf.1	No driver	31	0	0	31	0	0	1
10419	uc001whm.1-uc001whn.1	No driver	1	0	0	1	0	0	1
8856	uc003edk.2-uc003edl.2	No driver	6	1	0	5	0.166666666666667	0	0.833333333333333
323	uc003gvn.2-uc003gvk.2	No driver	1	0	0	1	0	0	1
323	uc003gvn.2-uc010ifu.2	No driver	1	0	0	1	0	0	1
10045	uc002mft.2-uc010xjg.1	No driver	2	2	0	0	1	0	0
8883	uc002eqf.2-uc002eqg.2	No driver	3	3	0	0	1	0	0
5451	uc001gee.2-uc010plh.1	No driver	11	0	0	11	0	0	1
7074	uc011adl.1-uc011adk.1	No driver	10	0	0	10	0	0	1
84108	uc001kwt.2-uc001kwu.2	No driver	2	0	0	2	0	0	1
5160	uc004czg.3-uc004czh.3	No driver	4	0	0	4	0	0	1
5160	uc004czg.3-uc010nfl.2	No driver	4	0	0	4	0	0	1
23408	uc003nay.2-uc003nax.2	No driver	1	0	0	1	0	0	1
23408	uc003nay.2-uc003naw.2	No driver	1	0	0	1	0	0	1
55054	uc002vua.2-uc002vtz.2	No driver	1	0	0	1	0	0	1
8195	uc002wnu.1-uc010zrd.1	No driver	1	1	0	0	1	0	0
2534	uc003pvj.2-uc003pvh.2	Driver	59	0	0	59	0	0	1
10051	uc003fdh.2-uc003fdl.2	No driver	2	0	0	2	0	0	1
1006	uc002eoh.2-uc002eog.1	No driver	1	0	0	1	0	0	1
5034	uc002kbn.1-uc002kbl.1	No driver	3	0	0	3	0	0	1
3035	uc003lgv.2-uc011czp.1	No driver	1	0	0	1	0	0	1
53840	uc001mbi.2-uc009yeq.2	No driver	1	0	0	1	0	0	1
30845	uc002rnu.2-uc010ymt.1	No driver	1	0	0	1	0	0	1
10395	uc003wwk.1-uc011kxx.1	No driver	1	0	0	1	0	0	1
59345	uc003fjv.3-uc003fju.3	No driver	15	0	0	15	0	0	1
2034	uc002ruv.2-uc002ruw.2	No driver	8	7	0	1	0.875	0	0.125
57680	uc001war.1-uc001was.1	Driver	1	0	0	1	0	0	1
8061	uc001ogg.1-uc010ros.1	No driver	9	9	0	0	1	0	0
80380	uc003zjg.3-uc011lmc.1	Driver	1	0	0	1	0	0	1
80380	uc011lmd.1-uc003zjg.3	Driver	1	0	0	1	0	0	1
5753	uc002yfg.2-uc011aay.1	No driver	3	1	0	2	0.333333333333333	0	0.666666666666667
9743	uc001qez.2-uc009zcp.2	Driver	12	0	1	11	0	0.0833333333333333	0.916666666666667
5433	uc002tpj.2-uc002tpk.2	No driver	2	0	0	2	0	0	1
10762	uc003bfr.2-uc011aqn.1	No driver	1	1	0	0	1	0	0
10762	uc003bfr.2-uc003bft.2	No driver	1	0	0	1	0	0	1
5631	uc004ene.3-uc011msj.1	No driver	2	0	0	2	0	0	1
55898	uc002bqg.2-uc002bqi.2	No driver	1	1	0	0	1	0	0
5884	uc003jwh.2-uc003jwo.2	No driver	4	0	0	4	0	0	1
2	uc001qvk.1-uc001qvj.1	No driver	2	0	0	2	0	0	1
2	uc001qvj.1-uc001qvk.1	No driver	2	0	0	2	0	0	1
5719	uc001lol.2-uc001lop.2	No driver	34	0	0	34	0	0	1
1195	uc002uwe.2-uc002uwd.2	No driver	3	0	0	3	0	0	1
9666	uc003dxd.2-uc011bhm.1	No driver	3	0	0	3	0	0	1
23710	uc001qxs.2-uc001qxu.2	No driver	5	5	0	0	1	0	0
9861	uc003dma.1-uc003dmc.1	No driver	34	0	0	34	0	0	1
4670	uc010dwe.2-uc010dwd.2	No driver	31	0	0	31	0	0	1
4670	uc010dwe.2-uc002mka.2	No driver	31	0	0	31	0	0	1
8440	uc002tdg.2-uc002tdh.2	No driver	24	5	0	19	0.208333333333333	0	0.791666666666667
23499	uc010ois.1-uc001cdh.2	Driver	1	1	0	0	1	0	0
23499	uc001cdf.1-uc010ois.1	Driver	1	0	1	0	0	1	0
7290	uc010gro.1-uc010grn.1	No driver	7	0	0	7	0	0	1
11033	uc003sjo.3-uc003sjm.3	No driver	1	1	0	0	1	0	0
7450	uc001qnn.1-uc010set.1	No driver	2	1	0	1	0.5	0	0.5
5590	uc001aiq.2-uc009vla.2	Driver	23	0	0	23	0	0	1
9139	uc002wze.1-uc002wzj.1	No driver	3	3	0	0	1	0	0
9139	uc002wze.1-uc010zug.1	No driver	3	0	0	3	0	0	1
2342	uc001xia.2-uc010tsl.1	No driver	1	0	0	1	0	0	1
3978	uc002pia.1-uc010xze.1	No driver	1	0	0	1	0	0	1
375	uc001hrs.2-uc009xev.2	No driver	11	11	0	0	1	0	0
5634	uc004cvb.2-uc010nec.2	No driver	2	0	0	2	0	0	1
26268	uc003pbl.2-uc003pbm.2	No driver	2	0	0	2	0	0	1
26268	uc003pbl.2-uc003pbn.2	No driver	2	0	0	2	0	0	1
1665	uc003gqx.2-uc003gqv.2	Driver	4	4	0	0	1	0	0
1665	uc003gqx.2-uc003gqw.2	Driver	4	4	0	0	1	0	0
56478	uc003aky.1-uc003akx.1	No driver	2	0	0	2	0	0	1
56478	uc003ala.1-uc003aky.1	No driver	2	0	0	2	0	0	1
56478	uc003ala.1-uc003akx.1	No driver	2	0	0	2	0	0	1
339	uc001qtc.2-uc010sgf.1	No driver	1	0	0	1	0	0	1
653121	uc001bvn.2-uc001bvm.2	No driver	2	0	0	2	0	0	1
23462	uc003ybm.2-uc010lzq.2	Driver	3	2	0	1	0.666666666666667	0	0.333333333333333
55607	uc003unr.2-uc010lfj.2	No driver	1	0	1	0	0	1	0
57504	uc002rsq.2-uc002rsp.1	No driver	4	0	0	4	0	0	1
23647	uc001mdl.2-uc010ral.1	No driver	6	0	0	6	0	0	1
2934	uc004ble.1-uc011lyh.1	No driver	1	0	0	1	0	0	1
2934	uc011lyh.1-uc004ble.1	No driver	1	0	0	1	0	0	1
940	uc002vah.3-uc002vaj.3	No driver	5	5	0	0	1	0	0
940	uc002vah.3-uc010ftx.2	No driver	5	5	0	0	1	0	0
940	uc010ftx.2-uc002vah.3	No driver	5	0	5	0	0	1	0
2888	uc010zcv.1-uc002ucl.2	No driver	7	0	0	7	0	0	1
10376	uc001rtm.2-uc001rto.2	No driver	9	0	0	9	0	0	1
830	uc003vil.2-uc011knk.1	No driver	1	1	0	0	1	0	0
10101	uc002cmw.3-uc002cmx.3	No driver	1	0	0	1	0	0	1
7335	uc002xva.2-uc002xvb.2	No driver	1	1	0	0	1	0	0
5104	uc001ydm.2-uc001ydn.1	No driver	8	0	0	8	0	0	1
5104	uc001ydm.2-uc010ave.2	No driver	8	0	0	8	0	0	1
6880	uc003jwe.1-uc003jwa.2	No driver	12	11	1	0	0.916666666666667	0.0833333333333333	0
8800	uc002boi.2-uc010upy.1	No driver	2	2	0	0	1	0	0
115650	uc003bbl.2-uc010gyp.1	No driver	1	0	0	1	0	0	1
10131	uc002cvt.3-uc002cvs.2	No driver	1	0	0	1	0	0	1
10131	uc002cvt.3-uc010uxf.1	No driver	1	0	0	1	0	0	1
1161	uc003jsm.3-uc003jsn.3	No driver	2	0	0	2	0	0	1
1161	uc003jsm.3-uc011cqp.1	No driver	2	0	0	2	0	0	1
9212	uc010cnu.2-uc010vuu.1	No driver	13	0	0	13	0	0	1
7373	uc003yox.2-uc003yoz.2	No driver	1	0	0	1	0	0	1
6599	uc003crq.2-uc011bbc.1	No driver	8	8	0	0	1	0	0
23476	uc002nas.2-uc002nar.2	Driver	5	0	0	5	0	0	1
23476	uc002nar.2-uc002nas.2	Driver	5	0	0	5	0	0	1
23139	uc001cov.2-uc001cpa.2	Driver	4	4	0	0	1	0	0
55072	uc001wmn.1-uc001wmo.1	No driver	1	0	0	1	0	0	1
83937	uc001jbo.2-uc001jbt.2	No driver	2	0	0	2	0	0	1
7036	uc003uvu.1-uc010lhc.1	No driver	1	0	0	1	0	0	1
6502	uc003jkc.1-uc011cou.1	No driver	6	3	3	0	0.5	0.5	0
3949	uc002mqk.3-uc010dxu.2	No driver	3	3	0	0	1	0	0
3146	uc001usx.2-uc001uta.1	No driver	5	0	0	5	0	0	1
3837	uc002ilt.1-uc010wkx.1	No driver	14	5	0	9	0.357142857142857	0	0.642857142857143
8678	uc002ibn.2-uc010whc.1	No driver	2	2	0	0	1	0	0
1643	uc001neb.2-uc001neg.2	Driver	3	0	0	3	0	0	1
51514	uc001hiz.3-uc009xdc.2	No driver	3	0	0	3	0	0	1
3760	uc002tyv.1-uc010zce.1	No driver	1	0	0	1	0	0	1
8631	uc002ini.1-uc002inj.1	No driver	5	0	0	5	0	0	1
2132	uc010rfo.1-uc001mya.2	Driver	1	0	0	1	0	0	1
51676	uc001ycd.2-uc001ycb.1	No driver	2	0	0	2	0	0	1
5518	uc002pyp.2-uc010ydk.1	Driver	11	0	0	11	0	0	1
778	uc010nip.2-uc004dnb.2	No driver	1	0	0	1	0	0	1
2067	uc002pbs.1-uc002pbv.2	No driver	1	0	0	1	0	0	1
81608	uc003gzy.2-uc003had.2	Driver	1	1	0	0	1	0	0
81608	uc003had.2-uc003gzy.2	Driver	1	0	1	0	0	1	0
3832	uc001kic.2-uc010qnq.1	No driver	1	1	0	0	1	0	0
10006	uc001ita.2-uc010qdg.1	Driver	9	0	0	9	0	0	1
10006	uc001ita.2-uc001isz.2	Driver	9	0	0	9	0	0	1
10006	uc001isz.2-uc001ita.2	Driver	9	0	0	9	0	0	1
10006	uc001isz.2-uc010qdg.1	Driver	9	0	0	9	0	0	1
23649	uc001odj.2-uc001odk.2	No driver	1	0	0	1	0	0	1
55968	uc002wfc.2-uc010gag.2	No driver	2	0	0	2	0	0	1
580	uc002veu.2-uc010zjm.1	Driver	10	0	0	10	0	0	1
26001	uc002fzs.2-uc002fzy.2	No driver	2	2	0	0	1	0	0
5500	uc002rmg.2-uc010ymj.1	No driver	4	0	0	4	0	0	1
11244	uc003yqe.2-uc003yqg.2	No driver	2	2	0	0	1	0	0
354	uc010eof.1-uc002ptr.1	No driver	3	0	3	0	0	1	0
79171	uc002oan.2-uc002oaq.2	No driver	3	0	0	3	0	0	1
1797	uc003nyp.1-uc003nys.1	No driver	2	2	0	0	1	0	0
933	uc010edt.2-uc010xst.1	Driver	8	0	0	8	0	0	1
8853	uc002qzh.2-uc002qzi.2	No driver	6	0	0	6	0	0	1
1627	uc003mgy.2-uc011dga.1	No driver	1	1	0	0	1	0	0
8323	uc003ylj.2-uc011lho.1	No driver	1	1	0	0	1	0	0
23032	uc001dhu.2-uc009wca.1	No driver	1	1	0	0	1	0	0
27250	uc001kzh.2-uc010qre.1	No driver	3	0	0	3	0	0	1
6839	uc004dkn.2-uc011mmg.1	No driver	8	8	0	0	1	0	0
26973	uc001pdg.2-uc009yvz.2	No driver	1	0	0	1	0	0	1
9046	uc003wzy.1-uc010lth.1	No driver	3	0	0	3	0	0	1
6625	uc002pmk.2-uc002pmi.1	No driver	33	0	0	33	0	0	1
282809	uc001tbc.2-uc009zsq.2	No driver	1	1	0	0	1	0	0
15	uc002jro.2-uc010wte.1	No driver	1	1	0	0	1	0	0
1629	uc001dta.2-uc010oug.1	No driver	1	0	0	1	0	0	1
87	uc001xkl.2-uc010ttb.1	No driver	8	0	0	8	0	0	1
4793	uc002ojy.2-uc002ojw.2	No driver	6	0	0	6	0	0	1
4793	uc002ojy.2-uc002ojx.2	No driver	6	0	0	6	0	0	1
57690	uc002juf.2-uc002jud.2	No driver	1	0	0	1	0	0	1
51230	uc002xek.1-uc002xeh.2	No driver	1	1	0	0	1	0	0
55308	uc002eyv.2-uc010vma.1	No driver	1	0	0	1	0	0	1
7170	uc001fed.1-uc009wor.2	Driver	4	4	0	0	1	0	0
6199	uc001old.2-uc001ole.2	No driver	2	2	0	0	1	0	0
