Cancer	Gene	Symbol	Transcript	TPM	ProteinLength
brca	920	CD4	uc010sfk.1	0.0	185
brca	920	CD4	uc001qqv.1	26.5619683748	458
brca	10066	SCAMP2	uc002aza.1	49.4696809572	168
brca	10066	SCAMP2	uc002azb.1	71.8580053907	329
brca	5887	RAD23B	uc004bde.2	3.12140142999	409
brca	5887	RAD23B	uc011lwb.1	86.532161006	388
brca	5055	SERPINB2	uc010dqh.2	0.0	345
brca	5055	SERPINB2	uc002ljo.2	0.391352801113	415
brca	10978	CLP1	uc009yml.2	0.0	425
brca	10978	CLP1	uc001nkw.2	12.9752848998	425
brca	10978	CLP1	uc010rjw.1	0.366361834367	361
brca	10978	CLP1	uc001nkw.2	12.9752848998	425
brca	57210	SLC45A4	uc010meq.1	1.55825067767	755
brca	57210	SLC45A4	uc003ywc.1	4.27013590501	717
brca	285343	C3orf23	uc003cnb.3	5.35711239539	70
brca	285343	C3orf23	uc010him.2	6.71003320271	496
brca	285343	C3orf23	uc003cnc.3	0.757777707339	70
brca	285343	C3orf23	uc010him.2	6.71003320271	496
brca	285343	C3orf23	uc003cnd.3	0.0	496
brca	285343	C3orf23	uc010him.2	6.71003320271	496
brca	25926	NOL11	uc010deu.1	0.0	314
brca	25926	NOL11	uc002jgd.1	38.2182022773	719
brca	84629	TNRC18	uc003soj.2	10.1702993129	207
brca	84629	TNRC18	uc003soi.3	21.7358271661	2968
brca	2585	GALK2	uc001zxj.1	3.43009782613	458
brca	2585	GALK2	uc001zxi.1	7.09075314525	447
brca	374875	HSD11B1L	uc002mck.2	0.393995404745	315
brca	374875	HSD11B1L	uc002mcj.2	2.72846932966	0
brca	374875	HSD11B1L	uc002mcm.2	1.36986605393	152
brca	374875	HSD11B1L	uc002mcj.2	2.72846932966	0
brca	374875	HSD11B1L	uc002mcr.2	0.0	205
brca	374875	HSD11B1L	uc002mcj.2	2.72846932966	0
brca	5251	PHEX	uc011mjs.1	0.0	652
brca	5251	PHEX	uc004dah.2	0.34955391889	749
brca	200916	RPL22L1	uc003fhb.3	6.11720869529	0
brca	200916	RPL22L1	uc003fhc.3	14.5116521333	122
brca	205564	SENP5	uc011bty.1	1.68114379252	709
brca	205564	SENP5	uc003fwz.3	9.96022238728	755
brca	6795	AURKC	uc002qod.2	0.0	275
brca	6795	AURKC	uc002qoc.2	0.857586644272	290
brca	6795	AURKC	uc010etv.2	0.0	306
brca	6795	AURKC	uc002qoc.2	0.857586644272	290
brca	8879	SGPL1	uc009xqk.2	2.25421457953	0
brca	8879	SGPL1	uc001jrm.2	26.5319056688	568
brca	3269	HRH1	uc010hdt.2	0.0	487
brca	3269	HRH1	uc010hds.2	5.11647324603	487
brca	8662	EIF3B	uc003smb.2	3.58643566382	0
brca	8662	EIF3B	uc003slx.2	13.9908512451	814
brca	8662	EIF3B	uc003smb.2	3.58643566382	0
brca	8662	EIF3B	uc003sma.2	78.6121762238	542
brca	146754	DNAH2	uc002giu.1	0.247422093149	4427
brca	146754	DNAH2	uc010cnm.1	0.795459227627	1180
brca	55284	UBE2W	uc003xzu.2	0.0	162
brca	55284	UBE2W	uc003xzv.2	15.9720975769	151
brca	55284	UBE2W	uc003xzw.2	0.497752749551	0
brca	55284	UBE2W	uc003xzv.2	15.9720975769	151
brca	6548	SLC9A1	uc001bnl.2	1.05520373748	319
brca	6548	SLC9A1	uc001bnm.2	28.5255985277	815
brca	7266	DNAJC7	uc002hyo.2	19.6885008545	494
brca	7266	DNAJC7	uc010wgb.1	50.7454821747	438
brca	51133	KCTD3	uc009xdn.2	20.6872042766	539
brca	51133	KCTD3	uc001hks.2	45.779573614	815
brca	55793	FAM63A	uc001ewc.2	0.0	327
brca	55793	FAM63A	uc001ewg.2	17.3995834896	469
brca	6734	SRPR	uc010sbm.1	3.2606539523	610
brca	6734	SRPR	uc001qdh.2	114.707887961	638
brca	26156	RSL1D1	uc002dbp.1	66.0729145	490
brca	26156	RSL1D1	uc010buw.2	95.1583962281	0
brca	124976	SPNS2	uc002fxy.2	5.58044289017	201
brca	124976	SPNS2	uc002fxx.2	10.5236435527	549
brca	5908	RAP1B	uc010sti.1	1.57716771525	137
brca	5908	RAP1B	uc001suc.2	92.474747824	184
brca	6385	SDC4	uc010zws.1	2.32295631436	126
brca	6385	SDC4	uc002xnu.2	237.786508501	198
brca	2649	NR6A1	uc004bor.1	0.0	480
brca	2649	NR6A1	uc004boq.1	0.0787874481072	475
brca	2649	NR6A1	uc010mwq.1	0.0	476
brca	2649	NR6A1	uc004boq.1	0.0787874481072	475
brca	2649	NR6A1	uc004boq.1	0.0787874481072	475
brca	2649	NR6A1	uc004bor.1	0.0	480
brca	2649	NR6A1	uc004boq.1	0.0787874481072	475
brca	2649	NR6A1	uc010mwq.1	0.0	476
brca	283464	GXYLT1	uc001rms.3	1.09801808761	440
brca	283464	GXYLT1	uc001rmt.3	7.08685673019	409
brca	11221	DUSP10	uc001hmz.1	0.765792009407	140
brca	11221	DUSP10	uc001hmy.1	13.6250211536	482
brca	9791	PTDSS1	uc003yhu.1	0.689373662105	327
brca	9791	PTDSS1	uc003yht.1	60.2641006688	473
brca	56606	SLC2A9	uc003gmd.2	0.0	511
brca	56606	SLC2A9	uc003gmc.2	6.30974306372	540
brca	79828	METTL8	uc002ugu.3	0.0	378
brca	79828	METTL8	uc002ugv.3	4.08248933517	378
brca	79631	EFTUD1	uc002bgs.1	10.5713091617	491
brca	79631	EFTUD1	uc002bgt.1	12.5702070155	1120
brca	23654	PLXNB2	uc003bkt.1	38.7186293372	630
brca	23654	PLXNB2	uc003bkv.3	54.0234453809	1838
brca	653190	ABCC6P1	uc010vam.1	0.0	263
brca	653190	ABCC6P1	uc002dfg.2	0.265504106979	320
brca	55361	PI4K2A	uc009xvw.1	3.41954672111	112
brca	55361	PI4K2A	uc001kog.1	17.4865440259	479
brca	153768	PRELID2	uc003lno.1	0.405091121067	148
brca	153768	PRELID2	uc003lnq.1	2.51564406898	177
brca	9260	PDLIM7	uc003mhb.1	8.26471415408	423
brca	9260	PDLIM7	uc003mhc.1	34.7302120614	457
brca	9260	PDLIM7	uc003mhg.1	0.564978392591	222
brca	9260	PDLIM7	uc003mhc.1	34.7302120614	457
brca	9249	DHRS3	uc001aub.2	47.2882386152	217
brca	9249	DHRS3	uc001auc.2	57.861130954	302
brca	57228	SMAGP	uc001ryd.1	0.0	97
brca	57228	SMAGP	uc001rye.1	16.5284107648	97
brca	7171	TPM4	uc002ndj.2	125.370677085	248
brca	7171	TPM4	uc002ndi.2	350.881844294	284
brca	2022	ENG	uc011mam.1	44.1219660666	469
brca	2022	ENG	uc004bsj.3	67.7476061568	658
brca	5443	POMC	uc002rga.1	0.0	267
brca	5443	POMC	uc002rfz.1	0.806189098916	267
brca	51754	TMEM8B	uc003zyk.2	0.337253174133	338
brca	51754	TMEM8B	uc003zyo.2	14.4343682345	472
brca	51754	TMEM8B	uc003zyl.2	0.16461737759	505
brca	51754	TMEM8B	uc003zyo.2	14.4343682345	472
brca	51754	TMEM8B	uc003zym.2	0.0	472
brca	51754	TMEM8B	uc003zyo.2	14.4343682345	472
brca	51754	TMEM8B	uc003zyn.2	4.64599116229	222
brca	51754	TMEM8B	uc003zyo.2	14.4343682345	472
brca	125144	NCRNA00188	uc010vwg.1	80.1628248017	0
brca	125144	NCRNA00188	uc002gqb.3	554.10779379	0
brca	51585	PCF11	uc001ozy.2	13.5535946974	75
brca	51585	PCF11	uc001ozx.3	22.4606044779	1555
brca	56975	FAM20C	uc011jvn.1	13.4706797029	252
brca	56975	FAM20C	uc003sip.2	26.4809584705	584
brca	2823	GPM6A	uc003iug.2	0.0	278
brca	2823	GPM6A	uc003iuh.2	2.18693437376	267
brca	116843	C6orf192	uc010kgd.1	0.481662762999	0
brca	116843	C6orf192	uc003qdw.1	18.8541234371	456
