GeneId	Symbol	Normal_transcript	Tumor_transcript	AffectingMutatedFeature
79690	GAL3ST4	uc003utu.2	uc010lgq.2	0
4126	MANBA	uc003hwg.2	uc011ces.1	0
23107	MRPS27	uc003kbz.3	uc011csd.1	0
84895	FAM73B	uc004bxa.2	uc004bxb.2	0
660	BMX	uc004cwx.3	uc004cwy.3	0
55699	IARS2	uc001hmc.2	uc001hmd.2	0
11311	VPS45	uc001etp.2	uc001etq.2	0
26091	HERC4	uc001jnh.3	uc009xpq.2	0
9918	NCAPD2	uc001qoo.2	uc010sfd.1	0
10616	RBCK1	uc002wdp.3	uc002wdo.2	0
387882	C12orf75	uc001tlh.3	uc001tli.3	0
6548	SLC9A1	uc001bnm.2	uc001bnl.2	0
23368	PPP1R13B	uc001yof.1	uc010awv.1	0
2185	PTK2B	uc003xfp.1	uc003xfq.1	0
2997	GYS1	uc002plp.2	uc010xzy.1	0
8443	GNPAT	uc001hup.3	uc009xfp.2	0
56905	C15orf39	uc002azq.3	uc002azr.3	0
154141	MBOAT1	uc003ncx.1	uc011dji.1	0
54407	SLC38A2	uc001rpg.2	uc010sli.1	0
80095	ZNF606	uc002qqw.2	uc010yhp.1	0
1523	CUX1	uc003uyt.2	uc003uyz.2	0
51094	ADIPOR1	uc001gyq.3	uc010pqd.1	0
5094	PCBP2	uc001sdf.3	uc001sdd.3	0
116	ADCYAP1	uc010dkh.2	uc010dkg.2	0
55327	LIN7C	uc001mrl.2	uc009yii.2	0
8450	CUL4B	uc004esv.2	uc010nqq.2	0
92912	UBE2Q2	uc002bbg.2	uc002bbi.2	0
55035	NOL8	uc004arv.2	uc004arw.2	0
641455	P704P	uc001vwc.3	uc001vwb.3	0
54487	DGCR8	uc002zri.2	uc002zrj.2	0
113201	CASC4	uc001ztp.2	uc001ztq.2	0
329	BIRC2	uc001pgy.2	uc010ruq.1	0
7700	ZNF141	uc003gaa.2	uc003gab.2	0
10554	AGPAT1	uc003oae.2	uc003oaf.2	0
55253	TYW1	uc003tvn.2	uc011kef.1	0
93210	PGAP3	uc002hsj.2	uc010cvy.2	0
57053	CHRNA10	uc010qxu.1	uc010qxt.1	1
8833	GMPS	uc003faq.2	uc011bom.1	0
989	SEPT7	uc011kav.1	uc003tey.2	0
64114	TMBIM1	uc002vhp.1	uc010zjz.1	0
8664	EIF3D	uc003apr.2	uc011amr.1	0
7511	XPNPEP1	uc001kyp.1	uc001kyq.1	0
1434	CSE1L	uc002xty.2	uc010ghy.2	0
57326	PBXIP1	uc001ffr.2	uc010pep.1	0
55285	RBM41	uc004emy.1	uc004emz.2	0
55898	UNC45A	uc002bqg.2	uc002bqi.2	0
54934	C12orf41	uc001rrx.2	uc001rru.2	0
79258	MMEL1	uc009vlg.1	uc001ajy.2	1
9825	SPATA2	uc002xuw.2	uc010zyn.1	0
51091	SEPSECS	uc003grg.2	uc003grh.2	0
57446	NDRG3	uc002xfw.2	uc010zvr.1	0
5976	UPF1	uc002nkf.2	uc002nkh.2	1
55591	VEZT	uc001tdz.2	uc009ztb.1	0
22863	KIAA0831	uc001xbx.1	uc001xbw.1	0
3394	IRF8	uc002fjh.2	uc010chp.2	0
11328	FKBP9	uc003tdh.2	uc011kam.1	0
56940	DUSP22	uc003msy.1	uc003msx.2	0
57150	C6orf162	uc003plq.1	uc003plp.1	0
8879	SGPL1	uc001jrm.2	uc009xqk.2	0
9276	COPB2	uc003etf.3	uc011bmv.1	0
378938	MALAT1	uc010roh.1	uc001odz.2	0
5660	PSAP	uc001jsm.2	uc001jsl.2	0
10531	PITRM1	uc001igt.1	uc001igs.1	0
83666	PARP9	uc003eff.3	uc003efg.2	0
116843	C6orf192	uc003qdw.1	uc010kgd.1	0
22938	SNW1	uc001xuf.2	uc010asu.2	0
207	AKT1	uc010axa.2	uc010tyk.1	0
9798	KIAA0174	uc002fbm.1	uc010vml.1	0
6536	SLC6A9	uc001cln.2	uc010oko.1	0
6307	SC4MOL	uc003ire.2	uc003irf.2	0
587	BCAT2	uc002pkr.2	uc002pkt.2	0
65985	AACS	uc001uhc.2	uc009zyh.2	0
9812	KIAA0141	uc003llt.2	uc003llu.1	0
79813	EHMT1	uc011mfc.1	uc004coe.2	0
56243	KIAA1217	uc001iru.3	uc001irx.2	0
51393	TRPV2	uc002gpy.2	uc002gpz.2	0
79932	KIAA0319L	uc001byx.2	uc001byw.2	0
5879	RAC1	uc003spx.2	uc003spw.2	1
8754	ADAM9	uc003xmr.2	uc003xms.2	1
10066	SCAMP2	uc002azb.1	uc002aza.1	0
25904	CNOT10	uc003cfc.1	uc010hfw.1	0
22848	AAK1	uc010fdj.1	uc002sfp.2	1
9609	RAB36	uc002zwv.1	uc010gtw.1	0
6764	ST5	uc001mgt.2	uc010rbp.1	0
5187	PER1	uc002gkd.2	uc010cns.2	0
8780	RIOK3	uc002kui.3	uc010xat.1	0
9662	CEP135	uc003hbi.2	uc003hbj.2	0
57716	PRX	uc002onr.2	uc002onq.2	0
54892	NCAPG2	uc003wnv.1	uc011kwc.1	0
10228	STX6	uc010pnq.1	uc010pnr.1	0
5118	PCOLCE	uc003uvo.2	uc003uvp.1	1
10523	CHERP	uc002nei.1	uc010xpg.1	0
153768	PRELID2	uc003lnq.1	uc003lno.1	0
84641	HIATL1	uc004aur.2	uc011luh.1	0
7157	TP53	uc002gij.2	uc010cne.1	1
4088	SMAD3	uc010ujs.1	uc010ujt.1	0
115273	RAB42	uc001bqu.2	uc001bqv.2	0
7534	YWHAZ	uc003yjw.2	uc011lhg.1	0
9673	SLC25A44	uc001fnp.2	uc010phe.1	0
23452	ANGPTL2	uc004bqr.1	uc010mxg.1	0
255104	TMCO4	uc001bcn.2	uc001bcm.2	0
8449	DHX16	uc003nqz.2	uc003nqy.2	0
3223	HOXC6	uc001sev.2	uc001ses.2	0
1762	DMWD	uc002pdj.1	uc002pdk.1	0
10815	CPLX1	uc003gbi.2	uc003gbj.2	0
140710	C20orf117	uc002xge.1	uc002xgd.1	0
170463	SSBP4	uc002niz.2	uc002niy.2	0
84966	IGSF21	uc001bau.1	uc001bav.1	1
151636	DTX3L	uc003efk.2	uc010hrj.2	0
84993	UBL7	uc002axy.1	uc002axw.1	0
51540	SCLY	uc010fyv.2	uc002vxp.3	0
220001	VWCE	uc001nra.2	uc001nrb.2	1
221002	RASGEF1A	uc001jap.1	uc001jao.1	0
23597	ACOT9	uc004dap.2	uc004dao.2	0
738	C11orf2	uc001ocr.1	uc001ocs.1	0
54700	RRN3	uc002dde.2	uc010uzp.1	0
57645	POGK	uc001gdt.1	uc010plf.1	1
10238	DCAF7	uc002jbc.2	uc010wpn.1	0
7458	EIF4H	uc003uae.1	uc003uaf.1	0
51076	CUTC	uc001kqd.3	uc001kqe.3	0
3914	LAMB3	uc001hhh.2	uc009xco.2	0
9873	FCHSD2	uc009ytl.2	uc001oth.3	0
401944	LDLRAD2	uc001bfh.1	uc001bfg.1	1
3371	TNC	uc010mvf.2	uc004bjj.3	1
79752	ZFAND1	uc003ycj.1	uc003yck.1	0
309	ANXA6	uc003ltl.1	uc003ltm.1	0
1453	CSNK1D	uc002keg.1	uc002kei.2	0
79661	NEIL1	uc002bad.2	uc002bae.2	0
79591	C10orf76	uc009xwy.1	uc009xwx.1	0
84250	ANKRD32	uc003kkr.3	uc003kks.2	0
55704	CCDC88A	uc002rys.2	uc002ryw.2	0
54503	ZDHHC13	uc001mpi.2	uc001mpj.2	0
1781	DYNC1I2	uc002uhf.1	uc002uhb.1	0
92140	MTDH	uc003yhz.2	uc010mbf.2	0
79003	MIS12	uc002gcd.2	uc002gce.2	0
9692	KIAA0391	uc001wsy.1	uc001wtc.1	0
57521	RPTOR	uc002jyt.1	uc002jyu.1	0
9742	IFT140	uc002cmb.2	uc002clz.2	0
23516	SLC39A14	uc003xbp.3	uc003xbq.3	0
283596	SNHG10	uc001yek.2	uc001yel.2	0
51554	CCRL1	uc003eow.2	uc003eox.2	0
23265	EXOC7	uc002jqr.2	uc010wsx.1	0
8034	SLC25A16	uc001joi.2	uc010qiy.1	0
9791	PTDSS1	uc003yht.1	uc003yhu.1	0
28976	ACAD9	uc003ela.3	uc003ele.2	0
3383	ICAM1	uc002mnq.2	uc010xle.1	0
51068	NMD3	uc003feb.1	uc003fed.1	0
132332	TMEM155	uc003idy.1	uc003idx.1	0
5272	SERPINB9	uc003mug.2	uc003muf.2	0
6523	SLC5A1	uc011alz.1	uc003amc.2	0
790	CAD	uc002rji.2	uc010eyw.2	0
9706	ULK2	uc002gwm.3	uc002gwn.2	0
144402	CPNE8	uc001rls.1	uc001rlr.1	0
25926	NOL11	uc002jgd.1	uc010deu.1	0
55250	ELP2	uc002kzk.1	uc002kzo.1	0
9488	PIGB	uc002act.2	uc010ugg.1	0
64771	C6orf106	uc003ojr.2	uc003ojs.2	0
23076	RRP1B	uc002zdk.2	uc002zdl.2	0
2314	FLII	uc002gsr.1	uc002gsq.1	1
5530	PPP3CA	uc003hvu.2	uc010ilk.2	0
7430	EZR	uc003qru.3	uc011efr.1	0
56102	PCDHGB3	uc011dat.1	uc003ljw.1	0
30000	TNPO2	uc002muq.2	uc002mur.2	0
2702	GJA5	uc001ept.1	uc001eps.1	0
3326	HSP90AB1	uc003oxa.1	uc003oxc.1	0
7922	SLC39A7	uc003odf.2	uc003odh.2	1
9267	CYTH1	uc002jvw.2	uc010wtv.1	0
90736	FAM104B	uc004duh.1	uc004dui.3	0
220	ALDH1A3	uc002bwn.3	uc010bpb.2	0
7423	VEGFB	uc001nyx.2	uc001nyw.2	0
55334	SLC39A9	uc001xle.2	uc001xlf.3	0
81	ACTN4	uc002oja.1	uc002ojb.1	1
89953	KLC4	uc003otv.1	uc003otz.1	0
11021	RAB35	uc001txm.1	uc010szg.1	1
8883	NAE1	uc002eqf.2	uc002eqg.2	0
96459	FNIP1	uc003kvt.1	uc003kvs.1	0
9260	PDLIM7	uc003mhb.1	uc003mhc.1	0
9818	NUPL1	uc001uqi.2	uc001uqj.2	0
23550	PSD4	uc002tjc.2	uc002tjh.2	0
55008	HERC6	uc011cdi.1	uc011cdl.1	0
7037	TFRC	uc003fwa.3	uc011btr.1	0
26118	WSB1	uc002gzd.1	uc002gze.1	0
2590	GALNT2	uc010pwa.1	uc001htu.2	0
8888	MCM3AP	uc002zir.1	uc002zio.1	0
23299	BICD2	uc004aso.1	uc004asp.1	0
9221	NOLC1	uc001kuq.2	uc001kur.2	0
83854	ANGPTL6	uc002mmx.1	uc002mmy.1	0
5166	PDK4	uc003uoa.2	uc003unz.2	0
9960	USP3	uc002amf.2	uc010uik.1	0
57820	CCNB1IP1	uc001vwz.2	uc001vwy.2	0
3624	INHBA	uc003thq.2	uc003thr.2	0
8178	ELL	uc002njh.2	uc002njg.2	0
58525	WIZ	uc002nbc.2	uc002nba.3	0
5298	PI4KB	uc001exr.2	uc010pcw.1	0
5564	PRKAB1	uc001txg.2	uc009zwu.2	0
80320	SP6	uc002imh.1	uc002img.1	0
23002	DAAM1	uc001xea.1	uc001xec.1	0
10006	ABI1	uc001ita.2	uc001isz.2	0
6385	SDC4	uc002xnu.2	uc010zws.1	0
29801	ZDHHC8	uc002zrq.2	uc010gsa.2	0
23786	BCL2L13	uc002zmw.2	uc002zna.2	0
84836	ABHD14B	uc003dcn.2	uc010hly.2	0
23189	KANK1	uc003zgn.1	uc010mgx.1	0
51304	ZDHHC3	uc011bad.1	uc003cog.2	0
1120	CHKB	uc003bmv.2	uc003bms.2	0
27436	EML4	uc002rsi.2	uc010ynv.1	0
1101	CHAD	uc010dbr.2	uc010dbs.2	0
3030	HADHA	uc002rgy.2	uc010yks.1	0
1609	DGKQ	uc003gbw.2	uc010ibn.2	0
60412	EXOC4	uc003vrk.2	uc011kpq.1	0
6720	SREBF1	uc002grs.1	uc002grp.1	1
8496	PPFIBP1	uc001ria.2	uc001rif.1	0
313	AOAH	uc003tfh.3	uc011kba.1	0
120526	DNAJC24	uc001msx.2	uc009yjn.1	0
10622	POLR3G	uc003kjq.2	uc011cuc.1	0
778	CACNA1F	uc010nip.2	uc004dnb.2	0
23176	SEPT8	uc003kxr.2	uc003kxs.1	0
22843	PPM1E	uc010ddd.2	uc002iwx.2	0
127435	PODN	uc001cuv.2	uc010ons.1	1
4144	MAT2A	uc002spr.2	uc010fgk.2	0
51567	TDP2	uc003nej.2	uc003nei.2	0
5871	MAP4K2	uc001obh.2	uc001obg.2	0
23787	MTCH1	uc003onc.1	uc003ond.1	0
4690	NCK1	uc011bme.1	uc003erh.2	0
3932	LCK	uc001bux.2	uc001buy.2	0
109	ADCY3	uc002rfs.3	uc002rfr.3	0
55000	TUG1	uc003ajh.2	uc003ajj.2	0
57662	KIAA1543	uc002mgv.3	uc002mgw.2	0
85021	REPS1	uc003qig.3	uc003qii.2	0
3363	HTR7	uc001kgz.2	uc001khb.2	0
84629	TNRC18	uc003soi.3	uc003soj.2	0
11180	WDR6	uc003cvj.2	uc011bby.1	0
81556	C15orf44	uc002ape.3	uc010ujb.1	0
6770	STAR	uc010lwc.1	uc003xkv.1	0
1601	DAB2	uc003jlx.2	uc003jlw.2	0
85456	TNKS1BP1	uc001njs.2	uc001njp.2	0
8495	PPFIBP2	uc001mfl.3	uc010rbe.1	0
7056	THBD	uc002wss.2	uc002wst.1	1
51029	PPPDE1	uc001iao.2	uc001iap.2	0
51133	KCTD3	uc001hks.2	uc009xdn.2	1
79726	WDR59	uc002fdh.1	uc002fdf.1	0
5292	PIM1	uc003onk.2	uc011dtw.1	0
8943	AP3D1	uc002lva.2	uc010dsv.2	0
29956	LASS2	uc001evz.2	uc009wmh.2	1
10457	GPNMB	uc003swb.2	uc011jyz.1	0
148641	SLC35F3	uc001hwa.1	uc001hvy.1	0
221400	TDRD6	uc003oyj.2	uc010jze.2	0
55857	PLK1S1	uc002wsb.2	uc002wsd.2	0
6734	SRPR	uc001qdh.2	uc010sbm.1	0
64210	MMS19	uc001knt.2	uc001knq.2	0
83786	FRMD8	uc001odu.3	uc009yqj.2	0
8720	MBTPS1	uc002fhi.2	uc002fhh.2	0
2872	MKNK2	uc002lus.2	uc002luq.1	0
54915	YTHDF1	uc002yeh.2	uc011aaq.1	0
639	PRDM1	uc003pre.2	uc003prd.2	0
64895	PAPOLG	uc002sai.2	uc010fch.2	0
55764	IFT122	uc003emn.2	uc003ems.2	0
59272	ACE2	uc004cxa.1	uc004cxb.2	0
85415	RHPN2	uc002nuf.2	uc010xro.1	0
961	CD47	uc003dwv.1	uc003dwt.1	0
2064	ERBB2	uc002hso.2	uc010wek.1	1
55748	CNDP2	uc002llm.1	uc010dqs.2	0
140901	STK35	uc002wfw.3	uc010zpu.1	0
3833	KIFC1	uc003oef.3	uc011drf.1	0
80007	C10orf88	uc001lgw.2	uc001lgx.2	0
5447	POR	uc003udy.2	uc003uea.2	0
2589	GALNT1	uc002kzb.2	uc010dmu.2	0
3636	INPPL1	uc001osf.2	uc001osg.2	0
27044	SND1	uc003vmi.2	uc010lle.2	0
84898	PLXDC2	uc001iqg.1	uc009xkc.1	1
151354	FAM84A	uc002rbz.1	uc002rca.1	0
58516	FAM60A	uc010sjz.1	uc010skb.1	0
2187	FANCB	uc004cwg.1	uc004cwh.1	0
2649	NR6A1	uc004boq.1	uc004bor.1	0
57647	DHX37	uc001ugy.2	uc001ugz.1	0
8394	PIP5K1A	uc001exi.2	uc010pcv.1	0
26160	IFT172	uc002rku.2	uc010ezb.2	0
55108	BSDC1	uc001bvh.3	uc010ohi.1	0
79912	PYROXD1	uc001rew.2	uc009zir.2	0
65123	INTS3	uc001fct.2	uc010pec.1	0
10826	C5orf4	uc003lvs.3	uc011dde.1	0
8301	PICALM	uc001pbl.2	uc001pbk.2	0
2975	GTF3C1	uc002dov.1	uc002dou.2	0
5584	PRKCI	uc003fgs.2	uc003fgt.2	0
4300	MLLT3	uc003zoe.2	uc011lnf.1	0
490	ATP2B1	uc001tbh.2	uc009zsr.2	0
55765	C1orf106	uc010ppm.1	uc001gvo.2	0
56990	CDC42SE2	uc003kvi.2	uc003kvj.2	0
8692	HYAL2	uc003czv.2	uc003czu.2	0
55504	TNFRSF19	uc001uow.2	uc001uot.2	0
2022	ENG	uc004bsj.3	uc011mam.1	0
8805	TRIM24	uc003vuc.2	uc003vub.2	0
57674	RNF213	uc002jyh.1	uc010dhx.1	0
60561	RINT1	uc003vda.1	uc010ljj.1	0
23223	RRP12	uc001knf.2	uc001kne.2	0
59349	KLHL12	uc001gyo.1	uc001gym.1	0
900	CCNG1	uc003lzb.2	uc011del.1	0
23659	PLA2G15	uc002evr.2	uc010vlf.1	0
83700	JAM3	uc001qhb.1	uc009zcz.1	1
9265	CYTH3	uc003spt.2	uc011jws.1	0
7768	ZNF225	uc002oyj.1	uc010ejf.1	0
80218	NAA50	uc003ean.1	uc011bij.1	0
55763	EXOC1	uc003hbg.1	uc003hbf.1	0
10736	SIX2	uc002ruo.2	uc002rup.2	0
7132	TNFRSF1A	uc001qnu.2	uc001qnt.2	1
205564	SENP5	uc003fwz.3	uc011bty.1	0
51720	UIMC1	uc003mfd.1	uc003mfh.1	0
124056	NOXO1	uc002cnz.2	uc002coa.2	0
26271	FBXO5	uc003qph.2	uc003qpg.2	0
23277	KIAA0664	uc002fuy.1	uc010ckc.1	0
3848	KRT1	uc001sav.1	uc001sau.1	0
1105	CHD1	uc003knf.2	uc010jbn.2	0
29970	SCHIP1	uc003fcu.1	uc003fcv.1	0
3965	LGALS9	uc002gzq.2	uc002gzp.2	0
55818	KDM3A	uc010ytj.1	uc010ytk.1	0
8577	TMEFF1	uc004bay.1	uc004baz.1	0
51520	LARS	uc003lnx.1	uc011dbq.1	0
6818	SULT1A3	uc002dtb.2	uc002dsz.2	0
6853	SYN1	uc004did.2	uc004die.2	0
3985	LIMK2	uc003akk.2	uc003aki.2	0
63891	RNF123	uc003cxh.2	uc003cxi.2	1
1717	DHCR7	uc001oql.2	uc001oqk.2	0
4209	MEF2D	uc001fpd.2	uc001fpb.2	0
6293	VPS52	uc003odm.1	uc003odn.1	0
51130	ASB3	uc002rxg.1	uc002rxf.1	0
57102	C12orf4	uc001qms.2	uc001qmt.2	0
83607	AMMECR1L	uc002tpm.2	uc002tpl.2	0
7551	ZNF3	uc003usr.2	uc010lgj.2	0
9731	KIAA0562	uc001aky.2	uc010nzm.1	0
6730	SRP68	uc002jqk.1	uc002jqj.1	1
79072	FASTKD3	uc003jeb.2	uc003jec.2	0
6773	STAT2	uc001slc.2	uc001slb.2	0
25940	FAM98A	uc002rpa.1	uc010ynd.1	0
23324	MAN2B2	uc003gjf.1	uc011bwf.1	0
6499	SKIV2L	uc003nyn.1	uc011dov.1	0
5782	PTPN12	uc003ugh.2	uc010lds.2	0
1290	COL5A2	uc002uqk.2	uc010frx.2	1
80024	SLC24A6	uc001tvc.2	uc001tvb.2	1
25913	POT1	uc003vlm.2	uc003vlo.2	0
146923	RUNDC1	uc002ici.1	uc010whi.1	0
8396	PIP4K2B	uc002hqs.2	uc010cvp.2	0
55055	ZWILCH	uc002aqb.2	uc010bhv.2	0
10999	SLC27A4	uc004but.2	uc004buu.2	0
80108	ZFP2	uc003mjn.1	uc010jkx.1	0
85360	SYDE1	uc002nah.1	uc002nai.1	0
257169	C9orf43	uc004bho.3	uc004bhp.2	0
10606	PAICS	uc003hbu.1	uc010ihd.1	0
57664	PLEKHA4	uc002pkx.2	uc002pkw.1	0
3703	STT3A	uc001qcd.2	uc009zbn.2	0
146059	CDAN1	uc001zql.2	uc001zqj.2	0
79658	ARHGAP10	uc003ilf.2	uc003ili.2	0
10461	MERTK	uc002thk.1	uc002thl.1	1
5376	PMP22	uc002gok.2	uc002goj.2	0
284348	LYPD5	uc002oxn.3	uc002oxm.3	0
4277	MICB	uc011dnm.1	uc003ntn.3	0
55827	DCAF6	uc001gew.2	uc001gez.2	0
126295	ZNF57	uc002lwr.2	uc010xha.1	0
54953	C1orf27	uc001grw.2	uc010por.1	0
55226	NAT10	uc001mvk.2	uc010ren.1	0
55726	C12orf11	uc001rhk.3	uc001rhj.3	0
271	AMPD2	uc001dyb.1	uc001dye.1	0
55760	DHX32	uc001ljg.1	uc001lje.1	0
51307	FAM53C	uc003lcw.2	uc011cyr.1	0
4898	NRD1	uc001ctd.3	uc009vzb.2	1
57727	NCOA5	uc002xre.2	uc002xrc.2	1
79717	PPCS	uc001chk.2	uc001chl.2	0
7360	UGP2	uc002scl.2	uc010ypx.1	0
56253	CRTAM	uc001pyk.2	uc001pyj.2	1
60528	ELAC2	uc002gnz.3	uc002gnw.3	0
84928	TMEM209	uc003vpn.2	uc010lmc.1	0
56975	FAM20C	uc003sip.2	uc011jvn.1	0
55051	C14orf102	uc001xyi.1	uc010atp.1	0
5768	QSOX1	uc001gnz.2	uc001goc.2	0
10049	DNAJB6	uc003wnk.2	uc011kvz.1	0
55315	SLC29A3	uc001jrr.3	uc001jru.3	0
372	ARCN1	uc001ptq.2	uc009zah.2	0
54841	BIVM	uc001vps.2	uc001vpv.2	0
23395	LARS2	uc003cop.1	uc010hit.1	0
7621	ZNF70	uc002zxs.2	uc002zxr.1	0
3728	JUP	uc002hxr.2	uc002hxs.2	0
3300	DNAJB2	uc002vkw.1	uc002vky.2	0
669	BPGM	uc003vrw.2	uc003vrx.2	0
257364	SNX33	uc002bau.2	uc002bav.2	0
7090	TLE3	uc010ukd.1	uc010bik.1	0
91893	FDXACB1	uc001pmc.3	uc009yyi.2	0
