Cancer	Gene	Symbol	Transcript	TPM	ProteinLength	asEvidence
brca	414918	FAM116B	uc011arv.1	7.55566883696013	585	True
brca	414918	FAM116B	uc011aru.1	0.0	584	True
brca	414918	FAM116B	uc011aru.1	0.0	584	True
brca	414918	FAM116B	uc011arv.1	7.55566883696013	585	True
brca	23299	BICD2	uc004asp.1	2.84455239794981	855	True
brca	23299	BICD2	uc004aso.1	18.033633799523	824	True
brca	51761	ATP8A2	uc010tdj.1	0.0	0	True
brca	51761	ATP8A2	uc010tdi.1	0.185322045036982	1123	True
brca	57053	CHRNA10	uc010qxu.1	0.337676397194195	244	True
brca	57053	CHRNA10	uc001lyf.2	0.0	450	True
brca	57053	CHRNA10	uc010qxu.1	0.337676397194195	244	True
brca	57053	CHRNA10	uc010qxt.1	0.0	244	True
brca	57053	CHRNA10	uc010qxt.1	0.0	244	True
brca	57053	CHRNA10	uc010qxu.1	0.337676397194195	244	True
brca	8692	HYAL2	uc003czu.2	0.0	473	True
brca	8692	HYAL2	uc003czv.2	51.2073651805894	473	True
brca	79752	ZFAND1	uc003yck.1	11.7807677241502	161	True
brca	79752	ZFAND1	uc003ycj.1	29.0829471986183	268	True
brca	55504	TNFRSF19	uc001uot.2	0.253557032965118	417	True
brca	55504	TNFRSF19	uc001uow.2	9.60860725304623	417	True
brca	2524	FUT2	uc010emc.2	0.0	343	True
brca	2524	FUT2	uc002pke.3	1.68027022488748	343	True
brca	5660	PSAP	uc001jsl.2	141.297770460736	248	True
brca	5660	PSAP	uc001jsm.2	951.69314417602	524	True
brca	8664	EIF3D	uc011amr.1	106.80446233669	375	True
brca	8664	EIF3D	uc003apr.2	212.429809952804	548	True
brca	10736	SIX2	uc002rup.2	0.0	293	True
brca	10736	SIX2	uc002ruo.2	0.95763940496366	291	True
brca	79690	GAL3ST4	uc010lgq.2	1.12248444137396	424	True
brca	79690	GAL3ST4	uc003utu.2	8.30849220769808	486	True
brca	3363	HTR7	uc001khb.2	0.0	432	True
brca	3363	HTR7	uc001kgz.2	0.432541370870132	445	True
brca	202051	SPATA24	uc003lek.2	1.06108633132507	291	True
brca	202051	SPATA24	uc003lem.2	2.55077346683786	188	True
brca	5998	RGS3	uc004bhr.2	0.726202940398641	602	True
brca	5998	RGS3	uc004bia.2	37.109682529614	311	True
brca	5998	RGS3	uc004bhw.2	0.368744825754042	168	True
brca	5998	RGS3	uc004bia.2	37.109682529614	311	True
brca	5998	RGS3	uc011lxh.1	6.09258405753168	508	True
brca	5998	RGS3	uc004bia.2	37.109682529614	311	True
brca	100132923	FAM66D	uc011kxp.1	0.0	0	True
brca	100132923	FAM66D	uc011kxo.1	0.488877456081672	0	True
brca	3772	KCNJ15	uc002ywv.2	0.0	375	True
brca	3772	KCNJ15	uc002ywx.2	0.915740664501989	375	True
brca	3772	KCNJ15	uc002yww.2	0.0	375	True
brca	3772	KCNJ15	uc002ywx.2	0.915740664501989	375	True
brca	60528	ELAC2	uc002gnw.3	5.26792348104372	482	True
brca	60528	ELAC2	uc002gnz.3	36.5378113582612	826	True
brca	60528	ELAC2	uc010vvo.1	0.0	624	True
brca	60528	ELAC2	uc002gnz.3	36.5378113582612	826	True
brca	9708	PCDHGA8	uc003lkd.1	0.0	932	True
brca	9708	PCDHGA8	uc003lkb.3	0.264591686748182	820	True
brca	9708	PCDHGA8	uc003lkb.3	0.264591686748182	820	True
brca	9708	PCDHGA8	uc003lkd.1	0.0	932	True
brca	22843	PPM1E	uc010ddd.2	0.138766115082758	518	True
brca	22843	PPM1E	uc002iwx.2	0.0	755	True
brca	22843	PPM1E	uc002iwx.2	0.0	755	True
brca	22843	PPM1E	uc010ddd.2	0.138766115082758	518	True
brca	2534	FYN	uc003pvh.2	7.56435815802795	534	True
brca	2534	FYN	uc003pvj.2	28.8879994416452	537	True
brca	2534	FYN	uc003pvi.2	4.56248792849016	482	True
brca	2534	FYN	uc003pvj.2	28.8879994416452	537	True
brca	2702	GJA5	uc001eps.1	1.46226802704165	358	True
brca	2702	GJA5	uc001ept.1	13.4489131768037	358	True
brca	2220	FCN2	uc004cfg.1	0.0	313	True
brca	2220	FCN2	uc004cfh.1	0.819523317533446	275	True
brca	122953	JDP2	uc010tvb.1	0.0	163	True
brca	122953	JDP2	uc001xrq.2	13.5540265784133	174	True
brca	122953	JDP2	uc010tvc.1	0.586766499017914	163	True
brca	122953	JDP2	uc001xrq.2	13.5540265784133	174	True
brca	2187	FANCB	uc004cwh.1	0.0	859	True
brca	2187	FANCB	uc004cwg.1	0.373405323880457	859	True
brca	2187	FANCB	uc004cwg.1	0.373405323880457	859	True
brca	2187	FANCB	uc004cwh.1	0.0	859	True
brca	151651	EFHB	uc003cbl.3	0.0	833	True
brca	151651	EFHB	uc003cbm.2	0.605922249196351	703	True
brca	6642	SNX1	uc010uio.1	7.37468564952474	557	True
brca	6642	SNX1	uc002amv.2	48.9979043973595	522	True
brca	5094	PCBP2	uc001sdd.3	27.4329727514582	331	True
brca	5094	PCBP2	uc001sdf.3	68.4926511920402	318	True
brca	55699	IARS2	uc001hmd.2	37.823086314208	348	True
brca	55699	IARS2	uc001hmc.2	71.5908210596487	1012	True
brca	8111	GPR68	uc001xzh.2	0.0	375	True
brca	8111	GPR68	uc001xzg.2	2.19158946612758	365	True
brca	2875	GPT	uc011lli.1	0.0	496	True
brca	2875	GPT	uc003zdh.3	5.03039365206594	496	True
brca	284131	FLJ35220	uc002jyk.2	0.970576782280715	264	True
brca	284131	FLJ35220	uc002jym.1	7.45757179380419	282	True
brca	30818	KCNIP3	uc002sun.1	0.70185823897714	0	True
brca	30818	KCNIP3	uc002suq.2	3.27976626488538	230	True
brca	30818	KCNIP3	uc002sup.2	0.0	256	True
brca	30818	KCNIP3	uc002suq.2	3.27976626488538	230	True
brca	738	C11orf2	uc001ocs.1	2.45671089823516	658	True
brca	738	C11orf2	uc001ocr.1	80.9025622477452	782	True
brca	22924	MAPRE3	uc002rhx.2	5.87029104479699	266	True
brca	22924	MAPRE3	uc002rhw.2	17.534180395619	281	True
brca	345930	ECT2L	uc003qif.1	0.0	904	True
brca	345930	ECT2L	uc011edq.1	0.223966255765913	758	True
brca	55129	ANO10	uc010hil.2	0.21046074956558	470	True
brca	55129	ANO10	uc003cmv.2	29.5316774720748	660	True
brca	55129	ANO10	uc011azt.1	0.0	549	True
brca	55129	ANO10	uc003cmv.2	29.5316774720748	660	True
brca	92370	ACPL2	uc011bnb.1	0.0	463	True
brca	92370	ACPL2	uc003etv.2	12.3667562415447	480	True
brca	54503	ZDHHC13	uc001mpj.2	0.144027960474217	492	True
brca	54503	ZDHHC13	uc001mpi.2	12.5223860670896	622	True
brca	28981	IFT81	uc001tqh.2	1.9457526899094	676	True
brca	28981	IFT81	uc001tqi.2	8.63884579269445	676	True
brca	84310	C7orf50	uc003sju.2	6.16459428920229	194	True
brca	84310	C7orf50	uc003sjs.2	35.4479141279273	0	True
brca	7555	CNBP	uc003elr.3	111.010139759955	170	True
brca	7555	CNBP	uc003elq.3	124.898257536178	177	True
brca	4188	MDFI	uc003oqp.3	4.39660604245878	246	True
brca	4188	MDFI	uc003oqq.3	19.45227892115	246	True
brca	51393	TRPV2	uc002gpz.2	0.775198427422047	334	True
brca	51393	TRPV2	uc002gpy.2	6.32479597451722	764	True
brca	55334	SLC39A9	uc001xlf.3	13.8508378743108	232	True
brca	55334	SLC39A9	uc001xle.2	38.7201351031863	307	True
brca	56143	PCDHA5	uc003lhl.2	0.0	936	True
brca	56143	PCDHA5	uc003lhk.1	0.127758958187639	890	True
brca	399687	MYO18A	uc002hdu.1	2.86236023283358	2039	True
brca	399687	MYO18A	uc002hdt.1	12.9425520836933	2054	True
brca	399687	MYO18A	uc010wbc.1	0.0	1572	True
brca	399687	MYO18A	uc002hdt.1	12.9425520836933	2054	True
brca	6130	RPL7A	uc004cde.1	437.697352745378	266	True
brca	6130	RPL7A	uc004cdf.1	1724.64550170621	90	True
brca	8833	GMPS	uc011bom.1	0.0	594	True
brca	8833	GMPS	uc003faq.2	40.1998909935131	693	True
brca	80833	APOL3	uc003aot.2	11.6102090796763	402	True
brca	80833	APOL3	uc003aos.2	34.0639347112383	331	True
brca	79754	ASB13	uc001iii.2	0.407300817273072	0	True
brca	79754	ASB13	uc001iig.2	25.2151643474542	278	True
brca	55898	UNC45A	uc002bqi.2	7.19510141610118	222	True
brca	55898	UNC45A	uc002bqg.2	42.7198936756021	944	True
brca	131870	NUDT16	uc003eof.2	3.69217072923789	194	True
brca	131870	NUDT16	uc003eog.1	16.6634853631038	162	True
brca	6138	RPL15	uc003ccn.2	0.0	204	True
brca	6138	RPL15	uc003ccr.2	762.952284329229	204	True
brca	6138	RPL15	uc003ccp.2	298.604993912819	204	True
brca	6138	RPL15	uc003ccr.2	762.952284329229	204	True
brca	6138	RPL15	uc003ccq.2	58.5424189080352	204	True
brca	6138	RPL15	uc003ccr.2	762.952284329229	204	True
brca	7157	TP53	uc010cne.1	22.0899605181295	0	True
brca	7157	TP53	uc002gij.2	47.449760136345	393	True
brca	2064	ERBB2	uc010wek.1	13.782497700101	979	True
brca	2064	ERBB2	uc002hso.2	81.6364041699168	1255	True
brca	51763	INPP5K	uc010vql.1	0.0	356	True
brca	51763	INPP5K	uc002fsr.2	32.4339565822253	448	True
brca	4900	NRGN	uc001qar.2	0.0	78	True
brca	4900	NRGN	uc001qaq.2	4.18819555439683	78	True
brca	84939	MUM1	uc002lsd.2	0.931314282089602	0	True
brca	84939	MUM1	uc002lrz.2	19.2455416881136	711	True
brca	9993	DGCR2	uc011agr.1	7.57259408146821	506	True
brca	9993	DGCR2	uc002zoq.1	56.9658881125347	550	True
brca	54487	DGCR8	uc002zrj.2	4.83764985121437	416	True
brca	54487	DGCR8	uc002zri.2	14.059507656697	773	True
brca	54487	DGCR8	uc010grz.2	0.0	740	True
brca	54487	DGCR8	uc002zri.2	14.059507656697	773	True
brca	79837	PIP4K2C	uc001sou.2	0.142125731719562	421	True
brca	79837	PIP4K2C	uc001sot.2	33.3269091369584	421	True
brca	79837	PIP4K2C	uc010srt.1	0.0	373	True
brca	79837	PIP4K2C	uc001sot.2	33.3269091369584	421	True
brca	57820	CCNB1IP1	uc001vwy.2	2.84969210954896	277	True
brca	57820	CCNB1IP1	uc001vwz.2	44.7432233130703	277	True
brca	56905	C15orf39	uc002azr.3	4.25666678698437	336	True
brca	56905	C15orf39	uc002azq.3	17.1102119844344	1047	True
brca	3693	ITGB5	uc010hrx.2	33.7819119301415	0	True
brca	3693	ITGB5	uc003eho.2	101.666931043676	799	True
brca	654346	LGALS9C	uc002gtw.2	0.0	356	True
brca	654346	LGALS9C	uc010vyb.1	0.44828148004173	268	True
brca	641455	P704P	uc001vwb.3	0.0	0	True
brca	641455	P704P	uc001vwc.3	0.229149807073625	508	True
brca	3818	KLKB1	uc011clc.1	0.0	436	True
brca	3818	KLKB1	uc003iyy.2	0.216660493021692	638	True
brca	55323	LARP6	uc002ast.2	5.61648476812921	93	True
brca	55323	LARP6	uc002ass.2	24.0355057235353	491	True
brca	54881	TEX10	uc011lvf.1	2.15998451725744	768	True
brca	54881	TEX10	uc004bas.2	12.5465095450655	929	True
brca	4126	MANBA	uc011ces.1	1.80164897372657	822	True
brca	4126	MANBA	uc003hwg.2	24.9556019130918	879	True
brca	6307	SC4MOL	uc003irf.2	6.11163020977431	162	True
brca	6307	SC4MOL	uc003ire.2	27.2339728240632	293	True
brca	10531	PITRM1	uc001igs.1	12.9748989781637	142	True
brca	10531	PITRM1	uc001igt.1	36.5853940182007	1037	True
brca	63891	RNF123	uc003cxi.2	1.95085720751225	0	True
brca	63891	RNF123	uc003cxh.2	12.7615872169006	1314	True
brca	3837	KPNB1	uc010wkx.1	13.6764455631869	660	True
brca	3837	KPNB1	uc002ilt.1	53.7970298369309	876	True
brca	3275	PRMT2	uc011agc.1	1.49351948454785	228	True
brca	3275	PRMT2	uc002zjw.2	44.6252324339429	277	True
brca	3275	PRMT2	uc011agc.1	1.49351948454785	228	True
brca	3275	PRMT2	uc002zjx.2	42.4707590565138	433	True
brca	5080	PAX6	uc001mtd.3	0.0	422	True
brca	5080	PAX6	uc001mte.3	0.910809131055477	422	True
brca	5080	PAX6	uc001mtf.3	0.0	422	True
brca	5080	PAX6	uc001mte.3	0.910809131055477	422	True
brca	5080	PAX6	uc001mtg.3	0.0	436	True
brca	5080	PAX6	uc001mte.3	0.910809131055477	422	True
brca	56947	MFF	uc002vox.2	15.0590931344835	218	True
brca	56947	MFF	uc002vot.2	31.2143357252448	291	True
brca	56947	MFF	uc002voz.2	0.220043394731949	218	True
brca	56947	MFF	uc002vot.2	31.2143357252448	291	True
brca	50717	DCAF8	uc010pjb.1	21.0725970671874	597	True
brca	50717	DCAF8	uc001fvo.2	24.0676322771778	597	True
brca	9825	SPATA2	uc010zyn.1	0.0	383	True
brca	9825	SPATA2	uc002xuw.2	10.0128579624583	520	True
brca	7132	TNFRSF1A	uc001qnt.2	0.515373947037271	347	True
brca	7132	TNFRSF1A	uc001qnu.2	114.922721617756	455	True
brca	23438	HARS2	uc011czu.1	8.4942169833377	332	True
brca	23438	HARS2	uc003lgx.2	20.3028324545853	506	True
brca	26015	RPAP1	uc001zoc.2	6.6707638671903	412	True
brca	26015	RPAP1	uc001zod.2	9.60090591839182	1393	True
brca	79956	ERMP1	uc010mhs.1	2.16591496024675	518	True
brca	79956	ERMP1	uc003zjm.1	20.3444471206357	904	True
brca	26508	HEYL	uc010oiw.1	0.0	300	True
brca	26508	HEYL	uc001cdp.2	4.32583222273202	328	True
brca	1495	CTNNA1	uc003ldl.2	20.472957170539	536	True
brca	1495	CTNNA1	uc003ldh.2	233.823675521929	906	True
brca	79441	HAUS3	uc003get.1	0.0	603	True
brca	79441	HAUS3	uc003ges.1	4.41757586398032	603	True
brca	145407	C14orf37	uc010tro.1	0.0	812	True
brca	145407	C14orf37	uc001xdc.2	2.9416331679613	774	True
brca	339287	MSL1	uc002hub.2	29.5032166374437	413	True
brca	339287	MSL1	uc002huc.2	49.3956327063083	198	True
brca	257169	C9orf43	uc004bhp.2	0.0	461	True
brca	257169	C9orf43	uc004bho.3	0.351197468968859	461	True
brca	9670	IPO13	uc001cky.2	1.6642239382635	181	True
brca	9670	IPO13	uc001ckx.2	16.4938782652016	963	True
brca	127435	PODN	uc010ons.1	0.0	519	True
brca	127435	PODN	uc001cuv.2	74.7666029914859	661	True
brca	55288	RHOT1	uc010wby.1	2.85459810760865	650	True
brca	55288	RHOT1	uc002hgy.2	8.38858963259893	659	True
brca	83666	PARP9	uc003efg.2	1.40546988580308	399	True
brca	83666	PARP9	uc003eff.3	24.0043673587621	819	True
brca	10318	TNIP1	uc011dcn.1	31.2461887510744	154	True
brca	10318	TNIP1	uc003ltj.2	60.7633145927257	636	True
brca	84928	TMEM209	uc010lmc.1	1.61359444326262	519	True
brca	84928	TMEM209	uc003vpn.2	15.3806889249329	561	True
brca	140	ADORA3	uc001ebg.3	0.814537651137444	266	True
brca	140	ADORA3	uc001ebh.3	4.06622179180261	318	True
brca	84866	TMEM25	uc001pti.2	1.06792992493348	218	True
brca	84866	TMEM25	uc010rye.1	22.444051715947	366	True
brca	439965	FAM35B2	uc010qga.1	0.074280170643022	212	True
brca	439965	FAM35B2	uc010qfz.1	2.02302084561857	0	True
brca	11226	GALNT6	uc001ryj.1	1.1988845601252	187	True
brca	11226	GALNT6	uc001ryk.2	27.9990759930002	622	True
brca	51495	PTPLAD1	uc010uiw.1	0.582970888814711	307	True
brca	51495	PTPLAD1	uc002apc.2	96.3482615126156	362	True
brca	3326	HSP90AB1	uc003oxc.1	48.9546743085395	362	True
brca	3326	HSP90AB1	uc003oxa.1	923.573732540242	724	True
brca	84886	C1orf198	uc001hub.2	26.2595802295454	327	True
brca	84886	C1orf198	uc009xfh.1	43.2437677222959	197	True
brca	6510	SLC1A5	uc002pfr.2	73.9735067532199	313	True
brca	6510	SLC1A5	uc002pfs.2	74.8103791203908	541	True
brca	920	CD4	uc010sfk.1	0.0	185	True
brca	920	CD4	uc001qqv.1	26.561968374841	458	True
brca	3032	HADHB	uc002rha.2	1.0744285155123	351	True
brca	3032	HADHB	uc002rgz.2	83.6651770136678	474	True
brca	3032	HADHB	uc010ykx.1	70.324048964463	400	True
brca	3032	HADHB	uc002rgz.2	83.6651770136678	474	True
brca	5887	RAD23B	uc004bde.2	3.12140142999135	409	True
brca	5887	RAD23B	uc011lwb.1	86.5321610059806	388	True
brca	10066	SCAMP2	uc002aza.1	49.4696809571776	168	True
brca	10066	SCAMP2	uc002azb.1	71.8580053906846	329	True
brca	5251	PHEX	uc011mjs.1	0.0	652	True
brca	5251	PHEX	uc004dah.2	0.349553918890116	749	True
brca	205564	SENP5	uc011bty.1	1.68114379251891	709	True
brca	205564	SENP5	uc003fwz.3	9.96022238728365	755	True
brca	84629	TNRC18	uc003soj.2	10.1702993128847	207	True
brca	84629	TNRC18	uc003soi.3	21.735827166111	2968	True
brca	374875	HSD11B1L	uc002mck.2	0.393995404744584	315	True
brca	374875	HSD11B1L	uc002mcj.2	2.72846932965914	0	True
brca	374875	HSD11B1L	uc002mcm.2	1.36986605392758	152	True
brca	374875	HSD11B1L	uc002mcj.2	2.72846932965914	0	True
brca	374875	HSD11B1L	uc002mcr.2	0.0	205	True
brca	374875	HSD11B1L	uc002mcj.2	2.72846932965914	0	True
brca	285343	C3orf23	uc003cnb.3	5.35711239538531	70	True
brca	285343	C3orf23	uc010him.2	6.71003320270997	496	True
brca	285343	C3orf23	uc003cnc.3	0.757777707339123	70	True
brca	285343	C3orf23	uc010him.2	6.71003320270997	496	True
brca	285343	C3orf23	uc003cnd.3	0.0	496	True
brca	285343	C3orf23	uc010him.2	6.71003320270997	496	True
brca	25926	NOL11	uc010deu.1	0.0	314	True
brca	25926	NOL11	uc002jgd.1	38.2182022772643	719	True
brca	2585	GALK2	uc001zxj.1	3.43009782613218	458	True
brca	2585	GALK2	uc001zxi.1	7.09075314525103	447	True
brca	200916	RPL22L1	uc003fhb.3	6.11720869529166	0	True
brca	200916	RPL22L1	uc003fhc.3	14.5116521332737	122	True
brca	5055	SERPINB2	uc010dqh.2	0.0	345	True
brca	5055	SERPINB2	uc002ljo.2	0.391352801112681	415	True
brca	10978	CLP1	uc009yml.2	0.0	425	True
brca	10978	CLP1	uc001nkw.2	12.9752848997683	425	True
brca	10978	CLP1	uc010rjw.1	0.366361834366561	361	True
brca	10978	CLP1	uc001nkw.2	12.9752848997683	425	True
brca	57210	SLC45A4	uc010meq.1	1.55825067767333	755	True
brca	57210	SLC45A4	uc003ywc.1	4.27013590501116	717	True
brca	51133	KCTD3	uc009xdn.2	20.6872042765933	539	True
brca	51133	KCTD3	uc001hks.2	45.7795736139729	815	True
brca	124976	SPNS2	uc002fxy.2	5.5804428901653	201	True
brca	124976	SPNS2	uc002fxx.2	10.5236435527145	549	True
brca	6734	SRPR	uc010sbm.1	3.26065395229631	610	True
brca	6734	SRPR	uc001qdh.2	114.707887960509	638	True
brca	146754	DNAH2	uc002giu.1	0.247422093148651	4427	True
brca	146754	DNAH2	uc010cnm.1	0.795459227627356	1180	True
brca	6548	SLC9A1	uc001bnl.2	1.05520373748344	319	True
brca	6548	SLC9A1	uc001bnm.2	28.5255985276508	815	True
brca	55793	FAM63A	uc001ewc.2	0.0	327	True
brca	55793	FAM63A	uc001ewg.2	17.3995834896086	469	True
brca	8662	EIF3B	uc003smb.2	3.58643566381759	0	True
brca	8662	EIF3B	uc003slx.2	13.990851245131	814	True
brca	8662	EIF3B	uc003smb.2	3.58643566381759	0	True
brca	8662	EIF3B	uc003sma.2	78.6121762238196	542	True
brca	55284	UBE2W	uc003xzu.2	0.0	162	True
brca	55284	UBE2W	uc003xzv.2	15.9720975768687	151	True
brca	55284	UBE2W	uc003xzw.2	0.497752749551332	0	True
brca	55284	UBE2W	uc003xzv.2	15.9720975768687	151	True
brca	6385	SDC4	uc010zws.1	2.32295631436007	126	True
brca	6385	SDC4	uc002xnu.2	237.786508500839	198	True
brca	5908	RAP1B	uc010sti.1	1.5771677152488	137	True
brca	5908	RAP1B	uc001suc.2	92.4747478239985	184	True
brca	26156	RSL1D1	uc002dbp.1	66.0729144999507	490	True
brca	26156	RSL1D1	uc010buw.2	95.1583962280848	0	True
brca	7266	DNAJC7	uc002hyo.2	19.6885008545219	494	True
brca	7266	DNAJC7	uc010wgb.1	50.7454821747405	438	True
brca	8879	SGPL1	uc009xqk.2	2.25421457953083	0	True
brca	8879	SGPL1	uc001jrm.2	26.5319056687647	568	True
brca	6795	AURKC	uc002qod.2	0.0	275	True
brca	6795	AURKC	uc002qoc.2	0.857586644271813	290	True
brca	6795	AURKC	uc010etv.2	0.0	306	True
brca	6795	AURKC	uc002qoc.2	0.857586644271813	290	True
brca	2649	NR6A1	uc004bor.1	0.0	480	True
brca	2649	NR6A1	uc004boq.1	0.0787874481072189	475	True
brca	2649	NR6A1	uc010mwq.1	0.0	476	True
brca	2649	NR6A1	uc004boq.1	0.0787874481072189	475	True
brca	2649	NR6A1	uc004boq.1	0.0787874481072189	475	True
brca	2649	NR6A1	uc004bor.1	0.0	480	True
brca	2649	NR6A1	uc004boq.1	0.0787874481072189	475	True
brca	2649	NR6A1	uc010mwq.1	0.0	476	True
brca	3269	HRH1	uc010hdt.2	0.0	487	True
brca	3269	HRH1	uc010hds.2	5.11647324603226	487	True
brca	153768	PRELID2	uc003lno.1	0.405091121066553	148	True
brca	153768	PRELID2	uc003lnq.1	2.51564406898179	177	True
brca	79828	METTL8	uc002ugu.3	0.0	378	True
brca	79828	METTL8	uc002ugv.3	4.08248933516512	378	True
brca	11221	DUSP10	uc001hmz.1	0.765792009407106	140	True
brca	11221	DUSP10	uc001hmy.1	13.6250211536011	482	True
brca	56606	SLC2A9	uc003gmd.2	0.0	511	True
brca	56606	SLC2A9	uc003gmc.2	6.30974306371805	540	True
brca	57228	SMAGP	uc001ryd.1	0.0	97	True
brca	57228	SMAGP	uc001rye.1	16.5284107648323	97	True
