Tumor	Normal_transcript	Tumor_transcript	Random	nIsoLength	tIsoLength	nIsoSpecificLength	tIsoSpecificLength
brca	uc004aso.1	uc004asp.1	NonRandom	824	855	0	31
brca	uc010tdi.1	uc010tdj.1	NonRandom	1123	0	0	0
brca	uc010qxu.1	uc010qxt.1	NonRandom	244	244	0	0
brca	uc003czv.2	uc003czu.2	NonRandom	473	473	0	0
brca	uc003ycj.1	uc003yck.1	NonRandom	268	161	107	0
brca	uc001uow.2	uc001uot.2	NonRandom	417	417	0	0
brca	uc002pke.3	uc010emc.2	NonRandom	343	343	0	0
brca	uc001jsm.2	uc001jsl.2	NonRandom	524	248	276	0
brca	uc003apr.2	uc011amr.1	NonRandom	548	375	173	0
brca	uc002ruo.2	uc002rup.2	NonRandom	291	293	0	2
brca	uc003utu.2	uc010lgq.2	NonRandom	486	424	144	82
brca	uc001kgz.2	uc001khb.2	NonRandom	445	432	13	0
brca	uc004bia.2	uc004bhr.2	NonRandom	311	602	311	602
brca	uc011kxo.1	uc011kxp.1	NonRandom	0	0	0	0
brca	uc003lem.2	uc003lek.2	NonRandom	188	291	59	162
brca	uc002ywx.2	uc002yww.2	NonRandom	375	375	0	0
brca	uc002gnz.3	uc002gnw.3	NonRandom	826	482	344	0
brca	uc003lkb.3	uc003lkd.1	NonRandom	820	932	12	124
brca	uc010ddd.2	uc002iwx.2	NonRandom	518	755	24	261
brca	uc004cfh.1	uc004cfg.1	NonRandom	275	313	0	38
brca	uc001ept.1	uc001eps.1	NonRandom	358	358	0	0
brca	uc003pvj.2	uc003pvh.2	NonRandom	537	534	55	52
brca	uc001xrq.2	uc010tvc.1	NonRandom	174	163	11	0
brca	uc004cwg.1	uc004cwh.1	NonRandom	859	859	0	0
brca	uc002amv.2	uc010uio.1	NonRandom	522	557	16	51
brca	uc003cbm.2	uc003cbl.3	NonRandom	703	833	55	185
brca	uc001sdf.3	uc001sdd.3	NonRandom	318	331	0	13
brca	uc001hmc.2	uc001hmd.2	NonRandom	1012	348	664	0
brca	uc001xzg.2	uc001xzh.2	NonRandom	365	375	0	10
brca	uc003zdh.3	uc011lli.1	NonRandom	496	496	0	0
brca	uc002jym.1	uc002jyk.2	NonRandom	282	264	47	29
brca	uc002suq.2	uc002sun.1	NonRandom	230	0	0	0
brca	uc002rhw.2	uc002rhx.2	NonRandom	281	266	15	0
brca	uc001ocr.1	uc001ocs.1	NonRandom	782	658	124	0
brca	uc003cmv.2	uc010hil.2	NonRandom	660	470	190	0
brca	uc011edq.1	uc003qif.1	NonRandom	758	904	0	146
brca	uc003etv.2	uc011bnb.1	NonRandom	480	463	27	10
brca	uc001mpi.2	uc001mpj.2	NonRandom	622	492	130	0
brca	uc003sjs.2	uc003sju.2	NonRandom	0	194	0	0
brca	uc001tqi.2	uc001tqh.2	NonRandom	676	676	0	0
brca	uc003elq.3	uc003elr.3	NonRandom	177	170	7	0
brca	uc003oqq.3	uc003oqp.3	NonRandom	246	246	0	0
brca	uc002gpy.2	uc002gpz.2	NonRandom	764	334	430	0
brca	uc002hdt.1	uc002hdu.1	NonRandom	2054	2039	15	0
brca	uc003faq.2	uc011bom.1	NonRandom	693	594	99	0
brca	uc003aos.2	uc003aot.2	NonRandom	331	402	4	75
brca	uc004cdf.1	uc004cde.1	NonRandom	90	266	0	176
brca	uc001xle.2	uc001xlf.3	NonRandom	307	232	76	1
brca	uc003lhk.1	uc003lhl.2	NonRandom	890	936	22	68
brca	uc003ccr.2	uc003ccq.2	NonRandom	204	204	0	0
brca	uc002bqg.2	uc002bqi.2	NonRandom	944	222	722	0
brca	uc003eog.1	uc003eof.2	NonRandom	162	194	59	91
brca	uc001iig.2	uc001iii.2	NonRandom	278	0	0	0
brca	uc002hso.2	uc010wek.1	NonRandom	1255	979	276	0
brca	uc002gij.2	uc010cne.1	NonRandom	393	0	0	0
brca	uc002fsr.2	uc010vql.1	NonRandom	448	356	92	0
brca	uc001qaq.2	uc001qar.2	NonRandom	78	78	0	0
brca	uc002lrz.2	uc002lsd.2	NonRandom	711	0	0	0
brca	uc002azq.3	uc002azr.3	NonRandom	1047	336	723	12
brca	uc003iyy.2	uc011clc.1	NonRandom	638	436	253	51
brca	uc001vwc.3	uc001vwb.3	NonRandom	508	0	0	0
brca	uc001sot.2	uc010srt.1	NonRandom	421	373	48	0
brca	uc001vwz.2	uc001vwy.2	NonRandom	277	277	0	0
brca	uc010vyb.1	uc002gtw.2	NonRandom	268	356	0	88
brca	uc003eho.2	uc010hrx.2	NonRandom	799	0	0	0
brca	uc002zoq.1	uc011agr.1	NonRandom	550	506	44	0
brca	uc002zri.2	uc002zrj.2	NonRandom	773	416	357	0
brca	uc002ass.2	uc002ast.2	NonRandom	491	93	424	26
brca	uc003ire.2	uc003irf.2	NonRandom	293	162	131	0
brca	uc003hwg.2	uc011ces.1	NonRandom	879	822	57	0
brca	uc004bas.2	uc011lvf.1	NonRandom	929	768	161	0
brca	uc001igt.1	uc001igs.1	NonRandom	1037	142	898	3
brca	uc003cxh.2	uc003cxi.2	NonRandom	1314	0	0	0
brca	uc001fvo.2	uc010pjb.1	NonRandom	597	597	0	0
brca	uc002zjx.2	uc011agc.1	NonRandom	433	228	205	0
brca	uc002vot.2	uc002voz.2	NonRandom	291	218	73	0
brca	uc001mte.3	uc001mtf.3	NonRandom	422	422	0	0
brca	uc002ilt.1	uc010wkx.1	NonRandom	876	660	216	0
brca	uc001zod.2	uc001zoc.2	NonRandom	1393	412	981	0
brca	uc003zjm.1	uc010mhs.1	NonRandom	904	518	386	0
brca	uc001qnu.2	uc001qnt.2	NonRandom	455	347	108	0
brca	uc002xuw.2	uc010zyn.1	NonRandom	520	383	137	0
brca	uc003lgx.2	uc011czu.1	NonRandom	506	332	174	0
brca	uc001ckx.2	uc001cky.2	NonRandom	963	181	799	17
brca	uc001cdp.2	uc010oiw.1	NonRandom	328	300	28	0
brca	uc003ldh.2	uc003ldl.2	NonRandom	906	536	370	0
brca	uc001cuv.2	uc010ons.1	NonRandom	661	519	142	0
brca	uc003ges.1	uc003get.1	NonRandom	603	603	0	0
brca	uc001xdc.2	uc010tro.1	NonRandom	774	812	0	38
brca	uc002huc.2	uc002hub.2	NonRandom	198	413	2	217
brca	uc004bho.3	uc004bhp.2	NonRandom	461	461	0	0
brca	uc002hgy.2	uc010wby.1	NonRandom	659	650	41	32
brca	uc003ltj.2	uc011dcn.1	NonRandom	636	154	482	0
brca	uc003vpn.2	uc010lmc.1	NonRandom	561	519	42	0
brca	uc010rye.1	uc001pti.2	NonRandom	366	218	148	0
brca	uc001ryk.2	uc001ryj.1	NonRandom	622	187	435	0
brca	uc003eff.3	uc003efg.2	NonRandom	819	399	420	0
brca	uc001ebh.3	uc001ebg.3	NonRandom	318	266	318	266
brca	uc010qfz.1	uc010qga.1	NonRandom	0	212	0	0
brca	uc002rgz.2	uc010ykx.1	NonRandom	474	400	74	0
brca	uc003oxa.1	uc003oxc.1	NonRandom	724	362	362	0
brca	uc001qqv.1	uc010sfk.1	NonRandom	458	185	273	0
brca	uc011lwb.1	uc004bde.2	NonRandom	388	409	1	22
brca	uc002pfs.2	uc002pfr.2	NonRandom	541	313	228	0
brca	uc002apc.2	uc010uiw.1	NonRandom	362	307	55	0
brca	uc009xfh.1	uc001hub.2	NonRandom	197	327	0	130
brca	uc002azb.1	uc002aza.1	NonRandom	329	168	193	32
brca	uc003fhc.3	uc003fhb.3	NonRandom	122	0	0	0
brca	uc002jgd.1	uc010deu.1	NonRandom	719	314	405	0
brca	uc002ljo.2	uc010dqh.2	NonRandom	415	345	70	0
brca	uc004dah.2	uc011mjs.1	NonRandom	749	652	97	0
brca	uc002mcj.2	uc002mcr.2	NonRandom	0	205	0	0
brca	uc001zxi.1	uc001zxj.1	NonRandom	447	458	7	18
brca	uc010him.2	uc003cnb.3	NonRandom	496	70	441	15
brca	uc003soi.3	uc003soj.2	NonRandom	2968	207	2762	1
brca	uc001nkw.2	uc009yml.2	NonRandom	425	425	0	0
brca	uc003ywc.1	uc010meq.1	NonRandom	717	755	30	68
brca	uc003fwz.3	uc011bty.1	NonRandom	755	709	46	0
brca	uc010wgb.1	uc002hyo.2	NonRandom	438	494	0	56
brca	uc010hds.2	uc010hdt.2	NonRandom	487	487	0	0
brca	uc001ewg.2	uc001ewc.2	NonRandom	469	327	142	0
brca	uc010buw.2	uc002dbp.1	NonRandom	0	490	0	0
brca	uc002qoc.2	uc010etv.2	NonRandom	290	306	4	20
brca	uc003slx.2	uc003smb.2	NonRandom	814	0	0	0
brca	uc001qdh.2	uc010sbm.1	NonRandom	638	610	28	0
brca	uc001jrm.2	uc009xqk.2	NonRandom	568	0	0	0
brca	uc002fxx.2	uc002fxy.2	NonRandom	549	201	549	201
brca	uc002xnu.2	uc010zws.1	NonRandom	198	126	72	0
brca	uc004bor.1	uc004boq.1	NonRandom	480	475	5	0
brca	uc003xzv.2	uc003xzu.2	NonRandom	151	162	0	11
brca	uc001hks.2	uc009xdn.2	NonRandom	815	539	276	0
brca	uc010cnm.1	uc002giu.1	NonRandom	1180	4427	1	3248
brca	uc001suc.2	uc010sti.1	NonRandom	184	137	47	0
brca	uc001bnm.2	uc001bnl.2	NonRandom	815	319	496	0
brca	uc003mhc.1	uc003mhb.1	NonRandom	457	423	39	5
brca	uc003lnq.1	uc003lno.1	NonRandom	177	148	29	0
brca	uc002ugv.3	uc002ugu.3	NonRandom	378	378	0	0
brca	uc001rmt.3	uc001rms.3	NonRandom	409	440	0	31
brca	uc003bkv.3	uc003bkt.1	NonRandom	1838	630	1208	0
brca	uc001ozx.3	uc001ozy.2	NonRandom	1555	75	1491	11
brca	uc003zyo.2	uc003zyk.2	NonRandom	472	338	199	65
brca	uc002dfg.2	uc010vam.1	NonRandom	320	263	57	0
brca	uc003yht.1	uc003yhu.1	NonRandom	473	327	147	1
brca	uc003gmc.2	uc003gmd.2	NonRandom	540	511	51	22
brca	uc002rfz.1	uc002rga.1	NonRandom	267	267	0	0
brca	uc001rye.1	uc001ryd.1	NonRandom	97	97	0	0
brca	uc002ndi.2	uc002ndj.2	NonRandom	284	248	80	44
brca	uc001hmy.1	uc001hmz.1	NonRandom	482	140	342	0
brca	uc001kog.1	uc009xvw.1	NonRandom	479	112	406	39
brca	uc002gqb.3	uc010vwg.1	NonRandom	0	0	0	0
brca	uc002bgt.1	uc002bgs.1	NonRandom	1120	491	629	0
brca	uc001auc.2	uc001aub.2	NonRandom	302	217	85	0
brca	uc004bsj.3	uc011mam.1	NonRandom	658	469	189	0
brca	uc003onu.1	uc003onv.1	NonRandom	955	242	760	47
brca	uc001ypy.1	uc001ypz.1	NonRandom	325	0	0	0
brca	uc002fue.1	uc002fui.1	NonRandom	340	191	149	0
brca	uc003oae.2	uc003oaf.2	NonRandom	283	283	0	0
brca	uc002uhf.1	uc002uhd.1	NonRandom	612	375	258	21
brca	uc003iuh.2	uc003iug.2	NonRandom	267	278	2	13
brca	uc003ela.3	uc003ele.2	NonRandom	621	273	348	0
brca	uc003sip.2	uc011jvn.1	NonRandom	584	252	332	0
brca	uc001qjj.2	uc001qjk.2	NonRandom	359	359	0	0
brca	uc011deh.1	uc010jiu.1	NonRandom	313	411	0	98
brca	uc011blb.1	uc003emw.2	NonRandom	594	81	513	0
brca	uc001ceb.1	uc009vvu.1	NonRandom	517	511	6	0
brca	uc003thq.2	uc003thr.2	NonRandom	426	426	0	0
brca	uc001xyi.1	uc010atp.1	NonRandom	1164	669	495	0
brca	uc003oth.2	uc010jyd.2	NonRandom	602	496	106	0
brca	uc003qdw.1	uc010kgd.1	NonRandom	456	0	0	0
brca	uc004epg.2	uc004epf.2	NonRandom	360	365	0	5
brca	uc002anv.2	uc010bgz.2	NonRandom	490	166	324	0
brca	uc011kum.1	uc003wfl.2	NonRandom	647	642	13	8
brca	uc001bzi.2	uc009vux.2	NonRandom	1339	1275	64	0
brca	uc002pkr.2	uc002pkt.2	NonRandom	392	300	92	0
brca	uc004ass.2	uc004asr.3	NonRandom	0	0	0	0
brca	uc003twg.2	uc003twh.2	NonRandom	0	0	0	0
brca	uc003bao.1	uc003bas.1	NonRandom	609	559	65	15
brca	uc002wqh.2	uc010gcp.2	NonRandom	344	0	0	0
brca	uc002upf.2	uc010zfs.1	NonRandom	326	308	18	0
brca	uc001onj.2	uc001onk.2	NonRandom	457	439	18	0
brca	uc001pld.2	uc001ple.2	NonRandom	124	0	0	0
brca	uc010zbr.1	uc002twl.1	NonRandom	357	0	0	0
brca	uc001grg.3	uc001grh.3	NonRandom	900	900	0	0
brca	uc004cik.2	uc004cil.2	NonRandom	431	344	87	0
brca	uc001lmg.1	uc010qvd.1	NonRandom	902	772	130	0
brca	uc003mur.3	uc011dhq.1	NonRandom	0	0	0	0
brca	uc002act.2	uc010ugg.1	NonRandom	554	359	195	0
brca	uc003vge.2	uc003vgf.2	NonRandom	450	372	78	0
brca	uc001cjx.2	uc010oki.1	NonRandom	1064	509	603	48
brca	uc002kzk.1	uc002kzo.1	NonRandom	826	756	70	0
brca	uc001cyc.1	uc010ooi.1	NonRandom	516	159	357	0
brca	uc001gnz.2	uc001goc.2	NonRandom	747	243	506	2
brca	uc001hbs.2	uc001hbr.2	NonRandom	828	1040	0	212
brca	uc003usr.2	uc010lgj.2	NonRandom	446	410	36	0
brca	uc003xyq.2	uc010lzd.2	NonRandom	373	241	132	0
brca	uc003auc.2	uc003aud.2	NonRandom	300	177	128	5
brca	uc010yqa.1	uc010ypz.1	NonRandom	532	234	298	0
brca	uc001ugy.2	uc001ugz.1	NonRandom	1157	262	940	45
brca	uc002wbq.2	uc002wbr.2	NonRandom	212	0	0	0
brca	uc002rom.2	uc002ron.2	NonRandom	843	0	0	0
brca	uc001oql.2	uc001oqk.2	NonRandom	475	475	0	0
brca	uc002spr.2	uc010fgk.2	NonRandom	395	369	26	0
brca	uc002rgy.2	uc010yks.1	NonRandom	763	676	105	18
brca	uc001ooc.2	uc001ooe.2	NonRandom	508	229	297	18
brca	uc010idk.2	uc003glc.3	NonRandom	700	700	0	0
brca	uc002jxz.3	uc002jya.3	NonRandom	502	299	203	0
brca	uc003mkw.3	uc011dgs.1	NonRandom	440	356	84	0
brca	uc002mng.2	uc002mnf.2	NonRandom	1616	540	1076	0
brca	uc002bxj.2	uc002bxi.2	NonRandom	221	247	0	26
brca	uc002dgn.1	uc002dgp.1	NonRandom	963	712	251	0
brca	uc010rrw.1	uc001oxc.2	NonRandom	598	699	0	101
brca	uc001byx.2	uc001byw.2	NonRandom	1049	491	563	5
brca	uc003vuc.2	uc003vub.2	NonRandom	1050	1016	34	0
brca	uc003hbu.1	uc010ihd.1	NonRandom	425	426	6	7
brca	uc002oja.1	uc002ojb.1	NonRandom	911	233	678	0
brca	uc001nog.2	uc010rky.1	NonRandom	289	180	161	52
brca	uc002sdb.2	uc002sdc.2	NonRandom	909	937	0	28
brca	uc004ase.1	uc010mqy.1	NonRandom	380	243	142	5
brca	uc003dfd.2	uc003dff.2	NonRandom	549	537	12	0
brca	uc010oiz.1	uc001cel.2	NonRandom	467	0	0	0
brca	uc002ihn.2	uc010wje.1	NonRandom	972	937	972	937
brca	uc002nug.1	uc002nuh.1	NonRandom	931	308	631	8
brca	uc001ckz.2	uc001cla.2	NonRandom	489	261	228	0
brca	uc002jyh.1	uc010dhx.1	NonRandom	3280	224	3073	17
brca	uc003vvi.2	uc003vvh.2	NonRandom	534	534	0	0
brca	uc003kdp.2	uc010izp.2	NonRandom	888	111	777	0
brca	uc001mso.1	uc001msp.2	NonRandom	260	0	0	0
brca	uc002ozu.2	uc002ozt.1	NonRandom	628	588	40	0
brca	uc003npt.2	uc003npr.2	NonRandom	539	539	0	0
brca	uc001rai.1	uc010shm.1	NonRandom	431	365	75	9
brca	uc003act.2	uc003acq.2	NonRandom	837	196	665	24
brca	uc004cvp.3	uc004cvu.3	NonRandom	1012	971	41	0
brca	uc004bpv.2	uc004bqa.2	NonRandom	522	323	202	3
brca	uc010sfh.1	uc001qqd.2	NonRandom	577	461	116	0
brca	uc003gbw.2	uc010ibn.2	NonRandom	942	929	13	0
brca	uc003viq.2	uc003vio.2	NonRandom	531	554	28	51
brca	uc002iga.2	uc010wiv.1	NonRandom	347	129	218	0
brca	uc003jdb.2	uc003jda.2	NonRandom	471	471	0	0
brca	uc003xtn.2	uc011led.1	NonRandom	298	239	59	0
brca	uc002ojr.1	uc010xuo.1	NonRandom	107	566	39	498
brca	uc003jdr.2	uc003jdq.2	NonRandom	0	0	0	0
brca	uc003lla.1	uc011dbc.1	NonRandom	944	877	124	57
brca	uc010qxy.1	uc001lyn.3	NonRandom	307	161	307	161
brca	uc002zqa.1	uc002zqb.2	NonRandom	495	398	158	61
brca	uc001aky.2	uc010nzm.1	NonRandom	925	0	0	0
brca	uc001iib.2	uc010qar.1	NonRandom	542	415	127	0
brca	uc011cmj.1	uc011cmg.1	NonRandom	0	135	0	0
brca	uc002aoo.2	uc002aop.2	NonRandom	322	207	115	0
brca	uc010bzy.2	uc002dyx.2	NonRandom	249	500	249	500
brca	uc002sxi.3	uc002sxk.3	NonRandom	138	362	10	234
brca	uc002bdd.2	uc002bdg.2	NonRandom	366	279	87	0
brca	uc001fpd.2	uc001fpb.2	NonRandom	514	514	0	0
brca	uc003odf.2	uc003odh.2	NonRandom	469	117	352	0
brca	uc002dde.2	uc010uzp.1	NonRandom	651	519	132	0
brca	uc002mfk.1	uc002mfj.1	NonRandom	240	204	36	0
brca	uc001wis.3	uc001wir.3	NonRandom	1022	614	448	40
brca	uc002jkv.2	uc010dfs.2	NonRandom	299	103	196	0
brca	uc003geo.3	uc003gep.3	NonRandom	139	95	44	0
brca	uc001ggv.2	uc010plx.1	NonRandom	792	494	298	0
brca	uc001grw.2	uc010por.1	NonRandom	453	421	32	0
brca	uc003uva.2	uc011kjv.1	NonRandom	395	156	239	0
brca	uc002rao.1	uc002ran.1	NonRandom	461	147	314	0
brca	uc003wey.2	uc003wfa.2	NonRandom	776	437	361	22
brca	uc001kbu.1	uc001kbs.1	NonRandom	505	505	0	0
brca	uc010nud.1	uc011myp.1	NonRandom	235	235	0	0
brca	uc002mnq.2	uc010xle.1	NonRandom	532	310	222	0
brca	uc001lyw.3	uc010qyd.1	NonRandom	792	454	338	0
brca	uc001exi.2	uc010pcv.1	NonRandom	549	254	337	42
brca	uc004dmb.3	uc004dmc.3	NonRandom	575	470	105	0
brca	uc003yia.2	uc010mbg.2	NonRandom	317	149	168	0
brca	uc001ojd.2	uc001ojc.1	NonRandom	2390	174	2390	174
brca	uc003zqg.3	uc010mja.2	NonRandom	600	600	0	0
brca	uc010ukw.1	uc002ave.3	NonRandom	439	222	224	7
brca	uc011dbp.1	uc003lnv.2	NonRandom	0	177	0	0
brca	uc001whg.2	uc001whj.2	NonRandom	439	189	250	0
brca	uc003keh.3	uc003keg.3	NonRandom	575	550	29	4
brca	uc004fmp.1	uc011mzw.1	NonRandom	466	449	17	0
brca	uc004cxm.2	uc004cxl.2	NonRandom	586	586	0	0
brca	uc010idi.2	uc003gjw.3	NonRandom	345	420	0	75
brca	uc009wht.1	uc001eiu.1	NonRandom	121	0	0	0
brca	uc002drk.2	uc010vdd.1	NonRandom	671	335	336	0
brca	uc003ltl.1	uc003ltm.1	NonRandom	673	667	6	0
brca	uc003vda.1	uc010ljj.1	NonRandom	792	367	425	0
brca	uc010trq.1	uc001xdr.1	NonRandom	0	152	0	0
brca	uc002hra.2	uc010wdz.1	NonRandom	261	205	83	27
brca	uc002pxz.1	uc002pya.1	NonRandom	617	581	36	0
brca	uc003voz.2	uc011kpa.1	NonRandom	503	342	161	0
brca	uc002bqp.1	uc010uqu.1	NonRandom	617	590	27	0
brca	uc003nqj.1	uc003nqi.1	NonRandom	167	188	0	21
brca	uc009wwd.2	uc010pmn.1	NonRandom	1210	883	334	7
brca	uc002uow.1	uc010fro.1	NonRandom	793	0	0	0
brca	uc003adf.1	uc003adc.1	NonRandom	0	0	0	0
brca	uc003oqu.1	uc003oqr.1	NonRandom	490	391	99	0
brca	uc001opv.3	uc001opx.2	NonRandom	550	234	316	0
brca	uc003onn.2	uc003onp.2	NonRandom	505	163	342	0
brca	uc003jch.2	uc003jcg.2	NonRandom	538	369	169	0
brca	uc010ncj.1	uc011mfa.1	NonRandom	1342	725	618	1
brca	uc003kxa.2	uc003kxb.2	NonRandom	325	325	0	0
brca	uc004aym.2	uc004ayk.2	NonRandom	525	172	525	172
brca	uc003cdl.2	uc003cdk.2	NonRandom	654	0	0	0
brca	uc001nqg.2	uc001nqh.2	NonRandom	243	243	0	0
brca	uc003jhj.3	uc010iuj.2	NonRandom	442	177	331	66
brca	uc002uuh.1	uc010fsl.1	NonRandom	238	210	35	7
brca	uc002zrq.2	uc010gsa.2	NonRandom	765	571	194	0
brca	uc002auc.2	uc002aub.2	NonRandom	630	0	0	0
brca	uc002pdb.2	uc002pdc.2	NonRandom	739	327	471	59
brca	uc004eie.3	uc004eid.2	NonRandom	632	632	0	0
brca	uc001qhf.2	uc001qhh.2	NonRandom	225	225	0	0
brca	uc001hjz.2	uc010ptq.1	NonRandom	544	0	0	0
brca	uc003wnk.2	uc011kvz.1	NonRandom	326	211	115	0
brca	uc002man.1	uc002mam.1	NonRandom	441	388	53	0
brca	uc002mgs.2	uc002mgt.1	NonRandom	1365	0	0	0
brca	uc003ojr.2	uc003ojs.2	NonRandom	298	232	66	0
brca	uc004cxi.2	uc004cxh.2	NonRandom	157	156	15	14
brca	uc004efu.3	uc004eft.3	NonRandom	1101	1096	20	15
brca	uc003btw.2	uc003btx.2	NonRandom	667	551	116	0
brca	uc002plb.3	uc002pld.2	NonRandom	461	124	337	0
brca	uc002evy.1	uc010vlg.1	NonRandom	692	642	50	0
brca	uc001ggt.2	uc010plw.1	NonRandom	688	334	354	0
brca	uc002njh.2	uc002njg.2	NonRandom	621	488	133	0
brca	uc009xna.2	uc001jee.2	NonRandom	375	375	0	0
brca	uc002zto.2	uc002ztp.2	NonRandom	840	164	732	56
brca	uc003nbj.2	uc011div.1	NonRandom	1246	1074	172	0
brca	uc003wnv.1	uc011kwc.1	NonRandom	1143	597	546	0
brca	uc002zrv.2	uc002zru.2	NonRandom	473	245	228	0
brca	uc010eli.2	uc010xyt.1	NonRandom	902	1365	902	1365
brca	uc003kdc.3	uc011css.1	NonRandom	589	516	73	0
brca	uc010iaz.2	uc003fzw.3	NonRandom	0	217	0	0
brca	uc002rqx.2	uc002rqw.2	NonRandom	537	542	4	9
brca	uc003ouy.1	uc010jyo.1	NonRandom	1492	598	894	0
brca	uc002pkx.2	uc002pkw.1	NonRandom	779	177	628	26
brca	uc003vor.2	uc003vos.2	NonRandom	787	360	466	39
brca	uc002ezc.2	uc002eza.2	NonRandom	789	126	663	0
brca	uc001xbi.1	uc010aol.1	NonRandom	250	174	80	4
brca	uc003tyf.1	uc003tye.1	NonRandom	202	0	0	0
brca	uc003ddx.2	uc010hmh.2	NonRandom	729	0	0	0
brca	uc001yof.1	uc010awv.1	NonRandom	1090	0	0	0
brca	uc002joc.2	uc010wsc.1	NonRandom	1202	1120	82	0
brca	uc003vlm.2	uc003vlo.2	NonRandom	634	503	131	0
brca	uc009wch.1	uc001dju.1	NonRandom	153	153	0	0
brca	uc001klb.3	uc001kla.3	NonRandom	607	451	156	0
brca	uc009xhe.2	uc001ifi.2	NonRandom	407	444	0	37
brca	uc004dvq.1	uc004dvp.1	NonRandom	318	309	9	0
brca	uc001znl.2	uc010bcd.1	NonRandom	195	0	0	0
brca	uc002qvn.1	uc010evy.1	NonRandom	149	94	72	17
brca	uc010cju.2	uc002fst.3	NonRandom	168	267	0	99
brca	uc011cdi.1	uc011cdl.1	NonRandom	1022	0	0	0
brca	uc001qcd.2	uc009zbn.2	NonRandom	705	427	278	0
brca	uc002ruz.2	uc002ruy.2	NonRandom	226	226	0	0
brca	uc001etp.2	uc001etq.2	NonRandom	570	390	192	12
brca	uc003ncx.1	uc011dji.1	NonRandom	495	346	159	10
brca	uc001llp.2	uc001llq.2	NonRandom	412	307	105	0
brca	uc003xqk.1	uc011ldi.1	NonRandom	863	850	13	0
brca	uc010ujs.1	uc010ujr.1	NonRandom	381	320	61	0
brca	uc009vxq.2	uc010olm.1	NonRandom	510	430	93	13
brca	uc002rku.2	uc010ezb.2	NonRandom	1749	0	0	0
brca	uc001iil.3	uc001iim.3	NonRandom	445	400	45	0
brca	uc003ffe.2	uc011bpg.1	NonRandom	696	668	28	0
brca	uc003cfc.1	uc010hfw.1	NonRandom	744	439	305	0
brca	uc001nlc.1	uc001nle.1	NonRandom	296	258	38	0
brca	uc002mot.1	uc002mou.1	NonRandom	398	398	0	0
brca	uc002uql.1	uc002uqo.1	NonRandom	830	608	222	0
brca	uc003yll.2	uc011lhr.1	NonRandom	315	183	132	0
brca	uc004dtk.1	uc004dtn.1	NonRandom	606	606	0	0
brca	uc001ibb.1	uc001iaz.1	NonRandom	329	825	3	499
brca	uc003yhz.2	uc010mbf.2	NonRandom	582	0	0	0
brca	uc001fvx.2	uc010pjg.1	NonRandom	709	451	258	0
brca	uc003amu.2	uc003amt.2	NonRandom	408	443	0	35
brca	uc010hpx.1	uc003dxi.1	NonRandom	149	186	0	37
brca	uc003otq.2	uc010jyh.2	NonRandom	1698	691	1063	56
brca	uc009ycx.1	uc001ltt.1	NonRandom	260	0	0	0
brca	uc001iga.2	uc001igb.2	NonRandom	284	0	0	0
brca	uc002xfw.2	uc010zvr.1	NonRandom	375	263	112	0
brca	uc002dkk.2	uc010vbt.1	NonRandom	708	652	72	16
brca	uc003szf.2	uc003szh.2	NonRandom	336	235	101	0
brca	uc002gcd.2	uc002gce.2	NonRandom	205	205	0	0
